,Open,High,Low,Close,Volume,Close time
0,10.0,15.342,9.672,13.955,194016.04,2020-09-13 23:59:59.999
1,13.803,15.374,9.057,10.17,304881.22,2020-09-20 23:59:59.999
2,10.261,10.5,6.778,8.464,958105.46,2020-09-27 23:59:59.999
3,8.341,9.672,6.524,7.717,422479.54,2020-10-04 23:59:59.999
4,7.702,10.235,5.572,8.895,641638.54,2020-10-11 23:59:59.999
5,8.799,10.02,6.173,7.636,442683.81,2020-10-18 23:59:59.999
6,7.632,9.066,6.506,8.528,643515.72,2020-10-25 23:59:59.999
7,8.51,10.8,5.542,6.65,1342517.86,2020-11-01 23:59:59.999
8,6.69,9.3,5.351,7.054,1117364.06,2020-11-08 23:59:59.999
9,7.062,8.09,6.578,7.13,616261.04,2020-11-15 23:59:59.999
10,7.071,13.012,7.007,11.513,1096041.59,2020-11-22 23:59:59.999
11,11.551,14.118,5.762,9.268,2555671.87,2020-11-29 23:59:59.999
12,9.315,11.098,7.35,8.524,1209153.87,2020-12-06 23:59:59.999
13,8.541,8.628,5.918,7.269,758634.1,2020-12-13 23:59:59.999
14,7.279,10.359,7.0,8.323,1516932.47,2020-12-20 23:59:59.999
15,8.316,9.363,6.306,8.176,1609961.17,2020-12-27 23:59:59.999
16,8.183,33.298,8.053,31.345,6332787.46,2021-01-03 23:59:59.999
17,31.346,33.74,18.751,23.378,1172034.96,2021-01-10 23:59:59.999
18,23.518,78.384,10.286,59.183,3809137.05,2021-01-17 23:59:59.999
19,59.27,70.223,40.239,59.0,2130885.52,2021-01-24 23:59:59.999
20,59.19,68.679,35.568,41.544,1470168.83,2021-01-31 23:59:59.999
21,41.313,78.555,38.267,61.836,1318863.94,2021-02-07 23:59:59.999
22,61.822,130.369,57.55,101.287,750787.84,2021-02-14 23:59:59.999
23,101.981,206.756,73.51,186.645,506364.05,2021-02-21 23:59:59.999
24,186.645,187.519,93.0,141.848,645801.48,2021-02-28 23:59:59.999
25,141.937,174.5,129.095,151.857,296454.12,2021-03-07 23:59:59.999
26,152.335,178.966,141.175,155.541,193283.56,2021-03-14 23:59:59.999
27,155.373,197.95,124.976,158.353,208693.76,2021-03-21 23:59:59.999
28,158.741,169.043,65.46,102.44,515132.27,2021-03-28 23:59:59.999
29,102.748,202.0,99.114,184.177,305290.78,2021-04-04 23:59:59.999
30,185.492,197.599,131.356,155.074,175704.65,2021-04-11 23:59:59.999
31,154.732,194.727,76.8,113.5,462077.76,2021-04-18 23:59:59.999
32,113.737,121.0,47.661,66.454,753448.77,2021-04-25 23:59:59.999
33,66.993,107.437,66.288,102.74,582690.8,2021-05-02 23:59:59.999
34,102.742,143.797,90.002,107.493,581541.86,2021-05-09 23:59:59.999
35,107.952,145.876,71.881,112.996,1234910.48,2021-05-16 23:59:59.999
36,112.545,112.704,4.842,8.429,68129111.76,2021-05-23 23:59:59.999
37,8.459,15.988,7.691,10.687,7731073.86,2021-05-30 23:59:59.999
38,10.59,17.798,9.57,13.641,3552880.65,2021-06-06 23:59:59.999
39,13.696,14.685,9.049,11.491,2857138.69,2021-06-13 23:59:59.999
40,11.534,15.643,7.49,9.027,6236542.23,2021-06-20 23:59:59.999
41,9.052,9.202,3.26,4.424,26961291.61,2021-06-27 23:59:59.999
42,4.418,5.576,4.111,4.967,7954497.97,2021-07-04 23:59:59.999
43,4.961,6.276,3.917,4.362,4086717.31,2021-07-11 23:59:59.999
44,4.354,4.466,2.153,2.569,7343860.13,2021-07-18 23:59:59.999
45,2.57,3.084,1.585,2.933,12755974.44,2021-07-25 23:59:59.999
46,2.933,6.2,2.727,5.0,10183202.78,2021-08-01 23:59:59.999
47,5.0,7.367,3.837,5.761,12661142.3,2021-08-08 23:59:59.999
48,5.762,8.677,5.0,8.367,9016272.02,2021-08-15 23:59:59.999
49,8.382,13.027,7.442,11.499,7592480.05,2021-08-22 23:59:59.999
50,11.5,12.336,7.8,9.442,4488732.51,2021-08-29 23:59:59.999
51,9.411,17.29,8.229,16.913,4867784.12,2021-09-05 23:59:59.999
52,16.9,18.324,4.059,13.473,12522905.41,2021-09-12 23:59:59.999
53,13.408,15.868,9.7,11.44,5609601.71,2021-09-19 23:59:59.999
54,11.445,11.509,5.23,6.377,12945416.19,2021-09-26 23:59:59.999
55,6.365,8.819,4.922,8.088,8010809.89,2021-10-03 23:59:59.999
56,8.088,11.272,6.394,9.358,6251706.48,2021-10-10 23:59:59.999
57,9.358,17.056,7.81,13.935,6740907.72,2021-10-17 23:59:59.999
58,13.98,17.3,12.114,13.591,4176661.79,2021-10-24 23:59:59.999
59,13.564,16.75,9.83,13.042,3219556.82,2021-10-31 23:59:59.999
60,13.078,22.76,12.365,19.564,2954286.02,2021-11-07 23:59:59.999
61,19.564,21.171,11.11,13.908,2987087.49,2021-11-14 23:59:59.999
62,13.908,14.612,8.616,11.043,4399890.88,2021-11-21 23:59:59.999
63,11.067,11.153,5.837,7.426,6521052.05,2021-11-28 23:59:59.999
64,7.428,9.059,2.377,4.0,11556722.43,2021-12-05 23:59:59.999
65,4.0,5.007,2.88,4.291,13586843.4,2021-12-12 23:59:59.999
66,4.296,4.39,2.652,2.805,17035320.28,2021-12-19 23:59:59.999
67,2.806,4.65,2.43,4.504,14832425.07,2021-12-26 23:59:59.999
68,4.507,4.943,3.073,3.958,16381757.28,2022-01-02 23:59:59.999
69,3.963,4.278,2.334,2.647,19142912.54,2022-01-09 23:59:59.999
70,2.647,3.48,2.183,3.306,13251347.74,2022-01-16 23:59:59.999
71,3.306,3.32,1.094,1.506,23787411.62,2022-01-23 23:59:59.999
72,1.507,1.673,1.067,1.399,24060537.09,2022-01-30 23:59:59.999
73,1.404,2.0128,1.25,1.9554,17457365.0,2022-02-06 23:59:59.999
74,1.9555,2.1658,1.3829,1.4557,19081124.31,2022-02-13 23:59:59.999
75,1.4575,1.6851,1.1749,1.207,15106018.15,2022-02-20 23:59:59.999
76,1.2098,1.4338,0.8411,1.2597,22597305.95,2022-02-27 23:59:59.999
77,1.2599,1.5522,1.08,1.1858,21441594.58,2022-03-06 23:59:59.999
78,1.1873,1.4346,1.0577,1.214,21410127.72,2022-03-13 23:59:59.999
79,1.2124,1.5957,1.1841,1.4144,13562514.54,2022-03-20 23:59:59.999
80,1.4154,2.0268,1.3779,2.022,11467140.56,2022-03-27 23:59:59.999
81,2.0221,2.2325,1.7141,2.1382,11923426.9,2022-04-03 23:59:59.999
82,2.1378,2.145,1.5171,1.529,9943549.11,2022-04-10 23:59:59.999
83,1.529,1.54,1.206,1.3182,11602561.79,2022-04-17 23:59:59.999
84,1.3198,1.5804,1.2332,1.37,11608757.86,2022-04-24 23:59:59.999
85,1.37,1.3814,0.8592,1.0067,14422716.7,2022-05-01 23:59:59.999
86,1.0067,1.1311,0.754,0.7763,17989193.91,2022-05-08 23:59:59.999
87,0.7787,0.7998,0.2511,0.6093,129163509.49,2022-05-15 23:59:59.999
88,0.6092,0.6093,0.382,0.4629,37321221.4,2022-05-22 23:59:59.999
89,0.4629,0.5153,0.3244,0.4463,36645549.79,2022-05-29 23:59:59.999
90,0.4456,0.5198,0.3666,0.3858,32361185.55,2022-06-05 23:59:59.999
0,0.3867,0.4337,0.2411,0.2423,50589627.99,2022-06-12 23:59:59.999000
0,0.2416,0.328,0.1764,0.2455,117500114.51,2022-06-19 23:59:59.999000
1,0.2455,0.3034,0.2236,0.2611,60344036.82,2022-06-26 23:59:59.999000
2,0.2599,0.2847,0.185,0.2006,55729580.52,2022-07-03 23:59:59.999000
3,0.2006,0.2333,0.187,0.1994,57580755.39,2022-07-10 23:59:59.999000
4,0.1987,0.2318,0.162,0.2084,60937243.46,2022-07-17 23:59:59.999000
