,Open,High,Low,Close,Volume,Close time
0,3.0,16.435,3.0,11.303,76368741.57,2021-09-12 23:59:59.999
1,11.293,18.5,9.1,14.259,89394703.64,2021-09-19 23:59:59.999
2,14.259,19.666,10.83,19.308,92099686.62,2021-09-26 23:59:59.999
3,19.299,27.857,18.7,23.59,120845598.42,2021-10-03 23:59:59.999
4,23.564,26.431,20.52,22.595,69885134.74,2021-10-10 23:59:59.999
5,22.578,26.101,20.0,21.055,54858073.17,2021-10-17 23:59:59.999
6,21.043,21.532,16.81,17.926,30946162.44,2021-10-24 23:59:59.999
7,17.926,19.4,14.13,15.17,38020851.9,2021-10-31 23:59:59.999
8,15.179,18.3,14.858,16.808,37356048.87,2021-11-07 23:59:59.999
9,16.808,18.56,12.627,14.796,34947226.46,2021-11-14 23:59:59.999
10,14.796,15.116,11.435,13.131,39436091.79,2021-11-21 23:59:59.999
11,13.132,16.478,11.32,12.623,61553639.57,2021-11-28 23:59:59.999
12,12.604,14.94,7.217,8.693,65267609.27,2021-12-05 23:59:59.999
13,8.693,9.8,7.827,8.998,43474951.92,2021-12-12 23:59:59.999
14,9.0,9.1,7.515,7.832,24870957.86,2021-12-19 23:59:59.999
15,7.832,9.491,7.116,9.244,29441886.17,2021-12-26 23:59:59.999
16,9.24,10.73,7.877,8.698,43970252.03,2022-01-02 23:59:59.999
17,8.697,9.174,6.402,6.739,30474566.36,2022-01-09 23:59:59.999
18,6.739,8.266,5.937,7.622,32330782.77,2022-01-16 23:59:59.999
19,7.626,8.9,5.347,6.043,78989069.67,2022-01-23 23:59:59.999
20,6.042,6.571,5.08,5.774,38426196.41,2022-01-30 23:59:59.999
21,5.773,7.347,5.491,7.286,31939834.34,2022-02-06 23:59:59.999
22,7.286,8.553,6.806,6.996,46829019.74,2022-02-13 23:59:59.999
23,6.997,7.725,5.608,5.705,28802027.29,2022-02-20 23:59:59.999
24,5.708,6.109,4.427,5.074,37728026.7,2022-02-27 23:59:59.999
25,5.076,6.19,4.8,4.843,33895684.15,2022-03-06 23:59:59.999
26,4.843,5.202,4.272,4.375,25150568.62,2022-03-13 23:59:59.999
27,4.375,5.419,4.315,4.901,31135072.47,2022-03-20 23:59:59.999
28,4.902,5.733,4.793,5.707,35608078.23,2022-03-27 23:59:59.999
29,5.707,7.106,5.4,6.923,65547737.1,2022-04-03 23:59:59.999
30,6.919,7.17,4.961,4.992,31559332.55,2022-04-10 23:59:59.999
31,4.991,5.076,4.478,4.515,18989295.96,2022-04-17 23:59:59.999
32,4.515,5.196,4.11,4.512,39269617.31,2022-04-24 23:59:59.999
33,4.51,4.625,3.1,3.607,42263499.66,2022-05-01 23:59:59.999
34,3.605,4.03,3.174,3.907,53480318.61,2022-05-08 23:59:59.999
35,3.908,3.979,1.409,2.142,109860868.68,2022-05-15 23:59:59.999
36,2.142,2.315,1.818,2.159,54203336.72,2022-05-22 23:59:59.999
37,2.159,2.342,1.598,1.756,51906786.62,2022-05-29 23:59:59.999
38,1.757,2.126,1.657,1.728,40155615.28,2022-06-05 23:59:59.999
0,1.727,1.844,1.238,1.243,45891748.8,2022-06-12 23:59:59.999000
0,1.242,1.324,1.005,1.26,62861111.65,2022-06-19 23:59:59.999000
1,1.259,1.586,1.204,1.388,50742343.65,2022-06-26 23:59:59.999000
2,1.386,1.58,1.275,1.559,40068867.89,2022-07-03 23:59:59.999000
3,1.558,2.229,1.54,2.041,95066696.0,2022-07-10 23:59:59.999000
4,2.042,2.291,1.669,2.019,77083887.34,2022-07-17 23:59:59.999000
