,Open,High,Low,Close,Volume,Close time
0,0.7835,1.03,0.77,0.8109,50090879.4,2021-09-12 23:59:59.999
1,0.8136,1.38,0.6803,0.8465,271150630.8,2021-09-19 23:59:59.999
2,0.8465,1.075,0.595,0.643,96959068.2,2021-09-26 23:59:59.999
3,0.6449,0.6935,0.551,0.6652,47435303.7,2021-10-03 23:59:59.999
4,0.6654,0.75,0.6503,0.6546,41193631.9,2021-10-10 23:59:59.999
5,0.6534,0.7382,0.5781,0.5964,30114053.5,2021-10-17 23:59:59.999
6,0.5975,0.6127,0.5611,0.5837,15685766.5,2021-10-24 23:59:59.999
7,0.5834,0.6212,0.4977,0.5809,28706312.2,2021-10-31 23:59:59.999
8,0.5795,0.632,0.5602,0.5806,21790828.4,2021-11-07 23:59:59.999
9,0.5808,0.6036,0.521,0.5525,11794006.7,2021-11-14 23:59:59.999
10,0.5535,0.6574,0.4864,0.5364,36002942.7,2021-11-21 23:59:59.999
11,0.5359,0.651,0.4919,0.5603,65577339.6,2021-11-28 23:59:59.999
12,0.5589,0.59,0.31,0.3862,38398861.8,2021-12-05 23:59:59.999
13,0.3853,0.8695,0.3429,0.4219,378887365.8,2021-12-12 23:59:59.999
14,0.4231,0.4245,0.3534,0.3714,19204175.9,2021-12-19 23:59:59.999
15,0.3715,0.4082,0.35,0.398,15509140.4,2021-12-26 23:59:59.999
16,0.398,0.594,0.36,0.4742,167338887.8,2022-01-02 23:59:59.999
17,0.4746,0.58,0.3659,0.4413,158732297.6,2022-01-09 23:59:59.999
18,0.4407,0.4708,0.3817,0.433,29179520.9,2022-01-16 23:59:59.999
19,0.4325,0.4342,0.2601,0.3106,19423170.3,2022-01-23 23:59:59.999
20,0.3108,0.3878,0.3036,0.3295,40947483.2,2022-01-30 23:59:59.999
21,0.3284,0.3991,0.3079,0.3923,21938746.4,2022-02-06 23:59:59.999
22,0.3932,0.4172,0.3357,0.3498,17818750.3,2022-02-13 23:59:59.999
23,0.3499,0.3672,0.3078,0.3154,12513997.0,2022-02-20 23:59:59.999
24,0.3151,0.4198,0.2614,0.3325,66225940.1,2022-02-27 23:59:59.999
25,0.3324,0.3711,0.3141,0.3152,24759656.1,2022-03-06 23:59:59.999
26,0.3145,0.35,0.3014,0.3073,17052759.8,2022-03-13 23:59:59.999
27,0.3072,0.3458,0.3031,0.3296,20136328.8,2022-03-20 23:59:59.999
28,0.3301,0.4217,0.3245,0.3893,19730297.2,2022-03-27 23:59:59.999
29,0.3893,0.4494,0.3795,0.4285,17607715.5,2022-04-03 23:59:59.999
30,0.4284,0.4295,0.3392,0.3398,12671409.9,2022-04-10 23:59:59.999
31,0.3403,0.3648,0.3085,0.3244,20116230.5,2022-04-17 23:59:59.999
32,0.3241,0.55,0.3104,0.3339,142291637.0,2022-04-24 23:59:59.999
33,0.3334,0.3356,0.263,0.2791,42740987.9,2022-05-01 23:59:59.999
34,0.2793,0.3128,0.2075,0.2136,42628979.1,2022-05-08 23:59:59.999
35,0.2137,0.2159,0.1142,0.169,56235980.2,2022-05-15 23:59:59.999
36,0.169,0.1799,0.1376,0.1647,64694986.4,2022-05-22 23:59:59.999
37,0.1646,0.278,0.1445,0.1547,171146521.8,2022-05-29 23:59:59.999
38,0.1547,0.2532,0.1509,0.1885,197789906.8,2022-06-05 23:59:59.999
