,Open,High,Low,Close,Volume,Close time
0,43.66,120.0,43.66,56.21,15731463.56,2021-11-14 23:59:59.999
1,56.22,60.15,38.39,42.06,9669698.38,2021-11-21 23:59:59.999
2,42.06,84.0,39.86,76.15,19114380.6,2021-11-28 23:59:59.999
3,76.14,82.75,39.0,49.3,11812132.94,2021-12-05 23:59:59.999
4,49.34,53.99,41.55,47.06,6120910.21,2021-12-12 23:59:59.999
5,47.07,48.01,37.12,40.86,6184530.72,2021-12-19 23:59:59.999
6,40.82,49.8,37.31,45.66,5509979.16,2021-12-26 23:59:59.999
7,45.67,48.19,37.82,41.05,4348804.33,2022-01-02 23:59:59.999
8,41.06,41.64,26.43,28.01,6348487.93,2022-01-09 23:59:59.999
9,28.01,28.9,24.41,27.7,4868749.99,2022-01-16 23:59:59.999
10,27.69,27.87,15.12,17.15,7099326.7,2022-01-23 23:59:59.999
11,17.14,20.88,14.43,19.03,7002964.29,2022-01-30 23:59:59.999
12,19.03,22.0,17.34,20.83,5835639.03,2022-02-06 23:59:59.999
13,20.85,23.49,16.35,16.79,7772034.61,2022-02-13 23:59:59.999
14,16.8,18.56,14.77,15.21,5475613.17,2022-02-20 23:59:59.999
15,15.21,16.39,11.81,13.2,6593919.42,2022-02-27 23:59:59.999
16,13.2,17.69,13.03,14.03,12146568.8,2022-03-06 23:59:59.999
17,14.01,16.1,12.67,12.71,7035940.4,2022-03-13 23:59:59.999
18,12.72,17.36,12.56,15.88,10211376.3,2022-03-20 23:59:59.999
19,15.88,19.11,15.55,18.45,9588404.26,2022-03-27 23:59:59.999
20,18.44,21.37,16.66,20.92,11875552.7,2022-04-03 23:59:59.999
21,20.92,20.99,14.92,15.16,7363316.95,2022-04-10 23:59:59.999
22,15.15,15.48,13.5,13.7,3740371.84,2022-04-17 23:59:59.999
23,13.7,16.05,13.0,15.32,6394515.23,2022-04-24 23:59:59.999
24,15.32,24.86,14.02,24.3,35863459.5,2022-05-01 23:59:59.999
25,24.3,27.65,16.74,17.01,42338162.86,2022-05-08 23:59:59.999
26,17.01,17.57,7.35,10.37,32018559.08,2022-05-15 23:59:59.999
27,10.37,13.72,8.81,12.63,23399563.55,2022-05-22 23:59:59.999
28,12.62,14.08,9.52,10.2,17267038.0,2022-05-29 23:59:59.999
29,10.2,13.39,10.02,11.04,11379740.46,2022-06-05 23:59:59.999
0,11.05,12.96,8.29,8.47,13115223.06,2022-06-12 23:59:59.999000
0,8.46,9.59,7.37,8.92,18193824.85,2022-06-19 23:59:59.999000
1,8.92,10.46,8.44,9.3,9234225.35,2022-06-26 23:59:59.999000
2,9.3,9.81,8.02,9.04,4751052.12,2022-07-03 23:59:59.999000
3,9.04,10.68,8.74,9.39,7532273.8,2022-07-10 23:59:59.999000
4,9.39,9.89,8.1,9.36,5355510.03,2022-07-17 23:59:59.999000
