,Open,High,Low,Close,Volume,Close time
0,7.991,9.8,5.322,6.604,3693987.4,2021-06-27 23:59:59.999
1,6.604,6.97,5.316,5.906,1083273.2,2021-07-04 23:59:59.999
2,5.9,7.262,5.379,6.79,2310984.1,2021-07-11 23:59:59.999
3,6.824,10.66,5.603,7.271,9096967.1,2021-07-18 23:59:59.999
4,7.271,8.9,5.574,8.658,4080035.0,2021-07-25 23:59:59.999
5,8.658,9.45,7.532,7.974,2659094.1,2021-08-01 23:59:59.999
6,7.973,14.898,7.679,12.03,9701219.5,2021-08-08 23:59:59.999
7,12.037,14.88,11.251,14.397,3087692.6,2021-08-15 23:59:59.999
8,14.444,24.8,14.124,18.946,6732071.4,2021-08-22 23:59:59.999
9,18.921,22.512,15.001,16.805,4532565.8,2021-08-29 23:59:59.999
10,16.85,20.46,15.547,17.369,4169517.3,2021-09-05 23:59:59.999
11,17.397,17.95,10.441,15.766,5332301.9,2021-09-12 23:59:59.999
12,15.739,15.792,12.661,12.898,3122971.3,2021-09-19 23:59:59.999
13,12.896,12.896,9.246,10.327,2965355.0,2021-09-26 23:59:59.999
14,10.334,12.679,8.729,11.24,3007886.8,2021-10-03 23:59:59.999
15,11.222,13.652,10.774,10.774,4018443.2,2021-10-10 23:59:59.999
16,10.766,17.5,10.0,12.126,11052762.4,2021-10-17 23:59:59.999
17,12.121,12.9,10.708,11.054,2150705.5,2021-10-24 23:59:59.999
18,11.047,13.129,9.863,11.9,3544300.0,2021-10-31 23:59:59.999
19,11.913,17.44,11.777,15.013,7069559.7,2021-11-07 23:59:59.999
20,15.013,19.838,14.226,15.388,5714145.4,2021-11-14 23:59:59.999
21,15.362,16.8,12.908,16.001,2548108.4,2021-11-21 23:59:59.999
22,16.025,16.65,12.8,14.548,2422919.3,2021-11-28 23:59:59.999
23,14.548,15.154,9.348,9.695,2560429.4,2021-12-05 23:59:59.999
24,9.693,12.228,8.574,10.454,2222991.8,2021-12-12 23:59:59.999
25,10.459,10.72,8.774,9.155,1267643.2,2021-12-19 23:59:59.999
26,9.118,11.2,8.625,9.818,1630239.1,2021-12-26 23:59:59.999
27,9.818,10.585,8.831,9.176,1388355.5,2022-01-02 23:59:59.999
28,9.164,11.9,7.947,8.271,2817915.1,2022-01-09 23:59:59.999
29,8.288,9.166,7.414,8.102,2075728.5,2022-01-16 23:59:59.999
30,8.102,8.245,4.626,5.222,2313322.6,2022-01-23 23:59:59.999
31,5.21,5.516,4.136,5.089,3314105.9,2022-01-30 23:59:59.999
32,5.089,6.0,4.701,5.694,2004625.2,2022-02-06 23:59:59.999
33,5.67,8.4,5.488,5.758,6161483.1,2022-02-13 23:59:59.999
34,5.757,6.69,4.998,5.658,6562581.0,2022-02-20 23:59:59.999
35,5.674,6.4,4.26,4.64,2389924.7,2022-02-27 23:59:59.999
36,4.64,5.768,4.513,4.779,1801647.3,2022-03-06 23:59:59.999
37,4.778,5.98,4.372,4.522,5461211.4,2022-03-13 23:59:59.999
38,4.517,7.15,4.166,5.618,6747765.4,2022-03-20 23:59:59.999
39,5.628,6.394,5.179,5.733,5661010.0,2022-03-27 23:59:59.999
40,5.733,6.6,5.46,6.304,3314608.0,2022-04-03 23:59:59.999
41,6.314,6.44,5.087,5.18,2007702.3,2022-04-10 23:59:59.999
42,5.186,5.197,4.52,4.7,2089738.2,2022-04-17 23:59:59.999
43,4.7,4.96,4.35,4.45,2049874.7,2022-04-24 23:59:59.999
44,4.463,4.998,3.8,3.92,4472466.2,2022-05-01 23:59:59.999
45,3.92,4.235,3.2,3.245,2275100.6,2022-05-08 23:59:59.999
46,3.246,3.311,1.402,2.127,7167270.2,2022-05-15 23:59:59.999
47,2.134,3.166,1.864,2.211,9693041.7,2022-05-22 23:59:59.999
48,2.212,2.28,1.902,2.12,3009460.6,2022-05-29 23:59:59.999
49,2.119,2.26,1.804,1.857,2344077.8,2022-06-05 23:59:59.999
