,Open,High,Low,Close,Volume,Close time
0,16.2,16.7999,12.813,14.2399,3894062.13,2018-06-17 23:59:59.999
1,14.2399,17.86,13.0182,14.792,5589870.33,2018-06-24 23:59:59.999
2,14.7802,16.8529,14.18,16.0358,6460020.28,2018-07-01 23:59:59.999
3,16.0017,18.98,15.6,18.3447,6315308.28,2018-07-08 23:59:59.999
4,18.2921,18.75,15.6504,16.6365,5733176.33,2018-07-15 23:59:59.999
5,16.6366,18.4396,15.73,16.1449,6311825.93,2018-07-22 23:59:59.999
6,16.15,17.4679,15.72,16.8879,5312873.76,2018-07-29 23:59:59.999
7,16.8955,17.85,14.1206,17.687,8978238.0,2018-08-05 23:59:59.999
8,17.6869,20.8016,12.4003,13.1844,13866213.18,2018-08-12 23:59:59.999
9,13.1891,14.95,10.0881,13.3035,21688615.98,2018-08-19 23:59:59.999
10,13.3036,13.5427,11.8379,12.4457,14245766.55,2018-08-26 23:59:59.999
11,12.4404,14.2,12.267,13.4031,10742492.96,2018-09-02 23:59:59.999
12,13.4032,14.5652,10.6667,11.21,10017927.4,2018-09-09 23:59:59.999
13,11.2134,11.5799,10.14,11.2048,9450394.76,2018-09-16 23:59:59.999
14,11.2048,11.9,10.0328,11.6,9366449.38,2018-09-23 23:59:59.999
15,11.6102,11.6236,10.3842,11.3203,8364884.71,2018-09-30 23:59:59.999
16,11.3301,11.42,10.6666,10.95,4803711.5,2018-10-07 23:59:59.999
17,10.9558,11.0916,9.05,9.5081,4600655.31,2018-10-14 23:59:59.999
18,9.5149,11.08,9.3612,9.7639,4883538.57,2018-10-21 23:59:59.999
19,9.7638,10.448,9.578,9.6286,3224758.69,2018-10-28 23:59:59.999
20,9.6357,9.7364,8.7787,9.5696,2307537.36,2018-11-04 23:59:59.999
21,9.5614,10.0564,9.0,9.3041,1841729.88,2018-11-11 23:59:59.999
22,9.2874,9.4519,7.0726,7.5234,4362544.1,2018-11-18 23:59:59.999
23,7.5254,7.5254,4.2925,4.8493,8189405.39,2018-11-25 23:59:59.999
24,4.8571,5.3691,4.2311,5.1879,8302813.17,2018-12-02 23:59:59.999
25,5.1977,5.2296,3.2638,3.9069,10639992.11,2018-12-09 23:59:59.999
26,3.9036,4.103,3.4928,3.611,5718974.4,2018-12-16 23:59:59.999
27,3.6114,4.9314,3.5874,4.8427,5863431.82,2018-12-23 23:59:59.999
28,4.8401,5.6788,4.4223,5.2048,9636567.43,2018-12-30 23:59:59.999
29,5.2048,5.5422,4.8481,5.385,3384966.87,2019-01-06 23:59:59.999
30,5.3848,5.4091,4.0689,4.1395,7545763.92,2019-01-13 23:59:59.999
31,4.1415,4.5425,4.0523,4.2098,3756217.36,2019-01-20 23:59:59.999
32,4.2181,4.4002,4.1122,4.2064,1719973.21,2019-01-27 23:59:59.999
33,4.2051,4.2306,3.7657,3.8983,2120362.0,2019-02-03 23:59:59.999
34,3.8968,4.2775,3.6536,4.1584,2906193.35,2019-02-10 23:59:59.999
35,4.1597,4.2156,3.966,4.1738,2343687.99,2019-02-17 23:59:59.999
36,4.1817,4.962,4.08,4.0862,6137893.29,2019-02-24 23:59:59.999
37,4.0804,4.412,4.0804,4.2423,3474669.51,2019-03-03 23:59:59.999
38,4.2423,4.4789,3.9,4.3094,3893297.29,2019-03-10 23:59:59.999
39,4.3115,4.6234,4.161,4.4148,3001633.13,2019-03-17 23:59:59.999
40,4.417,4.98,4.3085,4.8234,4387170.05,2019-03-24 23:59:59.999
41,4.8194,4.97,4.5741,4.8245,2267790.31,2019-03-31 23:59:59.999
42,4.8246,7.9875,4.7536,7.6627,12029449.52,2019-04-07 23:59:59.999
43,7.6687,7.9122,5.8206,6.4124,7265390.48,2019-04-14 23:59:59.999
44,6.4179,6.5233,5.6608,5.8822,2588808.71,2019-04-21 23:59:59.999
45,5.8786,6.0757,5.2,5.6296,3345504.44,2019-04-28 23:59:59.999
46,5.626,6.1632,5.4587,5.7213,4169863.21,2019-05-05 23:59:59.999
47,5.7243,6.3396,5.4874,5.8319,3720713.94,2019-05-12 23:59:59.999
48,5.8303,8.5199,5.7845,7.765,6230610.39,2019-05-19 23:59:59.999
49,7.7556,7.7716,6.66,7.6004,3736671.61,2019-05-26 23:59:59.999
50,7.6005,9.6394,7.5315,9.5287,6264325.56,2019-06-02 23:59:59.999
51,9.5345,9.8699,7.3071,8.1171,7636457.94,2019-06-09 23:59:59.999
52,8.1172,8.8931,7.887,8.6827,4387913.25,2019-06-16 23:59:59.999
53,8.6851,9.6685,8.3201,9.2979,4486359.0,2019-06-23 23:59:59.999
54,9.2979,9.73,7.2135,7.7728,7465391.91,2019-06-30 23:59:59.999
55,7.7772,8.1505,7.301,7.956,3118626.9,2019-07-07 23:59:59.999
56,7.9604,8.1149,5.5315,5.642,3327461.94,2019-07-14 23:59:59.999
57,5.6314,6.3279,5.1015,6.2549,5468110.37,2019-07-21 23:59:59.999
58,6.2537,6.5,5.5715,5.9072,2946662.26,2019-07-28 23:59:59.999
59,5.9095,6.15,5.7852,6.0954,1858501.55,2019-08-04 23:59:59.999
60,6.0947,6.3897,5.5441,5.8311,2107118.02,2019-08-11 23:59:59.999
61,5.8312,6.1779,5.3942,5.5729,1909031.05,2019-08-18 23:59:59.999
62,5.572,7.6742,5.4239,7.13,10722098.27,2019-08-25 23:59:59.999
63,7.1358,7.59,5.68,6.2372,7946613.89,2019-09-01 23:59:59.999
64,6.2396,7.2061,6.1826,6.648,7519590.32,2019-09-08 23:59:59.999
