,Open,High,Low,Close,Volume,Close time
0,301.13,312.18,278.0,299.1,21224.89324,2017-08-20 23:59:59.999
1,299.1,348.13,144.21,348.13,45233.88589,2017-08-27 23:59:59.999
2,348.11,394.39,320.08,341.77,33886.41427,2017-09-03 23:59:59.999
3,339.29,344.55,235.55,293.5,35485.23332,2017-09-10 23:59:59.999
4,293.51,316.46,192.0,257.55,58259.63439,2017-09-17 23:59:59.999
5,257.53,306.22,252.1,282.0,18833.39464,2017-09-24 23:59:59.999
6,282.0,313.0,274.0,303.95,42726.28598,2017-10-01 23:59:59.999
7,303.94,318.5,283.18,311.07,25352.7189,2017-10-08 23:59:59.999
8,311.13,353.96,286.65,337.96,58855.77319,2017-10-15 23:59:59.999
9,337.5,354.0,284.68,293.79,62901.0251,2017-10-22 23:59:59.999
10,293.78,310.0,272.2,305.0,62381.73012,2017-10-29 23:59:59.999
11,305.0,316.0,274.73,295.53,62514.42916,2017-11-05 23:59:59.999
12,295.19,329.0,281.01,305.24,91617.71857,2017-11-12 23:59:59.999
13,304.0,373.56,303.7,354.15,114805.04703,2017-11-19 23:59:59.999
14,355.15,484.47,350.02,462.84,161563.3564,2017-11-26 23:59:59.999
15,462.84,515.0,385.0,460.3,227584.5006,2017-12-03 23:59:59.999
16,460.3,488.0,375.01,427.35,246454.47236,2017-12-10 23:59:59.999
17,427.35,747.6,427.35,707.64,305806.30833,2017-12-17 23:59:59.999
18,707.62,864.9,504.99,658.0,594909.64588,2017-12-24 23:59:59.999
19,659.4,766.05,599.99,733.98,479152.58214,2017-12-31 23:59:59.999
20,733.01,1125.0,716.8,1123.09,593710.08794,2018-01-07 23:59:59.999
21,1123.09,1440.0,910.0,1347.0,900313.84206,2018-01-14 23:59:59.999
22,1347.99,1383.13,755.0,1049.0,1610343.15922,2018-01-21 23:59:59.999
23,1049.0,1277.0,908.0,1251.96,984564.6015,2018-01-28 23:59:59.999
24,1251.96,1258.89,783.67,823.56,1288157.7921,2018-02-04 23:59:59.999
25,821.6,911.2,570.1,808.99,1880969.80396,2018-02-11 23:59:59.999
26,808.58,978.5,807.46,911.0,945634.50225,2018-02-18 23:59:59.999
27,911.0,961.0,785.99,841.19,817168.83052,2018-02-25 23:59:59.999
28,841.46,897.49,833.0,866.66,339146.17952,2018-03-04 23:59:59.999
29,866.61,871.75,640.0,720.85,518077.34039,2018-03-11 23:59:59.999
30,721.0,740.5,450.0,537.0,689358.91685,2018-03-18 23:59:59.999
31,537.39,590.52,506.71,523.74,814381.08669,2018-03-25 23:59:59.999
32,523.95,527.67,356.9,378.58,1215092.80189,2018-04-01 23:59:59.999
33,378.58,419.08,362.54,400.4,715369.80224,2018-04-08 23:59:59.999
34,400.4,535.0,387.1,533.88,1051295.44518,2018-04-15 23:59:59.999
35,533.88,643.49,497.31,620.92,852000.58094,2018-04-22 23:59:59.999
36,620.67,712.99,593.83,690.85,1104058.97603,2018-04-29 23:59:59.999
37,690.85,839.99,627.58,794.3,1036650.04606,2018-05-06 23:59:59.999
38,794.3,799.14,633.2,729.08,1153492.95325,2018-05-13 23:59:59.999
39,729.08,743.9,656.0,716.16,817659.25411,2018-05-20 23:59:59.999
40,716.16,720.46,550.0,570.4,948926.78252,2018-05-27 23:59:59.999
41,570.81,628.81,506.11,619.66,812736.78468,2018-06-03 23:59:59.999
42,619.66,625.47,501.13,524.11,594206.95569,2018-06-10 23:59:59.999
43,524.64,538.88,449.06,497.14,1100916.41379,2018-06-17 23:59:59.999
44,497.15,548.2,419.53,454.41,1001118.9147,2018-06-24 23:59:59.999
45,454.29,474.47,404.48,452.1,846302.28807,2018-07-01 23:59:59.999
46,452.14,495.98,444.16,486.77,925993.61335,2018-07-08 23:59:59.999
47,486.55,488.98,416.94,449.78,1017062.08356,2018-07-15 23:59:59.999
48,449.79,515.47,440.0,457.47,1091022.57425,2018-07-22 23:59:59.999
49,457.47,485.77,447.11,466.4,1103214.93743,2018-07-29 23:59:59.999
50,466.4,469.79,396.61,408.79,1322055.51631,2018-08-05 23:59:59.999
51,408.77,413.28,304.45,317.89,1628951.45513,2018-08-12 23:59:59.999
52,317.96,321.99,250.0,299.42,2482234.79159,2018-08-19 23:59:59.999
53,299.3,304.04,259.5,274.29,1882848.41639,2018-08-26 23:59:59.999
54,274.17,302.0,271.59,295.41,2011520.42595,2018-09-02 23:59:59.999
55,295.51,296.62,185.02,195.81,2833081.76826,2018-09-09 23:59:59.999
56,196.13,227.42,167.32,220.17,3839317.7231,2018-09-16 23:59:59.999
57,220.24,255.13,192.4,244.5,3979103.65229,2018-09-23 23:59:59.999
58,244.54,246.2,203.61,232.94,3911449.60008,2018-09-30 23:59:59.999
59,233.04,235.88,216.51,226.14,1470674.08032,2018-10-07 23:59:59.999
60,226.26,232.7,189.01,197.01,1365460.76116,2018-10-14 23:59:59.999
61,196.84,239.0,194.6,207.49,1824150.84173,2018-10-21 23:59:59.999
62,207.46,209.3,202.14,204.99,679114.68995,2018-10-28 23:59:59.999
63,204.99,218.76,193.01,212.11,754496.10693,2018-11-04 23:59:59.999
64,212.13,224.8,207.62,212.54,1153858.40192,2018-11-11 23:59:59.999
65,212.6,214.22,170.99,178.97,1629773.99539,2018-11-18 23:59:59.999
66,179.04,179.33,102.95,118.67,4458881.10776,2018-11-25 23:59:59.999
67,118.65,126.8,102.36,116.57,3283242.23006,2018-12-02 23:59:59.999
68,116.63,116.96,82.07,93.26,3788787.23257,2018-12-09 23:59:59.999
69,93.26,95.21,81.79,84.67,2141950.36794,2018-12-16 23:59:59.999
70,84.68,131.94,84.4,129.03,4697375.84257,2018-12-23 23:59:59.999
71,129.03,157.67,111.22,137.77,6548154.0068,2018-12-30 23:59:59.999
72,137.81,159.26,128.7,153.86,4742285.9092,2019-01-06 23:59:59.999
73,153.89,155.48,111.87,114.16,3305739.76924,2019-01-13 23:59:59.999
74,114.17,130.05,113.94,117.47,3167206.1506,2019-01-20 23:59:59.999
75,117.56,119.49,111.04,112.05,1701869.00225,2019-01-27 23:59:59.999
76,112.04,112.87,100.91,107.36,2164892.69065,2019-02-03 23:59:59.999
77,107.33,126.49,101.21,125.12,2109564.37374,2019-02-10 23:59:59.999
78,125.12,135.61,118.18,133.75,2433609.46437,2019-02-17 23:59:59.999
79,133.77,166.0,131.7,132.1,5104408.79455,2019-02-24 23:59:59.999
80,132.1,141.55,126.84,130.6,3202711.78874,2019-03-03 23:59:59.999
81,130.6,140.29,122.6,135.37,2466852.26445,2019-03-10 23:59:59.999
82,135.37,144.47,128.52,138.67,1950556.34149,2019-03-17 23:59:59.999
83,138.67,142.01,131.21,136.09,1595031.95453,2019-03-24 23:59:59.999
84,136.12,145.89,131.6,141.38,1527493.50939,2019-03-31 23:59:59.999
85,141.41,177.81,139.57,174.21,4682350.74461,2019-04-07 23:59:59.999
86,174.29,185.87,158.11,167.23,3173198.2282,2019-04-14 23:59:59.999
87,167.21,176.97,155.7,168.59,2073468.55135,2019-04-21 23:59:59.999
88,168.59,175.83,150.35,157.85,2351796.62105,2019-04-28 23:59:59.999
89,157.86,171.3,152.0,163.05,1936000.05256,2019-05-05 23:59:59.999
90,163.05,205.23,157.55,188.11,3954308.18256,2019-05-12 23:59:59.999
91,188.07,279.76,185.32,259.51,6868504.39636,2019-05-19 23:59:59.999
92,259.37,269.4,231.1,264.45,3669883.90618,2019-05-26 23:59:59.999
93,264.35,288.62,240.14,268.88,3853966.15643,2019-06-02 23:59:59.999
94,268.87,270.0,226.56,230.98,2523474.68248,2019-06-09 23:59:59.999
95,231.02,277.06,227.03,267.73,2252582.27731,2019-06-16 23:59:59.999
96,267.73,321.7,261.45,308.52,2733197.44329,2019-06-23 23:59:59.999
97,308.42,366.8,280.01,292.7,4167486.86453,2019-06-30 23:59:59.999
98,292.89,309.69,272.65,304.72,2328170.87156,2019-07-07 23:59:59.999
99,304.72,318.19,222.81,225.85,2570474.77861,2019-07-14 23:59:59.999
100,225.83,235.58,191.84,225.38,3702593.97392,2019-07-21 23:59:59.999
101,225.49,228.34,198.24,211.62,1918512.39614,2019-07-28 23:59:59.999
102,211.58,224.51,204.4,221.79,1367725.8281,2019-08-04 23:59:59.999
103,221.79,239.15,202.6,216.42,1838376.65357,2019-08-11 23:59:59.999
104,216.41,216.81,178.04,194.33,1449205.64889,2019-08-18 23:59:59.999
105,194.32,203.59,179.53,186.54,1489606.75608,2019-08-25 23:59:59.999
106,186.54,193.7,163.61,170.74,1666774.59952,2019-09-01 23:59:59.999
107,170.73,184.18,165.0,181.19,2001202.34115,2019-09-08 23:59:59.999
108,181.18,190.45,173.0,189.03,1826939.04547,2019-09-15 23:59:59.999
109,189.05,223.94,188.3,211.2,3951341.9735,2019-09-22 23:59:59.999
110,211.2,211.68,150.03,169.24,5097163.08635,2019-09-29 23:59:59.999
111,169.26,185.53,165.01,170.1,2820458.56172,2019-10-06 23:59:59.999
112,170.08,196.65,168.68,180.99,3056149.34901,2019-10-13 23:59:59.999
113,180.98,188.37,168.66,175.22,2247422.26846,2019-10-20 23:59:59.999
114,175.18,197.74,153.45,183.75,4501297.56849,2019-10-27 23:59:59.999
115,183.84,192.74,177.02,181.54,2804889.93094,2019-11-03 23:59:59.999
116,181.53,195.09,180.36,188.96,2195989.60819,2019-11-10 23:59:59.999
117,188.96,190.19,177.67,183.82,1734302.4578,2019-11-17 23:59:59.999
118,183.82,184.06,138.0,139.96,2959667.29355,2019-11-24 23:59:59.999
119,139.99,157.6,131.45,150.73,2885963.25712,2019-12-01 23:59:59.999
120,150.72,151.98,143.15,150.44,1730120.46013,2019-12-08 23:59:59.999
121,150.44,151.19,139.24,142.46,1304567.68741,2019-12-15 23:59:59.999
122,142.46,142.72,116.26,132.09,2942146.25781,2019-12-22 23:59:59.999
123,132.12,138.07,121.91,134.36,1875482.03334,2019-12-29 23:59:59.999
124,134.36,138.19,125.88,135.37,1795260.59717,2020-01-05 23:59:59.999
125,135.37,148.05,134.86,146.54,2799620.12572,2020-01-12 23:59:59.999
126,146.56,179.5,142.27,166.79,4574976.7459,2020-01-19 23:59:59.999
127,166.79,171.47,155.55,167.86,2213273.18068,2020-01-26 23:59:59.999
128,167.91,193.43,165.22,188.44,2832021.07663,2020-02-02 23:59:59.999
129,188.48,230.65,184.69,228.49,3470997.26544,2020-02-09 23:59:59.999
130,228.53,288.41,216.37,258.85,5939621.23312,2020-02-16 23:59:59.999
131,258.89,285.88,242.0,274.48,5188469.50121,2020-02-23 23:59:59.999
132,274.5,277.2,210.0,217.81,6457932.90023,2020-03-01 23:59:59.999
133,217.81,251.93,195.5,199.43,5137680.00487,2020-03-08 23:59:59.999
134,199.43,208.62,86.0,123.78,14789815.70106,2020-03-15 23:59:59.999
135,123.82,152.55,101.1,122.32,11531693.74471,2020-03-22 23:59:59.999
136,122.31,143.36,119.5,124.5,6613460.31407,2020-03-29 23:59:59.999
137,124.47,149.76,124.06,142.68,4918442.82175,2020-04-05 23:59:59.999
138,142.69,176.22,142.6,158.59,7843255.9423,2020-04-12 23:59:59.999
139,158.56,189.54,148.33,180.03,6963042.65527,2020-04-19 23:59:59.999
140,180.02,200.0,166.7,197.38,7306676.73642,2020-04-26 23:59:59.999
141,197.39,227.3,189.29,209.86,6890363.53637,2020-05-03 23:59:59.999
142,209.86,216.61,179.59,187.54,6902379.63527,2020-05-10 23:59:59.999
143,187.62,209.85,176.0,207.0,5967260.43774,2020-05-17 23:59:59.999
144,207.02,217.07,191.71,199.9,5331065.62027,2020-05-24 23:59:59.999
145,199.9,247.0,196.9,231.57,4530088.58138,2020-05-31 23:59:59.999
146,231.56,253.8,225.0,244.56,4414708.13506,2020-06-07 23:59:59.999
