,Open,High,Low,Close,Volume,Close time
0,10.0,11.49,9.85,10.49,88915.91,2020-07-19 23:59:59.999
1,10.47,11.03,5.01,5.38,2560818.06,2020-07-26 23:59:59.999
2,5.36,5.58,2.6,3.2,9722941.64,2020-08-02 23:59:59.999
3,3.19,3.33,2.47,2.78,7235934.33,2020-08-09 23:59:59.999
4,2.78,3.19,1.821,2.002,4776951.34,2020-08-16 23:59:59.999
5,2.0,2.716,1.8,2.532,4684950.05,2020-08-23 23:59:59.999
6,2.534,2.97,1.937,1.944,4292454.17,2020-08-30 23:59:59.999
7,1.949,3.81,1.324,2.797,20675601.04,2020-09-06 23:59:59.999
8,2.816,3.474,2.2,2.552,8854032.58,2020-09-13 23:59:59.999
9,2.551,2.738,2.152,2.44,7803211.23,2020-09-20 23:59:59.999
10,2.45,3.48,2.332,2.483,13929106.03,2020-09-27 23:59:59.999
11,2.483,2.77,2.176,2.481,5743447.4,2020-10-04 23:59:59.999
12,2.491,2.8,1.981,2.07,5779245.76,2020-10-11 23:59:59.999
13,2.076,2.249,1.697,1.985,5424119.32,2020-10-18 23:59:59.999
14,1.98,2.2,1.365,1.497,8759676.67,2020-10-25 23:59:59.999
15,1.501,1.776,1.422,1.56,5951213.46,2020-11-01 23:59:59.999
16,1.558,1.82,0.915,1.03,10512356.8,2020-11-08 23:59:59.999
17,1.036,1.204,0.855,1.08,11370460.74,2020-11-15 23:59:59.999
18,1.083,1.1,0.445,0.5,22917495.06,2020-11-22 23:59:59.999
19,0.501,0.683,0.369,0.387,76119854.11,2020-11-29 23:59:59.999
20,0.386,0.403,0.284,0.34,76580443.56,2020-12-06 23:59:59.999
21,0.34,0.449,0.339,0.36,48079084.07,2020-12-13 23:59:59.999
22,0.361,0.385,0.252,0.3,54531698.01,2020-12-20 23:59:59.999
23,0.3,0.411,0.204,0.233,98301377.35,2020-12-27 23:59:59.999
24,0.232,0.237,0.064,0.073,391522285.27,2021-01-03 23:59:59.999
25,0.073,0.081,0.0259,0.0305,2763455249.06,2021-01-10 23:59:59.999
26,0.0305,0.06,0.0187,0.02152,4653769931.8,2021-01-17 23:59:59.999
27,0.02149,0.02818,0.01482,0.01574,4596480609.9,2021-01-24 23:59:59.999
28,0.01574,0.02225,0.01251,0.01785,8064973652.73,2021-01-31 23:59:59.999
