,Open,High,Low,Close,Volume,Close time
0,10.0,10.24,8.65,9.54,151001.82,2020-07-19 23:59:59.999
1,9.52,19.0,9.06,17.54,984835.08,2020-07-26 23:59:59.999
2,17.61,29.5,16.72,22.51,2289289.36,2020-08-02 23:59:59.999
3,22.56,25.94,20.35,23.4,690826.82,2020-08-09 23:59:59.999
4,23.4,28.911,20.82,27.38,556509.1,2020-08-16 23:59:59.999
5,27.379,28.952,20.794,21.87,297610.78,2020-08-23 23:59:59.999
6,21.87,26.143,19.52,26.142,308992.12,2020-08-30 23:59:59.999
7,26.142,33.123,14.666,17.806,1095845.32,2020-09-06 23:59:59.999
8,17.919,21.237,15.696,18.75,781552.44,2020-09-13 23:59:59.999
9,18.751,21.39,17.6,19.159,378819.52,2020-09-20 23:59:59.999
10,19.12,19.631,13.75,17.74,330845.12,2020-09-27 23:59:59.999
11,17.64,18.928,15.57,17.274,208019.98,2020-10-04 23:59:59.999
12,17.274,19.872,15.35,19.388,216731.94,2020-10-11 23:59:59.999
13,19.388,21.399,18.05,19.72,276244.86,2020-10-18 23:59:59.999
14,19.729,22.989,18.229,21.6,481834.35,2020-10-25 23:59:59.999
15,21.562,22.082,18.524,20.914,397380.12,2020-11-01 23:59:59.999
16,20.922,27.091,18.322,25.803,685888.42,2020-11-08 23:59:59.999
17,25.745,27.99,23.972,25.014,550132.19,2020-11-15 23:59:59.999
18,25.056,37.798,24.645,35.796,645977.51,2020-11-22 23:59:59.999
19,35.617,41.595,21.258,35.603,1467614.72,2020-11-29 23:59:59.999
20,35.652,48.0,31.802,38.976,1340651.24,2020-12-06 23:59:59.999
21,38.953,39.138,28.5,36.399,951026.61,2020-12-13 23:59:59.999
22,36.345,50.595,34.428,42.742,1463402.52,2020-12-20 23:59:59.999
23,42.672,51.422,30.428,47.36,1566026.02,2020-12-27 23:59:59.999
24,47.391,96.866,45.75,89.9,1712542.9,2021-01-03 23:59:59.999
25,89.9,145.198,76.44,121.467,2550040.44,2021-01-10 23:59:59.999
26,121.233,122.432,53.51,101.513,3348076.41,2021-01-17 23:59:59.999
27,101.535,137.608,58.0,120.41,3023765.02,2021-01-24 23:59:59.999
28,120.176,136.23,83.888,101.78,2544595.37,2021-01-31 23:59:59.999
29,102.096,200.0,94.36,138.92,2622953.01,2021-02-07 23:59:59.999
30,138.192,182.823,129.56,164.605,1647947.52,2021-02-14 23:59:59.999
31,164.467,204.239,130.445,179.57,1425554.51,2021-02-21 23:59:59.999
32,180.049,180.081,62.7,79.282,3134614.91,2021-02-28 23:59:59.999
33,79.282,120.5,77.79,119.574,2039076.18,2021-03-07 23:59:59.999
34,119.502,148.999,111.112,132.925,1577330.71,2021-03-14 23:59:59.999
35,132.9,139.69,112.254,120.19,830711.87,2021-03-21 23:59:59.999
36,120.187,123.728,83.616,102.902,709299.37,2021-03-28 23:59:59.999
37,103.111,165.518,101.215,153.474,885538.95,2021-04-04 23:59:59.999
38,153.472,169.999,127.849,160.032,730672.31,2021-04-11 23:59:59.999
39,160.299,215.0,115.0,159.644,1112802.23,2021-04-18 23:59:59.999
40,160.048,219.589,133.002,172.975,1248463.54,2021-04-25 23:59:59.999
41,172.972,266.822,170.306,260.98,778063.42,2021-05-02 23:59:59.999
42,260.98,456.0,260.783,441.375,949289.75,2021-05-09 23:59:59.999
43,442.812,534.533,326.4,371.762,1024838.57,2021-05-16 23:59:59.999
44,371.794,373.675,23.0,42.696,8930286.97,2021-05-23 23:59:59.999
45,42.695,72.1,41.917,50.844,4197327.7,2021-05-30 23:59:59.999
46,51.009,71.691,46.574,62.723,2924956.37,2021-06-06 23:59:59.999
47,62.615,69.128,41.188,52.638,2995414.77,2021-06-13 23:59:59.999
48,52.672,58.666,34.25,41.594,2551660.55,2021-06-20 23:59:59.999
49,41.594,42.146,22.951,32.237,5868107.83,2021-06-27 23:59:59.999
50,32.321,46.581,31.507,44.315,4671483.85,2021-07-04 23:59:59.999
51,44.233,47.716,34.194,37.473,3884323.2,2021-07-11 23:59:59.999
52,37.464,38.47,26.627,28.275,4285410.75,2021-07-18 23:59:59.999
53,28.277,39.234,22.4,38.942,6057094.7,2021-07-25 23:59:59.999
54,38.982,61.901,37.078,54.8,3462918.43,2021-08-01 23:59:59.999
55,54.8,88.0,49.111,78.2,2015763.62,2021-08-08 23:59:59.999
56,78.301,96.2,71.35,94.319,1317307.45,2021-08-15 23:59:59.999
57,94.318,95.9,72.6,89.399,889716.58,2021-08-22 23:59:59.999
58,89.399,97.862,76.615,87.195,660229.69,2021-08-29 23:59:59.999
59,87.074,141.232,82.0,134.6,722969.67,2021-09-05 23:59:59.999
60,134.454,135.662,65.0,81.088,1032343.26,2021-09-12 23:59:59.999
61,81.076,95.712,65.0,76.334,650536.24,2021-09-19 23:59:59.999
62,76.435,77.274,39.531,57.41,2093922.37,2021-09-26 23:59:59.999
63,57.481,72.186,43.784,69.251,1137775.88,2021-10-03 23:59:59.999
64,69.307,81.559,63.202,67.236,642918.58,2021-10-10 23:59:59.999
65,67.236,97.5,64.87,89.974,686613.48,2021-10-17 23:59:59.999
66,89.974,119.764,80.001,101.879,703127.78,2021-10-24 23:59:59.999
67,102.014,123.5,89.206,112.202,534352.36,2021-10-31 23:59:59.999
68,112.439,135.664,103.637,131.129,311425.96,2021-11-07 23:59:59.999
69,131.139,147.756,118.829,130.131,277942.78,2021-11-14 23:59:59.999
70,130.421,139.9,88.577,104.684,509672.35,2021-11-21 23:59:59.999
71,104.785,120.524,85.0,104.917,420086.08,2021-11-28 23:59:59.999
72,105.1,131.724,73.359,103.433,459388.01,2021-12-05 23:59:59.999
73,103.489,114.8,89.0,100.123,234481.29,2021-12-12 23:59:59.999
74,100.041,100.706,76.712,89.733,289354.35,2021-12-19 23:59:59.999
75,89.542,100.82,81.396,96.187,188157.76,2021-12-26 23:59:59.999
76,96.249,99.419,71.041,83.655,195865.09,2022-01-02 23:59:59.999
77,83.431,86.798,41.323,47.979,615151.08,2022-01-09 23:59:59.999
78,47.922,57.554,39.536,55.081,384605.55,2022-01-16 23:59:59.999
79,55.068,55.522,17.894,23.697,1475573.98,2022-01-23 23:59:59.999
80,23.694,28.043,15.0,25.653,2413468.01,2022-01-30 23:59:59.999
81,25.651,37.904,22.771,37.429,1031133.73,2022-02-06 23:59:59.999
82,37.425,42.932,31.17,32.153,890248.22,2022-02-13 23:59:59.999
83,32.153,41.5,23.963,25.12,939408.35,2022-02-20 23:59:59.999
84,25.213,29.458,17.033,24.212,2199172.56,2022-02-27 23:59:59.999
85,24.216,32.88,22.258,22.584,1473163.26,2022-03-06 23:59:59.999
86,22.592,27.761,20.274,21.9,1536610.85,2022-03-13 23:59:59.999
87,21.885,32.909,21.502,30.023,1284499.31,2022-03-20 23:59:59.999
88,30.139,42.248,29.464,42.202,803697.69,2022-03-27 23:59:59.999
89,42.102,52.499,39.646,50.591,694416.95,2022-04-03 23:59:59.999
90,50.56,50.788,38.537,40.5,547053.85,2022-04-10 23:59:59.999
91,40.544,40.999,31.716,33.241,714289.27,2022-04-17 23:59:59.999
92,33.241,39.171,29.702,31.153,732483.47,2022-04-24 23:59:59.999
93,31.119,33.596,26.7,29.636,1013113.05,2022-05-01 23:59:59.999
94,29.652,32.29,19.596,20.53,1250613.95,2022-05-08 23:59:59.999
95,20.506,20.828,6.753,10.684,3957434.81,2022-05-15 23:59:59.999
96,10.692,10.692,8.137,9.534,1865903.69,2022-05-22 23:59:59.999
97,9.528,9.992,6.32,7.224,2866782.62,2022-05-29 23:59:59.999
98,7.235,8.924,6.512,7.039,2295293.57,2022-06-05 23:59:59.999
0,7.041,7.929,4.329,4.424,4635543.94,2022-06-12 23:59:59.999000
