,Open,High,Low,Close,Volume,Close time
0,196.2,958.4,196.2,267.8,501560.841,2021-08-15 23:59:59.999
1,267.8,300.9,235.1,244.4,203826.827,2021-08-22 23:59:59.999
2,244.5,386.0,210.0,274.9,625022.939,2021-08-29 23:59:59.999
3,274.5,285.0,237.7,261.5,344200.818,2021-09-05 23:59:59.999
4,261.5,270.0,164.7,207.5,206385.215,2021-09-12 23:59:59.999
5,207.7,235.0,188.4,194.8,227443.875,2021-09-19 23:59:59.999
6,194.3,199.8,153.0,164.8,212568.232,2021-09-26 23:59:59.999
7,164.5,193.0,155.0,179.3,119236.043,2021-10-03 23:59:59.999
8,179.3,228.1,161.4,170.4,188806.424,2021-10-10 23:59:59.999
9,170.4,240.0,160.6,174.9,254023.768,2021-10-17 23:59:59.999
10,174.7,193.5,163.0,165.9,124614.306,2021-10-24 23:59:59.999
11,165.9,197.6,145.0,159.6,145108.565,2021-10-31 23:59:59.999
12,159.7,187.7,149.5,166.5,134952.336,2021-11-07 23:59:59.999
13,166.6,169.0,146.2,151.2,92587.052,2021-11-14 23:59:59.999
14,151.1,157.8,118.0,135.0,123123.92,2021-11-21 23:59:59.999
15,134.8,152.0,113.2,128.2,122909.158,2021-11-28 23:59:59.999
16,128.2,130.2,87.3,105.2,104326.781,2021-12-05 23:59:59.999
17,105.2,136.4,90.7,95.2,185830.836,2021-12-12 23:59:59.999
18,95.2,126.2,81.4,95.3,265953.019,2021-12-19 23:59:59.999
19,95.4,102.8,85.0,96.5,82745.34,2021-12-26 23:59:59.999
20,96.5,285.0,96.1,179.9,3585854.989,2022-01-02 23:59:59.999
21,179.9,188.0,136.4,142.7,657195.536,2022-01-09 23:59:59.999
22,142.7,171.4,125.0,144.1,531976.813,2022-01-16 23:59:59.999
23,144.2,149.0,88.2,111.5,398096.775,2022-01-23 23:59:59.999
24,111.7,117.9,97.3,105.1,210224.627,2022-01-30 23:59:59.999
25,105.2,133.8,99.6,121.5,253108.475,2022-02-06 23:59:59.999
26,121.4,130.0,102.4,108.2,212126.201,2022-02-13 23:59:59.999
27,108.5,118.0,89.5,101.6,231605.364,2022-02-20 23:59:59.999
28,101.7,114.8,81.1,89.4,204092.025,2022-02-27 23:59:59.999
29,89.3,108.0,86.1,89.6,192373.543,2022-03-06 23:59:59.999
30,89.6,100.7,84.7,88.3,201272.569,2022-03-13 23:59:59.999
31,88.4,160.0,85.6,114.0,1000279.411,2022-03-20 23:59:59.999
32,114.1,124.4,99.1,109.5,291742.524,2022-03-27 23:59:59.999
33,109.5,123.7,105.0,112.8,237583.178,2022-04-03 23:59:59.999
34,112.8,117.7,99.4,100.8,152255.001,2022-04-10 23:59:59.999
35,100.7,110.0,90.7,94.3,170259.422,2022-04-17 23:59:59.999
36,94.3,100.2,91.7,93.9,82523.861,2022-04-24 23:59:59.999
37,93.9,97.0,81.0,83.3,107424.063,2022-05-01 23:59:59.999
38,83.2,90.7,70.1,70.7,86297.805,2022-05-08 23:59:59.999
39,70.7,71.4,32.7,54.3,211684.778,2022-05-15 23:59:59.999
40,54.4,65.0,47.4,51.6,200937.12,2022-05-22 23:59:59.999
41,51.5,54.3,40.8,44.9,89897.302,2022-05-29 23:59:59.999
42,45.0,51.7,41.5,42.8,154798.03,2022-06-05 23:59:59.999
0,42.8,50.0,34.4,35.0,102084.472,2022-06-12 23:59:59.999000
