,Open,High,Low,Close,Volume,Close time
0,5.655,7.315,5.655,7.115,11433417.2,2021-10-03 23:59:59.999
1,7.115,7.167,6.12,6.131,1885211.3,2021-10-10 23:59:59.999
2,6.139,7.091,5.781,6.635,817969.0,2021-10-17 23:59:59.999
3,6.635,8.66,6.396,8.112,2466550.0,2021-10-24 23:59:59.999
4,8.145,8.909,7.128,8.12,776796.3,2021-10-31 23:59:59.999
5,8.124,107.365,7.955,9.792,16479420.5,2021-11-07 23:59:59.999
6,9.797,10.055,8.0,9.389,1887126.5,2021-11-14 23:59:59.999
7,9.395,9.721,7.4,8.967,1339084.5,2021-11-21 23:59:59.999
8,8.97,8.99,7.154,7.889,865234.9,2021-11-28 23:59:59.999
9,7.9,9.385,6.5,7.549,2176911.7,2021-12-05 23:59:59.999
10,7.537,8.139,6.308,6.77,930687.1,2021-12-12 23:59:59.999
11,6.756,6.771,4.775,4.785,1468721.9,2021-12-19 23:59:59.999
12,4.79,5.109,4.376,4.495,2440832.0,2021-12-26 23:59:59.999
13,4.516,5.982,3.495,3.666,4536924.6,2022-01-02 23:59:59.999
14,3.665,3.669,2.44,2.606,2828710.6,2022-01-09 23:59:59.999
15,2.609,3.43,2.511,2.61,11685322.9,2022-01-16 23:59:59.999
16,2.613,2.621,1.331,1.969,6882411.5,2022-01-23 23:59:59.999
17,1.968,2.6,1.596,2.204,31076815.8,2022-01-30 23:59:59.999
18,2.204,3.1,2.113,2.24,32085324.5,2022-02-06 23:59:59.999
19,2.238,3.899,2.085,2.437,49928654.7,2022-02-13 23:59:59.999
20,2.436,2.524,1.926,2.026,15278877.2,2022-02-20 23:59:59.999
21,2.026,2.112,1.623,1.684,7531767.7,2022-02-27 23:59:59.999
22,1.681,2.65,1.647,1.786,26418697.5,2022-03-06 23:59:59.999
23,1.787,2.05,1.569,1.578,10971399.2,2022-03-13 23:59:59.999
24,1.576,1.835,1.541,1.641,12013729.1,2022-03-20 23:59:59.999
25,1.643,2.091,1.629,2.0,18742596.0,2022-03-27 23:59:59.999
26,1.999,2.19,1.764,2.097,19362381.3,2022-04-03 23:59:59.999
27,2.096,2.17,1.628,1.64,12150670.5,2022-04-10 23:59:59.999
28,1.64,1.651,1.401,1.434,10788848.2,2022-04-17 23:59:59.999
29,1.432,1.546,1.335,1.351,9016013.8,2022-04-24 23:59:59.999
30,1.349,1.35,1.049,1.094,9777577.2,2022-05-01 23:59:59.999
31,1.094,1.137,0.9,0.915,8972162.7,2022-05-08 23:59:59.999
32,0.915,0.929,0.525,0.649,11762737.4,2022-05-15 23:59:59.999
33,0.65,0.687,0.549,0.581,8533927.7,2022-05-22 23:59:59.999
34,0.581,0.715,0.447,0.503,24439681.5,2022-05-29 23:59:59.999
35,0.503,0.559,0.457,0.478,19411224.6,2022-06-05 23:59:59.999
0,0.479,0.527,0.369,0.375,15561009.8,2022-06-12 23:59:59.999000
0,0.374,0.458,0.282,0.337,24178578.6,2022-06-19 23:59:59.999000
1,0.337,0.448,0.322,0.355,31141739.6,2022-06-26 23:59:59.999000
2,0.355,0.4443,0.341,0.371,36821192.5,2022-07-03 23:59:59.999000
3,0.371,0.579,0.3641,0.4206,49094015.8,2022-07-10 23:59:59.999000
4,0.4196,1.2288,0.347,0.5067,158690298.2,2022-07-17 23:59:59.999000
