,Open,High,Low,Close,Volume,Close time
0,10.0,430.0,10.0,32.4049,4047046.54,2020-10-18 23:59:59.999
1,32.3569,39.7777,20.6023,38.6663,5387902.82,2020-10-25 23:59:59.999
2,38.7826,40.8939,28.1306,31.6076,4767983.36,2020-11-01 23:59:59.999
3,31.5645,33.3249,27.9081,30.7588,5466249.88,2020-11-08 23:59:59.999
4,30.7588,32.3992,27.4413,27.7306,4016613.89,2020-11-15 23:59:59.999
5,27.7306,31.1452,27.1839,28.9382,5010444.3,2020-11-22 23:59:59.999
6,28.9279,35.3122,28.7314,30.0018,6684981.98,2020-11-29 23:59:59.999
7,30.0193,31.9769,28.9173,29.3247,3923320.67,2020-12-06 23:59:59.999
8,29.3252,34.0,29.2744,29.99,6906883.98,2020-12-13 23:59:59.999
9,29.9843,30.1557,27.822,28.3891,3524943.04,2020-12-20 23:59:59.999
10,28.3897,28.3967,21.2126,22.236,6992309.32,2020-12-27 23:59:59.999
11,22.2373,26.2,19.959,21.4253,8922694.18,2021-01-03 23:59:59.999
12,21.4398,24.3442,20.8888,23.4251,8160939.09,2021-01-10 23:59:59.999
13,23.4136,26.1297,20.9158,24.3442,9936069.77,2021-01-17 23:59:59.999
14,24.3355,24.9271,20.7176,22.7027,10316904.8,2021-01-24 23:59:59.999
15,22.7029,23.0362,21.193,22.2488,5964344.48,2021-01-31 23:59:59.999
16,22.249,25.6116,22.01,24.0475,9421409.72,2021-02-07 23:59:59.999
17,24.0399,53.0,23.819,47.125,36397329.5,2021-02-14 23:59:59.999
18,47.1332,50.6677,36.05,44.6468,20815393.36,2021-02-21 23:59:59.999
19,44.6216,44.835,31.4204,35.9652,15443518.41,2021-02-28 23:59:59.999
20,35.9677,45.0,35.5,41.3943,9938191.63,2021-03-07 23:59:59.999
21,41.4099,57.3707,40.4285,53.8001,12280880.14,2021-03-14 23:59:59.999
22,53.7835,96.6659,50.7144,80.651,26949089.96,2021-03-21 23:59:59.999
23,80.652,139.6672,73.3627,125.2637,25395715.66,2021-03-28 23:59:59.999
24,125.2633,238.2033,123.7402,182.7438,34070118.65,2021-04-04 23:59:59.999
25,182.8548,189.0,135.5526,179.0979,14518031.66,2021-04-11 23:59:59.999
26,179.0789,195.6962,130.0,156.3278,16197156.89,2021-04-18 23:59:59.999
27,156.2945,164.8186,130.0,134.04,8923574.4569,2021-04-25 23:59:59.999
28,134.04,168.0,133.47,162.46,7070648.1368,2021-05-02 23:59:59.999
29,162.46,165.63,135.1,146.5,7840770.8841,2021-05-09 23:59:59.999
30,146.51,149.33,87.26,107.81,12960840.433,2021-05-16 23:59:59.999
31,107.79,107.88,55.0,64.88,27647487.7559,2021-05-23 23:59:59.999
32,64.87,79.76,62.24,68.34,18323606.5035,2021-05-30 23:59:59.999
33,68.34,97.99,66.28,86.99,20872361.2564,2021-06-06 23:59:59.999
34,86.98,92.1,66.0,73.13,17801981.4102,2021-06-13 23:59:59.999
35,73.11,77.72,59.92,63.2,10293143.3035,2021-06-20 23:59:59.999
36,63.19,63.73,42.53,56.2,23741523.9923,2021-06-27 23:59:59.999
37,56.19,66.31,54.88,58.72,14866564.5852,2021-07-04 23:59:59.999
38,58.72,58.72,52.71,55.12,6690945.6088,2021-07-11 23:59:59.999
39,55.11,55.49,45.12,46.83,7224289.4887,2021-07-18 23:59:59.999
40,46.82,51.34,40.08,49.01,11662577.2272,2021-07-25 23:59:59.999
41,49.01,58.35,47.29,53.85,17173769.7963,2021-08-01 23:59:59.999
42,53.85,70.84,52.72,64.48,18030465.5159,2021-08-08 23:59:59.999
43,64.49,75.59,61.42,73.06,20351156.766,2021-08-15 23:59:59.999
44,73.06,79.29,66.0,77.17,17938990.7385,2021-08-22 23:59:59.999
45,77.16,82.48,70.33,73.63,16599738.8846,2021-08-29 23:59:59.999
46,73.62,120.17,70.43,113.65,25111539.8737,2021-09-05 23:59:59.999
47,113.64,118.5,71.2,83.63,48432105.54,2021-09-12 23:59:59.999
48,83.63,90.64,72.72,83.53,22263524.67,2021-09-19 23:59:59.999
49,83.54,83.69,50.0,55.77,47818550.4065,2021-09-26 23:59:59.999
50,55.78,73.98,54.71,69.11,37289740.1094,2021-10-03 23:59:59.999
51,69.1,81.22,65.66,69.81,33454780.12,2021-10-10 23:59:59.999
52,69.82,74.82,60.7,63.86,30314439.19,2021-10-17 23:59:59.999
53,63.86,68.2,61.23,62.59,20703331.88,2021-10-24 23:59:59.999
54,62.6,66.76,52.0,64.4,27548956.7,2021-10-31 23:59:59.999
55,64.41,66.46,58.0,62.56,20876192.09,2021-11-07 23:59:59.999
56,62.56,69.64,58.53,62.55,29188436.42,2021-11-14 23:59:59.999
57,62.54,63.42,48.53,53.15,38439021.2633,2021-11-21 23:59:59.999
58,53.16,59.49,48.62,56.46,38361246.17,2021-11-28 23:59:59.999
59,56.46,57.2,32.67,39.1,47325646.2613,2021-12-05 23:59:59.999
60,39.1,43.61,35.52,39.67,32533766.62,2021-12-12 23:59:59.999
61,39.68,40.02,35.21,35.79,20034514.17,2021-12-19 23:59:59.999
62,35.79,38.07,33.83,37.28,18198677.89,2021-12-26 23:59:59.999
63,37.29,41.27,33.29,35.74,24210940.84,2022-01-02 23:59:59.999
64,35.74,38.5,28.35,30.21,27102058.0373,2022-01-09 23:59:59.999
65,30.21,31.48,26.32,30.38,19261822.7224,2022-01-16 23:59:59.999
66,30.38,30.46,16.97,19.49,28138596.9251,2022-01-23 23:59:59.999
67,19.49,20.88,16.82,19.82,29406224.06,2022-01-30 23:59:59.999
68,19.82,22.81,18.97,22.45,18334294.86,2022-02-06 23:59:59.999
69,22.45,26.68,20.28,20.57,25181858.9229,2022-02-13 23:59:59.999
70,20.57,23.58,19.34,19.79,20245752.5,2022-02-20 23:59:59.999
71,19.8,21.35,16.73,20.36,21913584.76,2022-02-27 23:59:59.999
72,20.37,22.28,18.25,18.45,17340191.43,2022-03-06 23:59:59.999
73,18.46,19.38,17.03,17.24,11940143.96,2022-03-13 23:59:59.999
74,17.25,18.4,16.5,17.64,10583759.2,2022-03-20 23:59:59.999
75,17.65,24.1,17.34,23.7,22023204.32,2022-03-27 23:59:59.999
76,23.69,28.15,22.89,25.43,53962241.22,2022-04-03 23:59:59.999
77,25.43,26.57,20.81,21.02,27377849.0,2022-04-10 23:59:59.999
78,21.02,22.15,18.0,19.7,19895215.99,2022-04-17 23:59:59.999
79,19.7,21.17,18.43,18.91,21959213.68,2022-04-24 23:59:59.999
80,18.92,18.95,11.85,15.12,30874777.26,2022-05-01 23:59:59.999
81,15.12,15.96,12.8,13.1,28142269.9,2022-05-08 23:59:59.999
82,13.11,13.3,6.71,9.16,60332421.53,2022-05-15 23:59:59.999
83,9.17,9.17,7.38,8.45,19034121.1,2022-05-22 23:59:59.999
84,8.45,9.5,7.14,7.62,25311457.4,2022-05-29 23:59:59.999
85,7.62,8.36,7.21,7.36,17954334.51,2022-06-05 23:59:59.999
