,Open,High,Low,Close,Volume,Close time
0,3.341,4.399,2.65,2.811,12120327.232,2021-03-07 23:59:59.999
1,2.803,4.08,2.578,3.801,12833043.961,2021-03-14 23:59:59.999
2,3.801,4.88,3.222,3.956,9651481.364,2021-03-21 23:59:59.999
3,3.971,4.75,3.447,3.974,6193431.322,2021-03-28 23:59:59.999
4,3.975,4.43,3.571,3.793,5322446.398,2021-04-04 23:59:59.999
5,3.797,4.076,3.121,3.631,5223791.778,2021-04-11 23:59:59.999
6,3.639,3.696,2.45,2.794,4045451.771,2021-04-18 23:59:59.999
7,2.8,3.08,1.56,1.767,8894813.02,2021-04-25 23:59:59.999
8,1.769,4.64,1.733,3.309,60677827.568,2021-05-02 23:59:59.999
9,3.317,3.593,2.55,2.737,19565892.825,2021-05-09 23:59:59.999
10,2.737,3.149,2.192,2.355,15711175.221,2021-05-16 23:59:59.999
11,2.356,2.844,0.967,1.246,75646587.585,2021-05-23 23:59:59.999
12,1.243,1.691,1.071,1.263,18315997.788,2021-05-30 23:59:59.999
13,1.26,1.738,1.183,1.344,18480145.246,2021-06-06 23:59:59.999
14,1.344,1.547,1.01,1.291,31156099.211,2021-06-13 23:59:59.999
15,1.293,1.36,1.024,1.108,14235876.169,2021-06-20 23:59:59.999
16,1.112,1.112,0.586,0.699,19254861.554,2021-06-27 23:59:59.999
17,0.698,0.847,0.645,0.747,15183298.389,2021-07-04 23:59:59.999
18,0.746,0.834,0.668,0.771,10430107.957,2021-07-11 23:59:59.999
19,0.771,1.097,0.667,0.766,39495869.013,2021-07-18 23:59:59.999
20,0.765,0.877,0.588,0.858,16494385.932,2021-07-25 23:59:59.999
21,0.853,1.063,0.736,0.89,26672781.654,2021-08-01 23:59:59.999
22,0.889,4.061,0.864,2.41,343969927.186,2021-08-08 23:59:59.999
23,2.41,2.871,2.011,2.205,81787147.279,2021-08-15 23:59:59.999
24,2.205,2.426,2.03,2.293,38352439.533,2021-08-22 23:59:59.999
25,2.296,2.7,2.008,2.386,50585714.326,2021-08-29 23:59:59.999
26,2.386,2.844,2.08,2.4065,47090905.48,2021-09-05 23:59:59.999
27,2.4052,2.4912,1.4887,1.687,31756830.302,2021-09-12 23:59:59.999
28,1.6869,2.282,1.4336,1.769,46263056.521,2021-09-19 23:59:59.999
29,1.769,1.7783,1.1835,1.3685,28135956.149,2021-09-26 23:59:59.999
30,1.3648,1.625,1.32,1.5465,24264261.0,2021-10-03 23:59:59.999
31,1.5524,2.19,1.4324,1.7496,40156689.0,2021-10-10 23:59:59.999
32,1.7495,1.98,1.53,1.7041,28619706.0,2021-10-17 23:59:59.999
33,1.7041,2.057,1.65,1.806,30958036.0,2021-10-24 23:59:59.999
34,1.806,1.888,1.506,1.6831,17147523.0,2021-10-31 23:59:59.999
35,1.6852,2.5299,1.6109,1.7646,37972917.0,2021-11-07 23:59:59.999
36,1.7625,1.8718,1.63,1.699,11378049.0,2021-11-14 23:59:59.999
37,1.7025,1.9212,1.3619,1.765,26747895.0,2021-11-21 23:59:59.999
38,1.7647,2.53,1.5787,1.7627,86183423.0,2021-11-28 23:59:59.999
39,1.7628,1.773,1.069,1.2111,20728339.839,2021-12-05 23:59:59.999
40,1.2143,1.5609,1.09,1.2537,38104605.0,2021-12-12 23:59:59.999
41,1.2523,1.6486,1.055,1.1685,31131695.0,2021-12-19 23:59:59.999
42,1.169,1.33,1.0932,1.2745,17084898.0,2021-12-26 23:59:59.999
43,1.275,1.4797,1.113,1.1916,11715650.0,2022-01-02 23:59:59.999
44,1.1903,1.243,0.9583,1.0115,10198441.36,2022-01-09 23:59:59.999
45,1.013,1.123,0.9068,1.0377,10081962.181,2022-01-16 23:59:59.999
46,1.037,1.0559,0.6,0.7158,12586255.145,2022-01-23 23:59:59.999
47,0.7117,0.82,0.6118,0.7145,18127713.0,2022-01-30 23:59:59.999
48,0.7139,0.875,0.6833,0.8017,20354690.0,2022-02-06 23:59:59.999
49,0.8023,1.045,0.7368,0.7419,29959246.0,2022-02-13 23:59:59.999
50,0.7419,0.7973,0.634,0.6477,17403190.0,2022-02-20 23:59:59.999
51,0.6483,0.6743,0.4943,0.5604,22002682.079,2022-02-27 23:59:59.999
52,0.5599,0.7095,0.5508,0.6148,29093253.0,2022-03-06 23:59:59.999
53,0.6143,0.69,0.5742,0.5788,15672913.0,2022-03-13 23:59:59.999
54,0.5787,0.75,0.557,0.6367,31756514.0,2022-03-20 23:59:59.999
55,0.6374,0.79,0.635,0.7529,22730925.0,2022-03-27 23:59:59.999
56,0.7521,0.8843,0.696,0.8202,22056232.0,2022-04-03 23:59:59.999
57,0.8202,0.8712,0.6704,0.675,27897588.0,2022-04-10 23:59:59.999
58,0.6731,0.735,0.6253,0.6274,21413750.0,2022-04-17 23:59:59.999
59,0.6275,0.719,0.5919,0.6256,15977774.0,2022-04-24 23:59:59.999
60,0.6259,0.659,0.5112,0.5371,11815161.0,2022-05-01 23:59:59.999
61,0.5374,0.5748,0.456,0.4597,11175853.609,2022-05-08 23:59:59.999
62,0.4594,0.6,0.1738,0.3757,111708610.0,2022-05-15 23:59:59.999
63,0.375,0.4099,0.3055,0.3198,35537351.0,2022-05-22 23:59:59.999
64,0.32,0.5594,0.2831,0.3393,148401632.0,2022-05-29 23:59:59.999
65,0.3398,0.3868,0.3166,0.3307,28168669.0,2022-06-05 23:59:59.999
