,Open,High,Low,Close,Volume,Close time
0,18.31,35.61,18.31,21.09,9098132.25,2021-08-01 23:59:59.999
1,21.13,23.5,20.27,21.46,3612770.95,2021-08-08 23:59:59.999
2,21.46,26.69,20.57,23.06,3246940.95,2021-08-15 23:59:59.999
3,23.05,25.38,21.12,23.06,2813622.96,2021-08-22 23:59:59.999
4,23.08,28.91,20.81,27.61,5787601.48,2021-08-29 23:59:59.999
5,27.6,29.1,24.0,26.72,6570788.01,2021-09-05 23:59:59.999
6,26.73,26.79,18.4,20.76,3753773.84,2021-09-12 23:59:59.999
7,20.72,25.75,18.63,20.16,5206770.74,2021-09-19 23:59:59.999
8,20.14,20.17,15.07,15.65,5415739.19,2021-09-26 23:59:59.999
9,15.67,19.08,14.85,19.02,3231084.17,2021-10-03 23:59:59.999
10,19.02,21.54,17.87,18.26,5355615.79,2021-10-10 23:59:59.999
11,18.26,19.03,15.15,15.72,8512023.22,2021-10-17 23:59:59.999
12,15.72,15.96,12.09,13.13,24936903.01,2021-10-24 23:59:59.999
13,13.14,16.78,11.55,14.0,20076678.0,2021-10-31 23:59:59.999
14,14.01,14.82,13.29,13.77,10229484.19,2021-11-07 23:59:59.999
15,13.77,13.99,12.5,12.97,9396741.31,2021-11-14 23:59:59.999
16,12.98,17.0,11.6,14.61,22558700.31,2021-11-21 23:59:59.999
17,14.62,15.63,11.0,12.32,26353218.56,2021-11-28 23:59:59.999
18,12.32,13.03,8.7,9.25,16374762.71,2021-12-05 23:59:59.999
19,9.25,10.56,8.63,9.21,15746900.3,2021-12-12 23:59:59.999
20,9.21,9.3,8.18,8.34,9031301.65,2021-12-19 23:59:59.999
21,8.33,9.58,8.0,9.25,9902393.88,2021-12-26 23:59:59.999
22,9.24,9.71,8.47,9.26,8719077.04,2022-01-02 23:59:59.999
23,9.26,9.28,7.55,7.79,10024575.43,2022-01-09 23:59:59.999
24,7.8,8.13,7.18,7.62,9745197.08,2022-01-16 23:59:59.999
25,7.62,7.62,4.5,5.22,21563144.6,2022-01-23 23:59:59.999
26,5.21,7.31,4.3,6.74,30268640.67,2022-01-30 23:59:59.999
27,6.73,7.52,5.67,7.45,22534500.15,2022-02-06 23:59:59.999
28,7.45,8.98,6.76,7.06,31608679.25,2022-02-13 23:59:59.999
29,7.07,7.66,5.62,5.74,14140021.23,2022-02-20 23:59:59.999
30,5.73,6.35,4.63,5.74,20759628.81,2022-02-27 23:59:59.999
31,5.74,6.9,5.5,5.61,13928434.88,2022-03-06 23:59:59.999
32,5.6,6.16,5.28,5.31,7927431.7,2022-03-13 23:59:59.999
33,5.31,6.26,5.13,5.84,12635442.71,2022-03-20 23:59:59.999
34,5.85,6.86,5.85,6.83,15406983.4,2022-03-27 23:59:59.999
35,6.83,8.2,6.39,7.46,30435351.78,2022-04-03 23:59:59.999
36,7.47,7.76,6.03,6.06,16572375.18,2022-04-10 23:59:59.999
37,6.06,6.26,5.33,5.58,13857890.77,2022-04-17 23:59:59.999
38,5.58,6.06,5.28,5.48,10630582.64,2022-04-24 23:59:59.999
39,5.48,5.62,4.3,4.76,12067433.05,2022-05-01 23:59:59.999
40,4.75,5.21,4.18,4.28,16273528.97,2022-05-08 23:59:59.999
41,4.28,4.6,2.28,3.09,52740350.77,2022-05-15 23:59:59.999
42,3.09,3.29,2.67,2.89,26125189.25,2022-05-22 23:59:59.999
43,2.88,3.0,2.3,2.43,15878858.79,2022-05-29 23:59:59.999
44,2.44,2.92,2.38,2.43,13961005.86,2022-06-05 23:59:59.999
0,2.43,2.6,1.79,1.79,12927122.3,2022-06-12 23:59:59.999000
0,1.79,1.82,1.16,1.38,23199319.71,2022-06-19 23:59:59.999000
1,1.37,1.81,1.32,1.63,17747336.29,2022-06-26 23:59:59.999000
2,1.63,1.81,1.39,1.54,18422855.46,2022-07-03 23:59:59.999000
3,1.55,1.73,1.49,1.65,12664387.93,2022-07-10 23:59:59.999000
4,1.65,1.65,1.38,1.57,12452207.1,2022-07-17 23:59:59.999000
