,Open,High,Low,Close,Volume,Close time
0,1.22,5.0,1.22,1.85,89170795.01,2021-12-12 23:59:59.999
1,1.848,2.076,1.347,1.573,61341821.55,2021-12-19 23:59:59.999
2,1.574,2.95,1.461,2.461,63502447.49,2021-12-26 23:59:59.999
3,2.462,3.425,1.883,2.948,51074602.02,2022-01-02 23:59:59.999
4,2.947,3.45,2.205,2.85,99144742.73,2022-01-09 23:59:59.999
5,2.849,3.05,2.371,2.65,41240203.31,2022-01-16 23:59:59.999
6,2.65,2.658,1.292,1.574,72752618.01,2022-01-23 23:59:59.999
7,1.573,1.715,1.278,1.542,41635824.55,2022-01-30 23:59:59.999
8,1.545,1.9,1.394,1.786,32254951.75,2022-02-06 23:59:59.999
9,1.786,2.065,1.475,1.659,33488788.67,2022-02-13 23:59:59.999
10,1.659,1.783,1.317,1.353,17356675.0,2022-02-20 23:59:59.999
11,1.352,1.485,1.133,1.311,22933599.66,2022-02-27 23:59:59.999
12,1.307,1.566,1.29,1.344,16447478.24,2022-03-06 23:59:59.999
13,1.342,1.678,1.3,1.425,31159638.06,2022-03-13 23:59:59.999
14,1.425,1.5,1.363,1.443,11510475.09,2022-03-20 23:59:59.999
15,1.443,1.7,1.421,1.674,16323924.04,2022-03-27 23:59:59.999
16,1.672,2.1,1.637,1.897,28679110.41,2022-04-03 23:59:59.999
17,1.896,1.9,1.501,1.597,10554001.04,2022-04-10 23:59:59.999
18,1.596,1.64,1.39,1.442,9278499.81,2022-04-17 23:59:59.999
19,1.44,1.513,1.305,1.309,7373847.78,2022-04-24 23:59:59.999
20,1.31,1.564,1.265,1.367,31360045.82,2022-05-01 23:59:59.999
21,1.366,2.1,1.16,1.253,78266989.37,2022-05-08 23:59:59.999
22,1.253,1.293,0.56,0.782,38432538.54,2022-05-15 23:59:59.999
23,0.782,0.782,0.63,0.698,13235070.9,2022-05-22 23:59:59.999
24,0.699,0.898,0.628,0.678,21162101.58,2022-05-29 23:59:59.999
25,0.679,0.758,0.642,0.663,18228362.36,2022-06-05 23:59:59.999
0,0.661,0.695,0.502,0.502,19766708.96,2022-06-12 23:59:59.999000
