,Open,High,Low,Close,Volume,Close time
0,1.2824,1.55,1.1818,1.2174,13942189.0,2021-10-10 23:59:59.999
1,1.2117,1.4598,1.1496,1.2286,13085252.0,2021-10-17 23:59:59.999
2,1.2301,1.3765,1.2001,1.2393,10678117.0,2021-10-24 23:59:59.999
3,1.2331,1.3289,0.9249,1.144,18358995.0,2021-10-31 23:59:59.999
4,1.1479,1.24,1.0842,1.1238,10610027.0,2021-11-07 23:59:59.999
5,1.1238,1.3278,1.0145,1.0795,16798690.0,2021-11-14 23:59:59.999
6,1.0801,1.5472,0.8344,1.1244,38417838.0,2021-11-21 23:59:59.999
7,1.1244,1.4109,0.8502,0.9405,48479791.0,2021-11-28 23:59:59.999
8,0.9448,1.27,0.644,0.7859,51022351.0,2021-12-05 23:59:59.999
9,0.7858,0.8361,0.6682,0.7102,28718805.0,2021-12-12 23:59:59.999
10,0.7102,0.83,0.6015,0.7289,46999914.0,2021-12-19 23:59:59.999
11,0.7284,0.82,0.6548,0.7703,34575305.0,2021-12-26 23:59:59.999
12,0.7728,1.1346,0.66,0.7032,32638394.0,2022-01-02 23:59:59.999
13,0.7017,0.85,0.5624,0.6045,27780845.0,2022-01-09 23:59:59.999
14,0.6056,0.6929,0.5427,0.628,12548632.0,2022-01-16 23:59:59.999
15,0.627,0.6323,0.3867,0.4341,19474128.0,2022-01-23 23:59:59.999
16,0.4348,0.81,0.37,0.4965,107774000.0,2022-01-30 23:59:59.999
17,0.4963,0.588,0.4644,0.5433,32232227.0,2022-02-06 23:59:59.999
18,0.5432,0.5599,0.4638,0.4736,24798137.0,2022-02-13 23:59:59.999
19,0.4731,0.5202,0.4207,0.4291,23184301.0,2022-02-20 23:59:59.999
20,0.4287,0.47,0.3523,0.3857,32130249.0,2022-02-27 23:59:59.999
21,0.3856,0.809,0.3834,0.4476,222957759.0,2022-03-06 23:59:59.999
22,0.4476,0.5443,0.412,0.4268,73673695.0,2022-03-13 23:59:59.999
23,0.4263,0.7488,0.4189,0.4815,153280301.0,2022-03-20 23:59:59.999
24,0.4818,0.6558,0.4755,0.5622,119746584.0,2022-03-27 23:59:59.999
25,0.5628,0.6741,0.5386,0.6236,29444221.0,2022-04-03 23:59:59.999
26,0.6237,0.7705,0.5124,0.5508,80326763.0,2022-04-10 23:59:59.999
27,0.5503,0.5625,0.4735,0.4983,24538186.0,2022-04-17 23:59:59.999
28,0.4982,0.5597,0.4735,0.4963,19368983.0,2022-04-24 23:59:59.999
29,0.4968,0.5305,0.3811,0.4115,30550059.0,2022-05-01 23:59:59.999
30,0.4122,0.45,0.33,0.3415,25670900.0,2022-05-08 23:59:59.999
31,0.3411,0.345,0.134,0.264,54790097.0,2022-05-15 23:59:59.999
32,0.263,0.329,0.2325,0.2702,60164286.0,2022-05-22 23:59:59.999
33,0.2703,0.2828,0.2384,0.2737,24933349.0,2022-05-29 23:59:59.999
34,0.2737,0.2938,0.2165,0.2306,20654302.0,2022-06-05 23:59:59.999
