,Open,High,Low,Close,Volume,Close time
0,21.456,24.38,17.601,18.546,325322.9,2021-12-12 23:59:59.999
1,18.54,18.734,13.348,14.414,297929.0,2021-12-19 23:59:59.999
2,14.409,22.95,13.751,20.503,1063446.9,2021-12-26 23:59:59.999
3,20.431,43.899,20.122,35.05,3751754.8,2022-01-02 23:59:59.999
4,35.05,42.499,31.564,36.151,2373045.6,2022-01-09 23:59:59.999
5,36.209,45.9,34.015,37.08,1543947.4,2022-01-16 23:59:59.999
6,37.067,37.067,18.7,20.35,1496553.2,2022-01-23 23:59:59.999
7,20.359,23.84,16.756,21.493,2258081.1,2022-01-30 23:59:59.999
8,21.464,22.549,17.36,20.136,724173.2,2022-02-06 23:59:59.999
9,20.136,27.969,19.728,24.365,2331543.0,2022-02-13 23:59:59.999
10,24.45,27.504,20.124,21.535,943895.0,2022-02-20 23:59:59.999
11,21.539,23.314,16.446,20.564,921502.3,2022-02-27 23:59:59.999
12,20.576,26.2,20.5,20.587,863188.2,2022-03-06 23:59:59.999
13,20.587,20.587,16.119,18.028,1415469.7,2022-03-13 23:59:59.999
14,17.947,20.067,17.0,17.68,607216.5,2022-03-20 23:59:59.999
15,17.672,21.8,17.0,21.54,1245098.7,2022-03-27 23:59:59.999
16,21.531,44.0,21.033,38.442,9443952.7,2022-04-03 23:59:59.999
17,38.395,39.969,29.264,30.704,4717630.7,2022-04-10 23:59:59.999
18,30.704,33.574,25.7,30.61,2792231.8,2022-04-17 23:59:59.999
19,30.605,37.585,28.51,28.524,3377784.1,2022-04-24 23:59:59.999
20,28.54,29.84,22.188,22.69,1458204.9,2022-05-01 23:59:59.999
21,22.685,29.867,21.939,22.308,3082120.0,2022-05-08 23:59:59.999
22,22.306,22.821,8.289,9.077,7113103.0,2022-05-15 23:59:59.999
23,9.073,9.156,5.997,8.232,5866323.4,2022-05-22 23:59:59.999
24,8.251,8.251,6.587,6.9,3585550.5,2022-05-29 23:59:59.999
25,6.902,7.75,5.463,5.653,2634691.5,2022-06-05 23:59:59.999
0,5.654,6.7,4.772,5.365,7538165.2,2022-06-12 23:59:59.999000
0,5.365,5.565,3.91,4.245,4313360.6,2022-06-19 23:59:59.999000
1,4.231,5.865,4.082,5.625,5652012.1,2022-06-26 23:59:59.999000
2,5.625,6.0,4.597,4.794,3045273.8,2022-07-03 23:59:59.999000
3,4.794,5.65,4.766,5.154,2932680.6,2022-07-10 23:59:59.999000
4,5.147,5.744,4.7,5.594,2476813.3,2022-07-17 23:59:59.999000
