,Open,High,Low,Close,Volume,Close time
0,1.5,200.0,1.5,9.989,107551532.321,2022-05-08 23:59:59.999
1,9.975,12.135,2.165,7.204,254515629.66,2022-05-15 23:59:59.999
2,7.198,7.4,5.0,7.038,94317124.026,2022-05-22 23:59:59.999
3,7.042,7.156,4.121,4.707,62869857.081,2022-05-29 23:59:59.999
4,4.707,5.63,4.171,4.358,46156431.886,2022-06-05 23:59:59.999
0,4.355,4.7,2.659,2.936,37563930.306,2022-06-12 23:59:59.999000
0,2.938,3.38,2.23,2.779,63741235.839,2022-06-19 23:59:59.999000
1,2.778,3.33,2.561,2.839,36416970.448,2022-06-26 23:59:59.999000
2,2.838,3.267,2.655,2.746,28974161.417,2022-07-03 23:59:59.999000
3,2.746,3.136,2.712,2.755,18844260.346,2022-07-10 23:59:59.999000
4,2.754,2.866,2.288,2.713,18661913.504,2022-07-17 23:59:59.999000
