,Open,High,Low,Close,Volume,Close time
0,1.982,2.4,1.982,2.084,6613331.3,2021-08-22 23:59:59.999
1,2.075,2.324,1.955,1.976,12311381.0,2021-08-29 23:59:59.999
2,1.987,2.085,1.815,1.852,7854227.0,2021-09-05 23:59:59.999
3,1.855,1.89,1.611,1.74,5792131.6,2021-09-12 23:59:59.999
4,1.738,1.78,1.666,1.675,3621643.8,2021-09-19 23:59:59.999
5,1.677,2.259,1.508,1.595,10938583.5,2021-09-26 23:59:59.999
6,1.595,1.696,1.548,1.625,3314032.1,2021-10-03 23:59:59.999
7,1.629,1.887,1.574,1.648,6709983.3,2021-10-10 23:59:59.999
8,1.643,1.799,1.609,1.712,4500878.1,2021-10-17 23:59:59.999
9,1.71,2.672,1.698,1.846,25181406.4,2021-10-24 23:59:59.999
10,1.847,2.68,1.844,2.329,44623519.7,2021-10-31 23:59:59.999
11,2.329,2.449,2.19,2.221,12134748.1,2021-11-07 23:59:59.999
12,2.221,2.246,2.124,2.211,8464312.3,2021-11-14 23:59:59.999
13,2.212,2.9,2.14,2.572,38089533.2,2021-11-21 23:59:59.999
14,2.571,3.4,2.505,2.853,37882088.3,2021-11-28 23:59:59.999
15,2.867,2.988,2.504,2.541,14566004.4,2021-12-05 23:59:59.999
16,2.541,2.568,2.395,2.441,5873886.9,2021-12-12 23:59:59.999
17,2.44,2.449,2.323,2.338,5030834.5,2021-12-19 23:59:59.999
18,2.337,2.443,2.325,2.409,4569802.9,2021-12-26 23:59:59.999
19,2.415,2.448,2.281,2.313,3732389.9,2022-01-02 23:59:59.999
20,2.309,2.32,2.119,2.131,3741451.5,2022-01-09 23:59:59.999
21,2.131,2.24,2.105,2.178,2269783.4,2022-01-16 23:59:59.999
22,2.173,2.645,2.032,2.061,6701420.8,2022-01-23 23:59:59.999
23,2.064,2.072,1.975,2.003,3109992.4,2022-01-30 23:59:59.999
24,2.005,2.101,1.994,2.078,2584012.5,2022-02-06 23:59:59.999
25,2.078,2.126,2.011,2.021,3253396.4,2022-02-13 23:59:59.999
26,2.021,2.089,1.994,1.994,2075775.1,2022-02-20 23:59:59.999
27,1.995,2.035,1.926,1.949,2385887.3,2022-02-27 23:59:59.999
28,1.95,2.004,1.921,1.924,1827267.5,2022-03-06 23:59:59.999
29,1.925,1.98,1.899,1.913,1385218.8,2022-03-13 23:59:59.999
30,1.915,1.994,1.911,1.964,2574733.8,2022-03-20 23:59:59.999
31,1.966,2.045,1.951,2.029,2743817.5,2022-03-27 23:59:59.999
32,2.03,2.199,2.021,2.086,5278711.8,2022-04-03 23:59:59.999
33,2.086,2.15,1.982,1.983,2632240.4,2022-04-10 23:59:59.999
34,1.983,1.997,1.917,1.918,1220007.2,2022-04-17 23:59:59.999
35,1.919,1.95,1.871,1.872,1171567.3,2022-04-24 23:59:59.999
36,1.871,1.931,1.839,1.851,1265115.0,2022-05-01 23:59:59.999
37,1.849,1.89,1.801,1.804,999215.0,2022-05-08 23:59:59.999
38,1.803,1.831,1.566,1.598,4561451.9,2022-05-15 23:59:59.999
39,1.595,1.613,1.552,1.562,1078639.0,2022-05-22 23:59:59.999
40,1.563,1.577,1.484,1.499,1721040.1,2022-05-29 23:59:59.999
41,1.5,1.58,1.481,1.485,1539260.6,2022-06-05 23:59:59.999
0,1.486,1.512,1.407,1.42,1328295.9,2022-06-12 23:59:59.999000
