,Open,High,Low,Close,Volume,Close time
0,0.25,51.0,0.25,10.3916,83273319.6,2022-01-16 23:59:59.999
1,10.3924,11.42,6.77,8.0164,42646916.1,2022-01-23 23:59:59.999
2,8.0164,8.02,5.6587,5.6977,14393143.8,2022-01-30 23:59:59.999
3,5.692,6.7405,4.58,6.1354,22867219.8,2022-02-06 23:59:59.999
4,6.1467,6.666,4.6502,4.71,10891878.7,2022-02-13 23:59:59.999
5,4.71,5.4299,1.8,2.8249,94977387.2,2022-02-20 23:59:59.999
6,2.825,2.891,1.88,2.3563,115428815.0,2022-02-27 23:59:59.999
7,2.3576,3.479,2.2909,2.6898,92058874.9,2022-03-06 23:59:59.999
8,2.6885,2.93,2.2216,2.2362,39545605.7,2022-03-13 23:59:59.999
9,2.2363,3.1857,2.1807,2.6733,58344003.6,2022-03-20 23:59:59.999
10,2.6759,2.9226,2.6531,2.863,27707474.6,2022-03-27 23:59:59.999
11,2.8622,5.6918,2.8553,5.2323,181332861.7,2022-04-03 23:59:59.999
12,5.2323,5.99,3.6555,3.9794,109919083.6,2022-04-10 23:59:59.999
13,3.9777,4.3278,3.3642,3.8481,72207204.3,2022-04-17 23:59:59.999
14,3.8453,4.5,3.2918,3.2953,50479389.7,2022-04-24 23:59:59.999
15,3.2958,3.5837,2.3068,2.5177,59043457.3,2022-05-01 23:59:59.999
16,2.515,2.9121,2.0779,2.1155,46373476.4,2022-05-08 23:59:59.999
17,2.1155,2.1578,1.05,1.4177,111454647.8,2022-05-15 23:59:59.999
18,1.4173,1.4454,1.0802,1.2339,59593188.5,2022-05-22 23:59:59.999
19,1.2321,1.58,1.1234,1.2293,55889472.5,2022-05-29 23:59:59.999
20,1.2283,1.4292,1.2038,1.3746,43443458.0,2022-06-05 23:59:59.999
0,1.3742,1.448,0.9725,0.9771,39342753.1,2022-06-12 23:59:59.999000
0,0.9755,0.9957,0.5501,0.6561,107027186.2,2022-06-19 23:59:59.999000
1,0.6561,0.82,0.6005,0.6959,98307443.0,2022-06-26 23:59:59.999000
2,0.6966,0.746,0.5803,0.6737,50331187.3,2022-07-03 23:59:59.999000
3,0.6738,0.7123,0.6416,0.6509,34599283.0,2022-07-10 23:59:59.999000
4,0.6506,0.6551,0.5501,0.6095,34051985.3,2022-07-17 23:59:59.999000
