,Open,High,Low,Close,Volume,Close time
0,294.9,418.0,263.8,308.7,240062.722,2021-09-05 23:59:59.999
1,308.7,314.9,219.2,284.2,21949.877,2021-09-12 23:59:59.999
2,284.3,300.0,263.3,265.5,19520.432,2021-09-19 23:59:59.999
3,265.5,274.5,225.0,249.1,33291.406,2021-09-26 23:59:59.999
4,248.0,281.9,231.1,277.7,15814.772,2021-10-03 23:59:59.999
5,277.5,323.6,267.9,295.8,28326.061,2021-10-10 23:59:59.999
6,295.8,340.0,291.0,335.1,18054.828,2021-10-17 23:59:59.999
7,335.5,380.7,323.7,377.3,15297.961,2021-10-24 23:59:59.999
8,377.1,489.0,377.0,447.8,20390.967,2021-10-31 23:59:59.999
9,447.7,567.7,440.5,541.0,13787.477,2021-11-07 23:59:59.999
10,540.9,655.0,444.0,464.2,41233.502,2021-11-14 23:59:59.999
11,464.9,499.9,376.0,408.0,11866.143,2021-11-21 23:59:59.999
12,407.9,475.4,383.0,407.0,11142.58,2021-11-28 23:59:59.999
13,408.3,489.4,354.3,426.2,21161.82,2021-12-05 23:59:59.999
14,426.2,494.4,395.9,442.5,15382.002,2021-12-12 23:59:59.999
15,442.6,481.8,348.9,445.1,24273.519,2021-12-19 23:59:59.999
16,444.9,494.0,429.9,473.3,9991.795,2021-12-26 23:59:59.999
17,473.3,598.0,410.9,518.8,53835.177,2022-01-02 23:59:59.999
18,518.5,536.2,445.0,472.0,31849.192,2022-01-09 23:59:59.999
19,471.7,471.7,382.3,389.3,16409.902,2022-01-16 23:59:59.999
20,389.3,390.4,236.6,269.8,24012.47,2022-01-23 23:59:59.999
21,269.8,300.0,219.1,279.6,11726.596,2022-01-30 23:59:59.999
22,277.5,330.5,267.8,329.9,5523.734,2022-02-06 23:59:59.999
23,330.5,364.7,326.8,339.2,8373.801,2022-02-13 23:59:59.999
24,339.2,393.5,319.7,322.5,12003.968,2022-02-20 23:59:59.999
25,322.9,351.7,279.0,319.3,9894.545,2022-02-27 23:59:59.999
26,319.7,363.8,304.9,304.9,12760.756,2022-03-06 23:59:59.999
27,304.9,319.4,281.9,286.6,8625.376,2022-03-13 23:59:59.999
28,286.0,326.0,280.0,311.4,7195.189,2022-03-20 23:59:59.999
29,311.1,412.8,308.8,401.3,7165.723,2022-03-27 23:59:59.999
30,403.7,573.5,401.8,436.1,121109.124,2022-04-03 23:59:59.999
31,435.5,438.8,388.7,398.1,8082.765,2022-04-10 23:59:59.999
32,397.6,399.4,329.2,346.8,11827.411,2022-04-17 23:59:59.999
33,346.8,359.5,322.6,326.7,10868.079,2022-04-24 23:59:59.999
34,326.7,338.2,306.5,314.2,6334.955,2022-05-01 23:59:59.999
35,313.6,321.3,271.5,277.6,5496.712,2022-05-08 23:59:59.999
36,277.7,283.9,206.1,239.7,18348.708,2022-05-15 23:59:59.999
37,239.6,240.1,202.7,216.9,2853.659,2022-05-22 23:59:59.999
38,216.6,234.1,181.7,192.3,3421.787,2022-05-29 23:59:59.999
39,193.0,212.6,183.3,192.0,2901.055,2022-06-05 23:59:59.999
0,191.6,202.0,150.3,151.9,6164.55,2022-06-12 23:59:59.999000
