,Open,High,Low,Close,Volume,Close time
0,9.52,24.0,9.52,10.48,21593997.39,2021-06-13 23:59:59.999
1,10.46,12.0,6.69,7.45,9572599.43,2021-06-20 23:59:59.999
2,7.45,7.68,4.62,7.2,10198578.33,2021-06-27 23:59:59.999
3,7.2,9.02,6.41,7.23,11170439.7,2021-07-04 23:59:59.999
4,7.22,7.46,6.14,6.36,4654950.29,2021-07-11 23:59:59.999
5,6.35,6.84,4.82,5.82,6609824.42,2021-07-18 23:59:59.999
6,5.83,6.75,4.79,6.31,7631205.55,2021-07-25 23:59:59.999
7,6.31,8.86,6.25,8.09,8900323.55,2021-08-01 23:59:59.999
8,8.09,9.58,7.21,8.49,6654077.24,2021-08-08 23:59:59.999
9,8.48,9.68,8.06,9.26,6327358.51,2021-08-15 23:59:59.999
10,9.28,9.64,7.53,8.94,7404707.52,2021-08-22 23:59:59.999
11,8.94,15.5,7.93,12.95,23729229.58,2021-08-29 23:59:59.999
12,12.95,13.236,11.263,12.117,7300322.5,2021-09-05 23:59:59.999
13,12.118,12.607,7.9,9.46,8582025.19,2021-09-12 23:59:59.999
14,9.491,10.432,8.326,8.7,4258574.2,2021-09-19 23:59:59.999
15,8.701,8.722,6.172,6.97,5288065.31,2021-09-26 23:59:59.999
16,6.942,9.029,6.198,8.435,4154324.9,2021-10-03 23:59:59.999
17,8.435,8.472,7.404,7.451,4212232.9,2021-10-10 23:59:59.999
18,7.44,12.264,6.806,10.103,14326826.0,2021-10-17 23:59:59.999
19,10.087,12.0,9.287,9.497,12521533.7,2021-10-24 23:59:59.999
20,9.504,10.4,7.467,8.518,4911553.1,2021-10-31 23:59:59.999
21,8.529,10.316,8.304,9.397,5924692.5,2021-11-07 23:59:59.999
22,9.387,11.0,8.411,9.333,5246306.2,2021-11-14 23:59:59.999
23,9.338,9.83,7.116,7.769,4266358.2,2021-11-21 23:59:59.999
24,7.765,29.043,7.5,18.758,53355437.4,2021-11-28 23:59:59.999
25,18.758,21.6,10.0,11.41,21115278.2,2021-12-05 23:59:59.999
26,11.418,14.9,9.679,10.496,18420822.6,2021-12-12 23:59:59.999
27,10.491,11.4,8.363,9.216,10990997.6,2021-12-19 23:59:59.999
28,9.216,19.5,8.51,15.168,30344803.6,2021-12-26 23:59:59.999
29,15.179,16.299,12.335,14.744,12656486.6,2022-01-02 23:59:59.999
30,14.751,16.091,10.377,11.367,8869419.2,2022-01-09 23:59:59.999
31,11.365,12.209,10.11,11.35,4987893.0,2022-01-16 23:59:59.999
32,11.359,13.275,6.11,7.315,16198338.5,2022-01-23 23:59:59.999
33,7.322,7.808,5.853,7.284,8465610.4,2022-01-30 23:59:59.999
34,7.285,8.797,6.8,8.578,7142723.7,2022-02-06 23:59:59.999
35,8.578,9.735,7.22,7.257,6252608.1,2022-02-13 23:59:59.999
36,7.26,8.355,6.304,6.55,5720859.5,2022-02-20 23:59:59.999
37,6.561,7.02,4.91,5.919,5138690.35,2022-02-27 23:59:59.999
38,5.903,7.038,5.554,5.559,3503490.8,2022-03-06 23:59:59.999
39,5.569,6.728,5.17,5.243,4298004.1,2022-03-13 23:59:59.999
40,5.244,7.877,5.162,6.486,8836746.3,2022-03-20 23:59:59.999
41,6.484,8.031,6.374,7.397,6152811.3,2022-03-27 23:59:59.999
42,7.394,8.752,6.833,8.231,9623650.4,2022-04-03 23:59:59.999
43,8.232,8.237,6.185,6.34,4459585.3,2022-04-10 23:59:59.999
44,6.342,6.389,5.506,5.835,3280541.1,2022-04-17 23:59:59.999
45,5.829,6.686,5.573,5.844,3855396.5,2022-04-24 23:59:59.999
46,5.853,6.067,4.221,4.745,4314635.4,2022-05-01 23:59:59.999
47,4.738,5.412,4.292,4.443,7858185.9,2022-05-08 23:59:59.999
48,4.448,4.609,1.693,2.524,18263926.7,2022-05-15 23:59:59.999
49,2.528,3.2,2.117,2.793,11511335.5,2022-05-22 23:59:59.999
50,2.789,2.934,2.146,2.522,5102325.3,2022-05-29 23:59:59.999
51,2.523,3.799,2.473,2.722,13911012.1,2022-06-05 23:59:59.999
0,2.721,3.655,2.349,2.436,19450618.4,2022-06-12 23:59:59.999000
