,Open,High,Low,Close,Volume,Close time
0,0.85,6.0,0.55,0.6863,18138642.18,2020-11-08 23:59:59.999
1,0.6866,0.8402,0.3811,0.442,122054842.76,2020-11-15 23:59:59.999
2,0.442,0.7499,0.4347,0.4712,104362962.55,2020-11-22 23:59:59.999
3,0.4712,0.5569,0.382,0.4962,44144336.63,2020-11-29 23:59:59.999
4,0.4962,0.8881,0.4769,0.7671,66783087.88,2020-12-06 23:59:59.999
5,0.7671,1.2211,0.6934,0.9082,111331652.88,2020-12-13 23:59:59.999
6,0.9082,0.9913,0.7339,0.7535,55132015.56,2020-12-20 23:59:59.999
7,0.7535,0.8,0.47,0.5523,38450837.63,2020-12-27 23:59:59.999
8,0.5533,0.5972,0.432,0.4894,18568516.03,2021-01-03 23:59:59.999
9,0.4872,0.6439,0.4192,0.563,66055387.84,2021-01-10 23:59:59.999
10,0.563,0.64,0.4366,0.5946,93428204.49,2021-01-17 23:59:59.999
11,0.5947,0.785,0.5552,0.6826,61311709.83,2021-01-24 23:59:59.999
12,0.6825,0.9487,0.6813,0.7907,101308458.3,2021-01-31 23:59:59.999
13,0.7909,1.58,0.7726,1.377,146998900.49,2021-02-07 23:59:59.999
14,1.3769,2.12,1.3531,1.62,48249733.36,2021-02-14 23:59:59.999
15,1.6232,2.68,1.3215,1.9598,65296936.82,2021-02-21 23:59:59.999
16,1.9563,1.9979,1.1571,1.2827,49004101.12,2021-02-28 23:59:59.999
17,1.2828,1.8248,1.2543,1.4025,82553086.21,2021-03-07 23:59:59.999
18,1.4035,2.2499,1.3256,2.0518,91530059.46,2021-03-14 23:59:59.999
19,2.0518,2.998,1.9385,2.2106,65373578.43,2021-03-21 23:59:59.999
20,2.2075,2.4376,1.6582,2.2842,49110071.53,2021-03-28 23:59:59.999
21,2.2845,2.4498,2.0552,2.2075,44304029.07,2021-04-04 23:59:59.999
22,2.2063,2.6601,2.0265,2.3202,49842221.58,2021-04-11 23:59:59.999
23,2.3214,2.36,1.5245,1.6393,34527093.65,2021-04-18 23:59:59.999
24,1.6374,1.8021,1.2062,1.3027,58431386.34,2021-04-25 23:59:59.999
25,1.3044,1.8528,1.2896,1.6994,64342397.15,2021-05-02 23:59:59.999
26,1.6994,1.8998,1.4715,1.534,35670181.73,2021-05-09 23:59:59.999
27,1.5341,1.5799,1.0255,1.2344,83624950.16,2021-05-16 23:59:59.999
28,1.2359,1.2408,0.4391,0.5074,141431214.71,2021-05-23 23:59:59.999
29,0.5072,0.98,0.4814,0.6248,116662137.19,2021-05-30 23:59:59.999
30,0.6249,0.871,0.5962,0.7142,52775521.45,2021-06-06 23:59:59.999
31,0.7158,1.535,0.5467,0.8127,376721465.48,2021-06-13 23:59:59.999
