,Open,High,Low,Close,Volume,Close time
0,24.4,44.0,13.53,14.71,7328309.774,2021-12-19 23:59:59.999
1,14.72,15.92,11.28,13.55,10073775.627,2021-12-26 23:59:59.999
2,13.54,14.86,10.51,12.23,6459162.111,2022-01-02 23:59:59.999
3,12.24,12.52,8.21,8.51,4638921.689,2022-01-09 23:59:59.999
4,8.5,10.61,7.4,8.32,7206180.265,2022-01-16 23:59:59.999
5,8.32,8.35,5.29,5.69,4773546.278,2022-01-23 23:59:59.999
6,5.7,5.73,4.08,5.1,7884367.97,2022-01-30 23:59:59.999
7,5.1,6.97,4.74,6.07,9807791.649,2022-02-06 23:59:59.999
8,6.06,6.49,4.89,5.06,8773490.596,2022-02-13 23:59:59.999
9,5.06,5.88,4.04,4.31,4463993.337,2022-02-20 23:59:59.999
10,4.32,5.25,3.48,3.77,8555376.312,2022-02-27 23:59:59.999
11,3.77,4.3,3.47,3.87,5804980.222,2022-03-06 23:59:59.999
12,3.87,4.58,3.58,3.67,13024342.08,2022-03-13 23:59:59.999
13,3.68,8.61,3.63,5.72,47492030.599,2022-03-20 23:59:59.999
14,5.73,7.0,5.38,6.36,17185126.622,2022-03-27 23:59:59.999
15,6.36,8.7,6.17,7.27,22179726.058,2022-04-03 23:59:59.999
16,7.27,7.42,5.0,5.06,12517582.49,2022-04-10 23:59:59.999
17,5.06,5.2,4.32,4.57,7309179.296,2022-04-17 23:59:59.999
18,4.57,5.13,4.29,4.33,5690182.803,2022-04-24 23:59:59.999
19,4.33,5.19,3.61,3.92,12198819.19,2022-05-01 23:59:59.999
20,3.92,4.16,3.08,3.18,7554601.142,2022-05-08 23:59:59.999
21,3.17,3.19,1.45,2.08,10869562.777,2022-05-15 23:59:59.999
22,2.07,2.48,1.85,2.15,9125648.647,2022-05-22 23:59:59.999
23,2.14,2.57,1.76,1.91,9054455.751,2022-05-29 23:59:59.999
24,1.92,2.19,1.82,1.95,5235671.767,2022-06-05 23:59:59.999
