,Open,High,Low,Close,Volume,Close time
0,0.4178,0.92,0.3059,0.4061,104553136.92,2020-05-03 23:59:59.999
1,0.4061,0.4734,0.2919,0.307,47773882.47,2020-05-10 23:59:59.999
2,0.307,0.3654,0.3,0.3527,14608738.1,2020-05-17 23:59:59.999
3,0.3527,0.373,0.2646,0.2672,28106155.74,2020-05-24 23:59:59.999
4,0.2668,0.305,0.2321,0.2352,20916465.78,2020-05-31 23:59:59.999
5,0.2353,0.2741,0.235,0.2518,17389051.83,2020-06-07 23:59:59.999
6,0.2511,0.2784,0.2333,0.2532,25513799.78,2020-06-14 23:59:59.999
7,0.2531,0.26,0.2401,0.2498,21860985.4,2020-06-21 23:59:59.999
8,0.2499,0.2531,0.1985,0.207,20975581.74,2020-06-28 23:59:59.999
9,0.207,0.2309,0.202,0.2066,9326610.71,2020-07-05 23:59:59.999
10,0.2063,0.2398,0.206,0.2271,13052312.62,2020-07-12 23:59:59.999
11,0.227,0.229,0.2053,0.2132,7670704.46,2020-07-19 23:59:59.999
12,0.2132,0.2849,0.2097,0.2168,36930512.16,2020-07-26 23:59:59.999
13,0.2168,0.2489,0.2105,0.2177,29748674.23,2020-08-02 23:59:59.999
14,0.2176,0.2762,0.2165,0.2544,26658968.33,2020-08-09 23:59:59.999
15,0.2545,0.2922,0.229,0.2819,34830516.85,2020-08-16 23:59:59.999
16,0.282,0.3445,0.232,0.2418,55415842.09,2020-08-23 23:59:59.999
17,0.2422,0.2536,0.22,0.2363,14992719.79,2020-08-30 23:59:59.999
18,0.2369,0.2483,0.1585,0.1763,17221471.15,2020-09-06 23:59:59.999
19,0.1756,0.2038,0.16,0.1795,12265215.01,2020-09-13 23:59:59.999
20,0.179,0.188,0.1618,0.1793,7270537.43,2020-09-20 23:59:59.999
21,0.1781,0.1864,0.1393,0.1564,9286971.65,2020-09-27 23:59:59.999
22,0.1563,0.1686,0.1435,0.1503,7384985.03,2020-10-04 23:59:59.999
23,0.1501,0.1684,0.1316,0.157,11559103.69,2020-10-11 23:59:59.999
24,0.1569,0.1645,0.1472,0.1495,3946124.23,2020-10-18 23:59:59.999
25,0.1504,0.1504,0.1363,0.1422,3040265.24,2020-10-25 23:59:59.999
26,0.1418,0.144,0.1129,0.1176,4159759.11,2020-11-01 23:59:59.999
27,0.1178,0.125,0.1072,0.1175,6637732.23,2020-11-08 23:59:59.999
28,0.1171,0.1451,0.1115,0.1199,9260423.57,2020-11-15 23:59:59.999
29,0.1202,0.1342,0.1156,0.1255,10270351.5,2020-11-22 23:59:59.999
30,0.1255,0.1583,0.1015,0.1211,25063393.67,2020-11-29 23:59:59.999
31,0.1211,0.148,0.1169,0.1307,17274201.17,2020-12-06 23:59:59.999
32,0.1312,0.15,0.111,0.1202,12936390.03,2020-12-13 23:59:59.999
33,0.1203,0.1463,0.1194,0.1372,16461585.88,2020-12-20 23:59:59.999
34,0.1367,0.1375,0.1059,0.1142,8802075.4,2020-12-27 23:59:59.999
35,0.1139,0.1304,0.1087,0.1171,9393376.48,2021-01-03 23:59:59.999
36,0.117,0.1443,0.104,0.1254,28497958.65,2021-01-10 23:59:59.999
37,0.125,0.1549,0.109,0.1316,25612397.01,2021-01-17 23:59:59.999
38,0.1315,0.164,0.1256,0.1482,42167256.61,2021-01-24 23:59:59.999
39,0.1481,0.165,0.125,0.14,47157789.78,2021-01-31 23:59:59.999
40,0.1403,0.178,0.1353,0.1581,62668527.93,2021-02-07 23:59:59.999
41,0.1577,0.2718,0.1547,0.2468,132600296.62,2021-02-14 23:59:59.999
42,0.2468,0.4288,0.2021,0.3276,311462861.54,2021-02-21 23:59:59.999
43,0.3289,0.4495,0.17,0.2931,374949447.89,2021-02-28 23:59:59.999
44,0.2929,0.3362,0.27,0.3172,66633513.51,2021-03-07 23:59:59.999
45,0.3169,0.4199,0.2963,0.3887,71025526.01,2021-03-14 23:59:59.999
46,0.3887,0.4639,0.3401,0.4041,91043380.47,2021-03-21 23:59:59.999
47,0.404,1.05,0.3864,0.7673,494290618.04,2021-03-28 23:59:59.999
48,0.7665,0.8596,0.6736,0.7471,160457912.94,2021-04-04 23:59:59.999
49,0.7484,0.7574,0.5,0.6806,143169922.96,2021-04-11 23:59:59.999
50,0.6823,0.7026,0.4662,0.5264,76613865.21,2021-04-18 23:59:59.999
51,0.527,0.6753,0.3627,0.4463,154856625.9,2021-04-25 23:59:59.999
52,0.447,0.832,0.4295,0.6295,166852319.98,2021-05-02 23:59:59.999
53,0.6303,0.6941,0.5257,0.5639,91000858.63,2021-05-09 23:59:59.999
54,0.564,0.5981,0.4303,0.47,60853058.84,2021-05-16 23:59:59.999
55,0.4698,0.59,0.2718,0.564,102078863.1,2021-05-23 23:59:59.999
56,0.5659,0.6381,0.3691,0.4218,77121068.18,2021-05-30 23:59:59.999
57,0.4214,0.4844,0.3939,0.4189,27443705.44,2021-06-06 23:59:59.999
58,0.4189,0.4367,0.3166,0.366,59925113.26,2021-06-13 23:59:59.999
59,0.3662,0.3757,0.2651,0.2927,32216907.43,2021-06-20 23:59:59.999
60,0.2928,0.2931,0.1652,0.2306,76004658.61,2021-06-27 23:59:59.999
61,0.2306,0.3825,0.2246,0.3388,132567108.8,2021-07-04 23:59:59.999
62,0.3385,0.3683,0.2826,0.3197,48938063.37,2021-07-11 23:59:59.999
63,0.3185,0.449,0.286,0.3015,98372705.22,2021-07-18 23:59:59.999
64,0.3017,0.3488,0.2505,0.3211,33846334.03,2021-07-25 23:59:59.999
65,0.3222,0.5536,0.3112,0.3869,235976072.1,2021-08-01 23:59:59.999
66,0.3864,0.5282,0.3776,0.4604,65694188.28,2021-08-08 23:59:59.999
67,0.4615,0.4967,0.4276,0.4828,52012991.09,2021-08-15 23:59:59.999
68,0.4824,0.5514,0.424,0.512,73553848.4,2021-08-22 23:59:59.999
69,0.5119,0.6129,0.4797,0.5564,54867730.28,2021-08-29 23:59:59.999
70,0.5574,1.15,0.5367,0.7549,163289138.62,2021-09-05 23:59:59.999
71,0.7543,0.8895,0.6851,0.7465,93863229.0,2021-09-12 23:59:59.999
72,0.7458,0.9322,0.7152,0.7325,54531364.0,2021-09-19 23:59:59.999
73,0.7331,0.7617,0.5199,0.5827,33777905.0,2021-09-26 23:59:59.999
74,0.5811,0.712,0.5012,0.6823,41346779.0,2021-10-03 23:59:59.999
75,0.6819,1.5743,0.6574,0.8257,303776452.54,2021-10-10 23:59:59.999
76,0.8264,0.89,0.7419,0.7854,60965834.0,2021-10-17 23:59:59.999
77,0.7845,0.8446,0.7312,0.8358,34617840.0,2021-10-24 23:59:59.999
78,0.8352,0.8494,0.6921,0.8248,32665839.0,2021-10-31 23:59:59.999
79,0.8252,1.185,0.7813,0.8231,106337879.0,2021-11-07 23:59:59.999
80,0.822,0.8673,0.7819,0.861,26716046.0,2021-11-14 23:59:59.999
81,0.861,1.31,0.8404,1.1337,238331904.0,2021-11-21 23:59:59.999
82,1.1353,3.4141,0.98,2.2402,234328273.98,2021-11-28 23:59:59.999
83,2.237,3.0587,1.36,1.732,111072060.0,2021-12-05 23:59:59.999
84,1.7285,1.9392,1.38,1.6096,48846556.0,2021-12-12 23:59:59.999
85,1.6108,1.6376,1.28,1.4642,24058117.0,2021-12-19 23:59:59.999
86,1.4625,1.8096,1.3299,1.7664,19998065.0,2021-12-26 23:59:59.999
87,1.7664,1.9071,1.4448,1.7249,24312898.0,2022-01-02 23:59:59.999
88,1.7286,1.7499,1.2631,1.3331,22777244.0,2022-01-09 23:59:59.999
89,1.3335,1.4054,1.1768,1.3193,13460094.0,2022-01-16 23:59:59.999
90,1.3193,1.3194,0.7102,0.839,18334235.0,2022-01-23 23:59:59.999
91,0.839,0.98,0.712,0.9375,17643093.0,2022-01-30 23:59:59.999
92,0.938,1.2836,0.8943,1.2177,51643420.0,2022-02-06 23:59:59.999
93,1.2183,1.26,1.0206,1.072,11622337.0,2022-02-13 23:59:59.999
94,1.0719,1.133,0.9009,0.9158,11393411.0,2022-02-20 23:59:59.999
95,0.9162,0.9989,0.7046,0.8849,19475444.0,2022-02-27 23:59:59.999
96,0.885,1.0893,0.8604,0.87,15677400.0,2022-03-06 23:59:59.999
97,0.8715,1.035,0.8182,0.829,22834966.0,2022-03-13 23:59:59.999
98,0.8273,0.9518,0.8024,0.9064,15980207.0,2022-03-20 23:59:59.999
99,0.907,1.16,0.881,1.1454,19328047.0,2022-03-27 23:59:59.999
100,1.1454,1.2546,1.1119,1.1996,15782099.0,2022-04-03 23:59:59.999
101,1.1996,1.1996,0.909,0.919,11795103.0,2022-04-10 23:59:59.999
102,0.9192,0.962,0.8303,0.8858,12635792.0,2022-04-17 23:59:59.999
103,0.8848,1.0155,0.83,0.9181,16587559.0,2022-04-24 23:59:59.999
104,0.918,0.918,0.75,0.801,13461985.0,2022-05-01 23:59:59.999
105,0.8008,0.8782,0.6789,0.7088,10549508.0,2022-05-08 23:59:59.999
106,0.7102,0.7153,0.3538,0.5339,28044198.0,2022-05-15 23:59:59.999
107,0.5341,0.5811,0.4459,0.5206,25033304.0,2022-05-22 23:59:59.999
108,0.5202,0.56,0.4396,0.4727,19862595.0,2022-05-29 23:59:59.999
109,0.4724,0.6146,0.4647,0.551,36073964.0,2022-06-05 23:59:59.999
0,0.5512,0.6787,0.4236,0.4325,21735863.0,2022-06-12 23:59:59.999000
0,0.4325,0.4379,0.3113,0.3732,35002292.15,2022-06-19 23:59:59.999000
1,0.3716,0.4191,0.3522,0.3977,12050322.0,2022-06-26 23:59:59.999000
2,0.397,0.7173,0.3938,0.4473,124132641.0,2022-07-03 23:59:59.999000
3,0.447,0.5066,0.4261,0.4644,23363224.0,2022-07-10 23:59:59.999000
4,0.4658,0.4978,0.3853,0.4404,20957094.0,2022-07-17 23:59:59.999000
