,Open,High,Low,Close,Volume,Close time
0,249.28,2831.02,205.07,225.19,5389743.75,2021-05-16 23:59:59.999
1,225.16,226.35,92.0,143.94,10943252.45,2021-05-23 23:59:59.999
2,143.97,163.6,104.4,111.9,5844860.28,2021-05-30 23:59:59.999
3,111.87,136.62,100.0,104.49,5985726.37,2021-06-06 23:59:59.999
4,104.42,106.73,52.92,64.45,11557547.24,2021-06-13 23:59:59.999
5,64.44,70.81,44.0,47.1,10608907.36,2021-06-20 23:59:59.999
6,47.12,47.64,28.26,43.0,18511877.36,2021-06-27 23:59:59.999
7,42.99,59.45,40.48,46.71,27756343.64,2021-07-04 23:59:59.999
8,46.72,48.45,37.28,39.71,10667061.26,2021-07-11 23:59:59.999
9,39.74,40.99,31.13,32.36,8968466.07,2021-07-18 23:59:59.999
10,32.36,46.04,26.9,42.6,18052562.57,2021-07-25 23:59:59.999
11,42.59,48.2,37.46,40.87,16424987.25,2021-08-01 23:59:59.999
12,40.86,66.18,37.51,55.27,21732960.06,2021-08-08 23:59:59.999
13,55.23,77.0,52.73,63.4,27158864.48,2021-08-15 23:59:59.999
14,63.4,71.0,54.1,64.59,19324535.66,2021-08-22 23:59:59.999
15,64.59,74.8,54.5,72.0,18858957.56,2021-08-29 23:59:59.999
16,72.04,83.61,60.51,79.33,23144675.17,2021-09-05 23:59:59.999
17,79.3,87.0,54.29,59.43,23102778.11,2021-09-12 23:59:59.999
18,59.44,62.3,50.36,57.16,9210986.94,2021-09-19 23:59:59.999
19,57.18,57.36,39.5,43.69,12799248.75,2021-09-26 23:59:59.999
20,43.69,52.67,40.58,50.32,9460442.49,2021-10-03 23:59:59.999
21,50.31,57.24,43.83,44.91,15145674.55,2021-10-10 23:59:59.999
22,44.9,47.48,40.18,44.11,17091990.81,2021-10-17 23:59:59.999
23,44.09,48.48,42.11,43.32,11908422.76,2021-10-24 23:59:59.999
24,43.34,51.76,37.46,44.96,18893971.24,2021-10-31 23:59:59.999
25,44.95,55.0,43.1,53.52,20728889.45,2021-11-07 23:59:59.999
26,53.53,58.3,43.33,48.33,17977004.19,2021-11-14 23:59:59.999
27,48.34,49.29,38.1,43.24,14691744.01,2021-11-21 23:59:59.999
28,43.25,45.92,38.3,41.86,15175337.93,2021-11-28 23:59:59.999
29,41.86,42.96,24.0,30.37,17595166.87,2021-12-05 23:59:59.999
30,30.38,33.29,26.09,28.48,15526029.37,2021-12-12 23:59:59.999
31,28.46,29.0,22.38,22.65,15321169.16,2021-12-19 23:59:59.999
32,22.65,28.79,20.88,26.69,23045745.53,2021-12-26 23:59:59.999
33,26.69,29.9,23.26,27.31,19628049.22,2022-01-02 23:59:59.999
34,27.31,38.02,26.5,36.15,50777221.49,2022-01-09 23:59:59.999
35,36.15,37.79,30.5,31.15,26548859.04,2022-01-16 23:59:59.999
36,31.15,31.72,18.06,21.28,26932665.11,2022-01-23 23:59:59.999
37,21.27,21.93,18.41,19.23,25982196.13,2022-01-30 23:59:59.999
38,19.25,24.26,18.51,23.36,20389866.68,2022-02-06 23:59:59.999
39,23.36,24.68,19.02,19.75,16201839.26,2022-02-13 23:59:59.999
40,19.74,22.54,18.26,18.7,14364488.58,2022-02-20 23:59:59.999
41,18.71,19.46,14.68,17.23,19402109.25,2022-02-27 23:59:59.999
42,17.23,20.77,16.57,16.62,16577087.56,2022-03-06 23:59:59.999
43,16.62,17.94,15.43,15.75,10653868.67,2022-03-13 23:59:59.999
44,15.75,17.76,15.34,16.78,12853623.65,2022-03-20 23:59:59.999
45,16.77,22.0,16.24,21.9,16740945.56,2022-03-27 23:59:59.999
46,21.9,23.5,20.0,22.66,20776093.45,2022-04-03 23:59:59.999
47,22.65,23.52,17.25,17.34,16688612.23,2022-04-10 23:59:59.999
48,17.34,17.91,15.6,16.41,11172417.27,2022-04-17 23:59:59.999
49,16.42,17.85,15.71,16.21,9934473.12,2022-04-24 23:59:59.999
50,16.21,16.4,11.28,13.05,14769095.88,2022-05-01 23:59:59.999
51,13.04,14.6,11.65,11.9,14426131.92,2022-05-08 23:59:59.999
52,11.9,12.16,6.03,9.23,39811103.76,2022-05-15 23:59:59.999
53,9.24,9.24,7.3,8.22,14204158.28,2022-05-22 23:59:59.999
54,8.23,8.86,6.75,7.12,15777306.33,2022-05-29 23:59:59.999
55,7.12,9.8,7.05,7.35,32006413.33,2022-06-05 23:59:59.999
0,7.34,8.04,5.45,5.64,44750632.53,2022-06-12 23:59:59.999000
