,Open,High,Low,Close,Volume,Close time
0,1.9525,2.3986,1.75,1.9835,25304363.77,2018-06-17 23:59:59.999
1,1.984,2.2091,1.44,1.5723,31187920.08,2018-06-24 23:59:59.999
2,1.5724,1.72,1.36,1.648,29551562.44,2018-07-01 23:59:59.999
3,1.6506,1.8324,1.5501,1.726,30302510.02,2018-07-08 23:59:59.999
4,1.726,1.7505,1.2524,1.3644,34335135.86,2018-07-15 23:59:59.999
5,1.3644,1.7699,1.275,1.3605,45034267.44,2018-07-22 23:59:59.999
6,1.3596,1.43,1.233,1.2859,44561785.36,2018-07-29 23:59:59.999
7,1.2858,1.2957,0.825,0.8903,50105399.74,2018-08-05 23:59:59.999
8,0.8903,0.9999,0.6227,0.6848,62052895.51,2018-08-12 23:59:59.999
9,0.6849,0.7678,0.4543,0.6714,95659570.12,2018-08-19 23:59:59.999
10,0.6715,0.9329,0.5511,0.917,85413801.62,2018-08-26 23:59:59.999
11,0.9186,0.9955,0.7853,0.9289,101632855.03,2018-09-02 23:59:59.999
12,0.9307,0.9549,0.6033,0.62,94521222.52,2018-09-09 23:59:59.999
13,0.6196,0.6766,0.5239,0.6399,87546066.7,2018-09-16 23:59:59.999
14,0.6399,0.743,0.5584,0.7062,94637297.67,2018-09-23 23:59:59.999
15,0.706,0.7333,0.602,0.6557,72164976.62,2018-09-30 23:59:59.999
16,0.6555,0.7135,0.6525,0.676,60541818.09,2018-10-07 23:59:59.999
17,0.6758,0.7375,0.5805,0.6213,64555592.23,2018-10-14 23:59:59.999
18,0.62,0.77,0.6053,0.7031,64822505.46,2018-10-21 23:59:59.999
19,0.7026,0.71,0.64,0.6505,24792631.67,2018-10-28 23:59:59.999
20,0.6505,0.6649,0.6008,0.6506,19161778.69,2018-11-04 23:59:59.999
21,0.6504,0.6621,0.5713,0.5827,16686351.53,2018-11-11 23:59:59.999
22,0.583,0.5918,0.4,0.4222,29033415.98,2018-11-18 23:59:59.999
23,0.4226,0.4226,0.2091,0.2444,57929484.63,2018-11-25 23:59:59.999
24,0.2431,0.31,0.2112,0.2739,64257887.93,2018-12-02 23:59:59.999
25,0.2739,0.2758,0.19,0.2177,55296194.76,2018-12-09 23:59:59.999
26,0.2181,0.2215,0.1807,0.1871,30350638.45,2018-12-16 23:59:59.999
27,0.1871,0.27,0.1865,0.2609,83442967.87,2018-12-23 23:59:59.999
28,0.2609,0.2904,0.215,0.241,50262055.56,2018-12-30 23:59:59.999
29,0.2414,0.2869,0.2288,0.2819,46217085.34,2019-01-06 23:59:59.999
30,0.2817,0.2965,0.2091,0.2131,56912585.93,2019-01-13 23:59:59.999
31,0.2127,0.2482,0.2126,0.2282,31486358.39,2019-01-20 23:59:59.999
32,0.2289,0.2357,0.2127,0.2198,24339268.64,2019-01-27 23:59:59.999
33,0.2198,0.2209,0.1845,0.1866,39211583.99,2019-02-03 23:59:59.999
34,0.187,0.2339,0.1802,0.2222,68704172.62,2019-02-10 23:59:59.999
35,0.2226,0.2397,0.2131,0.2331,36604034.04,2019-02-17 23:59:59.999
36,0.2334,0.29,0.2275,0.2324,89105851.03,2019-02-24 23:59:59.999
37,0.2323,0.315,0.2323,0.2801,132089762.59,2019-03-03 23:59:59.999
38,0.2792,0.3887,0.2569,0.354,147255440.83,2019-03-10 23:59:59.999
39,0.3541,0.36,0.311,0.3314,64765694.97,2019-03-17 23:59:59.999
