,Open,High,Low,Close,Volume,Close time
0,0.52711,1.69,0.375,0.56164,770463790.9,2021-09-12 23:59:59.999
1,0.56167,0.65,0.41348,0.4268,769867528.6,2021-09-19 23:59:59.999
2,0.4268,0.42747,0.2382,0.26234,319960296.4,2021-09-26 23:59:59.999
3,0.26235,0.44868,0.2575,0.35622,1003603962.6,2021-10-03 23:59:59.999
4,0.35624,0.398,0.28073,0.34801,657612680.5,2021-10-10 23:59:59.999
5,0.348,0.36379,0.29408,0.3123,400837027.0,2021-10-17 23:59:59.999
6,0.31239,0.31786,0.28606,0.28871,169199288.3,2021-10-24 23:59:59.999
7,0.28871,0.29921,0.22584,0.24206,289234333.4,2021-10-31 23:59:59.999
8,0.24197,0.333,0.23356,0.29996,494612000.4,2021-11-07 23:59:59.999
9,0.29955,0.3859,0.24,0.32459,536202725.7,2021-11-14 23:59:59.999
10,0.32405,0.488,0.25322,0.369,1181760561.2,2021-11-21 23:59:59.999
11,0.36901,0.44695,0.31175,0.34824,452971146.4,2021-11-28 23:59:59.999
12,0.34858,0.519,0.242,0.29251,629022723.2,2021-12-05 23:59:59.999
13,0.29294,0.477,0.24856,0.31022,884974328.4,2021-12-12 23:59:59.999
14,0.31022,0.319,0.2582,0.2653,200479235.8,2021-12-19 23:59:59.999
15,0.26593,0.29695,0.2432,0.27878,132847384.7,2021-12-26 23:59:59.999
16,0.2785,0.2911,0.25164,0.2607,137813361.4,2022-01-02 23:59:59.999
17,0.26067,0.26933,0.20106,0.21791,245606851.6,2022-01-09 23:59:59.999
18,0.21788,0.235,0.192,0.20825,120761715.3,2022-01-16 23:59:59.999
19,0.20793,0.20824,0.10696,0.12366,147310445.8,2022-01-23 23:59:59.999
20,0.12373,0.13702,0.10534,0.1154,143140586.0,2022-01-30 23:59:59.999
21,0.11543,0.329,0.10971,0.19165,2440026228.0,2022-02-06 23:59:59.999
22,0.19166,0.25199,0.173,0.18277,987888962.8,2022-02-13 23:59:59.999
23,0.1829,0.20959,0.16292,0.17031,618515211.0,2022-02-20 23:59:59.999
24,0.1707,0.19262,0.12654,0.15674,569029886.0,2022-02-27 23:59:59.999
25,0.15686,0.18632,0.147,0.14898,376529391.9,2022-03-06 23:59:59.999
26,0.14891,0.15415,0.13374,0.13419,237597497.0,2022-03-13 23:59:59.999
27,0.13415,0.16489,0.13248,0.14445,555190124.5,2022-03-20 23:59:59.999
28,0.14445,0.17,0.14297,0.16269,268841877.0,2022-03-27 23:59:59.999
29,0.16278,0.235,0.15609,0.18766,844374476.2,2022-04-03 23:59:59.999
30,0.1875,0.19672,0.15029,0.15569,251002640.1,2022-04-10 23:59:59.999
31,0.15553,0.16722,0.13693,0.14505,187237904.6,2022-04-17 23:59:59.999
32,0.14501,0.1657,0.13914,0.1417,194302025.5,2022-04-24 23:59:59.999
33,0.14155,0.14363,0.11377,0.12084,156478242.1,2022-05-01 23:59:59.999
34,0.12077,0.1265,0.10001,0.11403,185478732.7,2022-05-08 23:59:59.999
35,0.11411,0.1226,0.03458,0.05461,473479089.7,2022-05-15 23:59:59.999
36,0.05461,0.1438,0.04708,0.0894,2774093357.3,2022-05-22 23:59:59.999
37,0.08943,0.098,0.0674,0.07481,490029575.5,2022-05-29 23:59:59.999
38,0.0748,0.0835,0.06901,0.07219,242254764.9,2022-06-05 23:59:59.999
0,0.0722,0.083,0.05823,0.05877,421809883.8,2022-06-12 23:59:59.999000
