,Open,High,Low,Close,Volume,Close time
0,3.751,4.679,3.3,4.158,24406130.41,2022-01-16 23:59:59.999
1,4.156,4.299,2.01,2.503,21628181.31,2022-01-23 23:59:59.999
2,2.502,3.313,2.0,2.573,27830603.09,2022-01-30 23:59:59.999
3,2.572,4.29,2.466,2.827,77510354.39,2022-02-06 23:59:59.999
4,2.823,3.89,2.204,2.291,67163866.42,2022-02-13 23:59:59.999
5,2.291,2.506,1.774,1.813,42611758.4,2022-02-20 23:59:59.999
6,1.813,1.965,1.315,1.41,69433626.34,2022-02-27 23:59:59.999
7,1.409,1.65,1.148,1.148,41927213.44,2022-03-06 23:59:59.999
8,1.148,1.981,1.101,1.69,296195278.21,2022-03-13 23:59:59.999
9,1.689,2.364,1.45,2.188,187798752.17,2022-03-20 23:59:59.999
10,2.186,2.442,1.993,2.321,153195118.25,2022-03-27 23:59:59.999
11,2.321,2.849,2.214,2.615,145582488.95,2022-04-03 23:59:59.999
12,2.613,2.615,1.963,2.042,102090854.91,2022-04-10 23:59:59.999
13,2.042,2.093,1.707,1.726,64626719.72,2022-04-17 23:59:59.999
14,1.727,2.13,1.563,1.727,70718819.36,2022-04-24 23:59:59.999
15,1.727,1.863,1.291,1.515,68933030.06,2022-05-01 23:59:59.999
16,1.515,1.867,1.345,1.363,99803289.15,2022-05-08 23:59:59.999
17,1.363,1.405,0.675,0.956,135005294.41,2022-05-15 23:59:59.999
18,0.956,1.076,0.783,0.992,82840420.19,2022-05-22 23:59:59.999
19,0.991,1.056,0.79,1.013,82374431.8,2022-05-29 23:59:59.999
20,1.014,1.2,0.907,0.974,75979562.93,2022-06-05 23:59:59.999
0,0.976,1.074,0.729,0.734,54562691.06,2022-06-12 23:59:59.999000
0,0.735,0.799,0.633,0.776,95455542.97,2022-06-19 23:59:59.999000
1,0.776,0.911,0.732,0.821,44433347.7,2022-06-26 23:59:59.999000
2,0.82,1.05,0.802,0.897,73780000.24,2022-07-03 23:59:59.999000
3,0.897,1.04,0.881,0.913,37556892.32,2022-07-10 23:59:59.999000
4,0.911,0.95,0.809,0.913,30723960.06,2022-07-17 23:59:59.999000
