,Open,High,Low,Close,Volume,Close time
0,1.4,2.15,1.4,1.8045,28909831.46,2018-06-03 23:59:59.999
1,1.8093,1.85,1.3181,1.3749,50336857.19,2018-06-10 23:59:59.999
2,1.3769,1.471,1.1292,1.1716,55312748.36,2018-06-17 23:59:59.999
3,1.1744,1.265,0.881,0.9732,67890112.99,2018-06-24 23:59:59.999
4,0.9732,1.0825,0.8924,1.0675,58377933.94,2018-07-01 23:59:59.999
5,1.0674,1.2615,1.0266,1.0779,58030825.73,2018-07-08 23:59:59.999
6,1.0801,1.0947,0.929,0.9981,44153610.72,2018-07-15 23:59:59.999
7,0.9989,1.183,0.9428,0.9777,53908282.53,2018-07-22 23:59:59.999
8,0.9791,1.0631,0.91,1.0086,70267191.54,2018-07-29 23:59:59.999
9,1.0086,1.0144,0.7782,0.9051,91046320.06,2018-08-05 23:59:59.999
10,0.9052,0.9274,0.5016,0.5376,130908943.71,2018-08-12 23:59:59.999
11,0.5391,0.5692,0.4001,0.5373,129337514.58,2018-08-19 23:59:59.999
12,0.5374,0.593,0.4625,0.5732,118480675.46,2018-08-26 23:59:59.999
13,0.5732,0.8084,0.5587,0.7188,173462459.65,2018-09-02 23:59:59.999
14,0.7189,0.744,0.5144,0.5546,115031436.49,2018-09-09 23:59:59.999
15,0.5565,0.614,0.5,0.5781,112784594.19,2018-09-16 23:59:59.999
16,0.5776,0.647,0.5008,0.6114,135042659.41,2018-09-23 23:59:59.999
17,0.6115,0.6162,0.5239,0.5677,103317212.43,2018-09-30 23:59:59.999
18,0.5679,0.583,0.542,0.575,88613333.85,2018-10-07 23:59:59.999
19,0.575,0.6104,0.4723,0.4858,105379147.64,2018-10-14 23:59:59.999
20,0.4877,0.7162,0.4753,0.498,111187827.69,2018-10-21 23:59:59.999
21,0.4979,0.5059,0.4729,0.4819,30758451.61,2018-10-28 23:59:59.999
22,0.4826,0.5131,0.4387,0.5011,24086074.87,2018-11-04 23:59:59.999
23,0.5011,0.5232,0.4712,0.4848,21788568.06,2018-11-11 23:59:59.999
24,0.4844,0.507,0.3872,0.411,35566091.1,2018-11-18 23:59:59.999
25,0.4122,0.4129,0.25,0.2923,70270300.1,2018-11-25 23:59:59.999
26,0.2917,0.3157,0.2558,0.2931,35116067.06,2018-12-02 23:59:59.999
27,0.2936,0.2959,0.205,0.2322,26691143.92,2018-12-09 23:59:59.999
28,0.2322,0.2362,0.202,0.2203,15487722.56,2018-12-16 23:59:59.999
29,0.2205,0.3767,0.2201,0.3573,58533630.12,2018-12-23 23:59:59.999
30,0.3574,0.3855,0.3045,0.349,38373881.78,2018-12-30 23:59:59.999
31,0.3506,0.3883,0.3376,0.3703,26412284.72,2019-01-06 23:59:59.999
32,0.3702,0.3739,0.2768,0.2786,27743942.3,2019-01-13 23:59:59.999
33,0.2786,0.32,0.2736,0.2953,21403071.69,2019-01-20 23:59:59.999
34,0.2963,0.3079,0.2602,0.2671,19881104.12,2019-01-27 23:59:59.999
35,0.268,0.32,0.2415,0.2517,32784304.74,2019-02-03 23:59:59.999
36,0.2517,0.2903,0.2379,0.2818,33535313.6,2019-02-10 23:59:59.999
37,0.2817,0.2864,0.2611,0.278,20119222.01,2019-02-17 23:59:59.999
38,0.2786,0.329,0.2733,0.2781,43241641.29,2019-02-24 23:59:59.999
39,0.2781,0.3,0.2732,0.2838,22468226.61,2019-03-03 23:59:59.999
40,0.2836,0.2912,0.2595,0.2813,33401818.77,2019-03-10 23:59:59.999
41,0.2811,0.3112,0.2701,0.2954,37896361.65,2019-03-17 23:59:59.999
42,0.2951,0.3227,0.2795,0.3073,45174391.48,2019-03-24 23:59:59.999
43,0.307,0.3135,0.2864,0.3063,24549119.93,2019-03-31 23:59:59.999
44,0.3063,0.3782,0.3026,0.3579,79380470.71,2019-04-07 23:59:59.999
45,0.358,0.3631,0.2876,0.3147,48880204.68,2019-04-14 23:59:59.999
46,0.3144,0.3159,0.2905,0.3012,38046491.89,2019-04-21 23:59:59.999
47,0.3011,0.3096,0.2351,0.2699,49103349.94,2019-04-28 23:59:59.999
48,0.2699,0.329,0.2697,0.2826,102790776.03,2019-05-05 23:59:59.999
49,0.2828,0.32,0.26,0.2997,53194118.52,2019-05-12 23:59:59.999
50,0.2996,0.4653,0.2968,0.4219,123684373.78,2019-05-19 23:59:59.999
51,0.421,0.431,0.3575,0.4057,61420594.12,2019-05-26 23:59:59.999
52,0.4047,0.5631,0.3962,0.4891,157532224.1,2019-06-02 23:59:59.999
53,0.4891,0.4915,0.3933,0.4055,59298683.91,2019-06-09 23:59:59.999
54,0.4056,0.46,0.3979,0.4444,42299233.59,2019-06-16 23:59:59.999
55,0.4444,0.4788,0.4,0.4499,59744278.74,2019-06-23 23:59:59.999
56,0.4499,0.4906,0.3768,0.3906,70566163.23,2019-06-30 23:59:59.999
57,0.3913,0.4098,0.3791,0.3949,25914755.25,2019-07-07 23:59:59.999
