,Open,High,Low,Close,Volume,Close time
0,0.11269,0.15,0.08502,0.1252,168368744.8,2020-08-16 23:59:59.999
1,0.12504,0.145,0.1021,0.14167,82326980.8,2020-08-23 23:59:59.999
2,0.14156,0.14355,0.102,0.12004,73021888.4,2020-08-30 23:59:59.999
3,0.12001,0.1269,0.05481,0.06865,105464497.2,2020-09-06 23:59:59.999
4,0.06865,0.07933,0.05854,0.06926,64403273.6,2020-09-13 23:59:59.999
5,0.06924,0.095,0.05696,0.05809,83085948.0,2020-09-20 23:59:59.999
6,0.058,0.074,0.04274,0.06629,137163120.6,2020-09-27 23:59:59.999
7,0.06636,0.075,0.05689,0.06564,46696335.4,2020-10-04 23:59:59.999
8,0.06564,0.0713,0.05006,0.06809,38822973.1,2020-10-11 23:59:59.999
9,0.0681,0.0783,0.06004,0.06648,45620999.3,2020-10-18 23:59:59.999
10,0.06656,0.07,0.05354,0.05404,39020833.1,2020-10-25 23:59:59.999
11,0.05404,0.05768,0.04503,0.04826,25776070.0,2020-11-01 23:59:59.999
12,0.04827,0.05799,0.03824,0.05042,54162914.5,2020-11-08 23:59:59.999
13,0.05042,0.05914,0.048,0.04995,28711890.2,2020-11-15 23:59:59.999
14,0.0496,0.06261,0.0486,0.05716,36140381.9,2020-11-22 23:59:59.999
15,0.0576,0.06878,0.0492,0.05803,55044614.3,2020-11-29 23:59:59.999
16,0.05766,0.06525,0.05721,0.05784,30394295.4,2020-12-06 23:59:59.999
17,0.05784,0.06085,0.04903,0.05431,31337631.3,2020-12-13 23:59:59.999
18,0.05438,0.05718,0.03886,0.0446,208131073.8,2020-12-20 23:59:59.999
19,0.0446,0.04625,0.03162,0.03792,90299982.5,2020-12-27 23:59:59.999
20,0.03793,0.04252,0.0335,0.04003,72695458.5,2021-01-03 23:59:59.999
21,0.04003,0.05575,0.03442,0.04807,149029224.7,2021-01-10 23:59:59.999
22,0.0477,0.05849,0.03454,0.05471,146331155.8,2021-01-17 23:59:59.999
23,0.05456,0.07726,0.05018,0.06372,281814993.1,2021-01-24 23:59:59.999
24,0.06372,0.07444,0.05851,0.06491,191461509.4,2021-01-31 23:59:59.999
25,0.06451,0.09836,0.0602,0.08849,203619356.3,2021-02-07 23:59:59.999
26,0.08848,0.141,0.08433,0.11621,210036288.0,2021-02-14 23:59:59.999
27,0.11622,0.1822,0.08992,0.13316,449794274.2,2021-02-21 23:59:59.999
28,0.13407,0.1428,0.08779,0.10178,299776996.1,2021-02-28 23:59:59.999
29,0.10203,0.11988,0.09537,0.11455,181322597.3,2021-03-07 23:59:59.999
30,0.11472,0.197,0.113,0.16635,407987602.2,2021-03-14 23:59:59.999
31,0.16609,0.28427,0.15753,0.23223,490775186.7,2021-03-21 23:59:59.999
32,0.23169,0.24,0.172,0.22663,226417823.3,2021-03-28 23:59:59.999
33,0.22617,0.25646,0.20241,0.22174,139160055.8,2021-04-04 23:59:59.999
34,0.22203,0.32,0.18541,0.26871,373196260.9,2021-04-11 23:59:59.999
35,0.26873,0.314,0.165,0.1925,469055028.3,2021-04-18 23:59:59.999
36,0.19259,0.20444,0.11,0.12568,159919946.3,2021-04-25 23:59:59.999
37,0.12568,0.18837,0.12494,0.18201,311385454.0,2021-05-02 23:59:59.999
38,0.18242,0.26991,0.1629,0.16918,1104406685.3,2021-05-09 23:59:59.999
39,0.16918,0.23431,0.12793,0.1379,620000868.8,2021-05-16 23:59:59.999
40,0.13745,0.13866,0.05265,0.065,243992137.7,2021-05-23 23:59:59.999
41,0.06499,0.09508,0.06241,0.07682,177306816.6,2021-05-30 23:59:59.999
42,0.077,0.16445,0.0728,0.10537,535280178.0,2021-06-06 23:59:59.999
43,0.10507,0.1071,0.07036,0.08099,629506110.6,2021-06-13 23:59:59.999
44,0.08092,0.09617,0.069,0.07875,255003391.0,2021-06-20 23:59:59.999
45,0.07874,0.0837,0.05133,0.07652,209866616.0,2021-06-27 23:59:59.999
46,0.0764,0.08671,0.07188,0.08302,169972964.8,2021-07-04 23:59:59.999
47,0.08265,0.08754,0.06997,0.07535,98200391.3,2021-07-11 23:59:59.999
48,0.07547,0.08301,0.06503,0.06723,153919048.0,2021-07-18 23:59:59.999
49,0.06707,0.07066,0.05263,0.06981,92423760.9,2021-07-25 23:59:59.999
50,0.07006,0.08167,0.06623,0.07445,117477738.6,2021-08-01 23:59:59.999
51,0.07421,0.0975,0.0731,0.08759,213127351.1,2021-08-08 23:59:59.999
52,0.08768,0.14035,0.08408,0.11661,307745758.7,2021-08-15 23:59:59.999
53,0.11664,0.13644,0.09627,0.12874,354144883.0,2021-08-22 23:59:59.999
54,0.1291,0.13278,0.10238,0.11708,197615545.5,2021-08-29 23:59:59.999
55,0.11715,0.14588,0.10841,0.14086,159649653.8,2021-09-05 23:59:59.999
56,0.1406,0.1638,0.09921,0.1498,352493819.3,2021-09-12 23:59:59.999
57,0.14981,0.1685,0.12883,0.155,305926191.7,2021-09-19 23:59:59.999
58,0.155,0.17,0.10445,0.12049,229776210.8,2021-09-26 23:59:59.999
59,0.12014,0.12805,0.09756,0.10961,259244848.3,2021-10-03 23:59:59.999
60,0.10962,0.13228,0.09872,0.10599,350442946.7,2021-10-10 23:59:59.999
61,0.10588,0.138,0.09847,0.11378,343254946.8,2021-10-17 23:59:59.999
62,0.1141,0.13167,0.1086,0.11194,263223290.5,2021-10-24 23:59:59.999
63,0.11172,0.12768,0.10569,0.11652,213579424.9,2021-10-31 23:59:59.999
64,0.11621,0.144,0.10921,0.12701,342731735.1,2021-11-07 23:59:59.999
65,0.1272,0.143,0.115,0.125,244932035.5,2021-11-14 23:59:59.999
66,0.12526,0.132,0.103,0.12049,215364144.3,2021-11-21 23:59:59.999
67,0.1205,0.22,0.11121,0.11997,1730015936.2,2021-11-28 23:59:59.999
68,0.11993,0.145,0.082,0.09574,531102297.4,2021-12-05 23:59:59.999
69,0.09579,0.09999,0.08452,0.09228,240700136.0,2021-12-12 23:59:59.999
70,0.09228,0.09361,0.07715,0.08532,303704230.4,2021-12-19 23:59:59.999
71,0.08531,0.099,0.07921,0.09501,147512481.6,2021-12-26 23:59:59.999
72,0.09501,0.1188,0.08198,0.08799,222688472.6,2022-01-02 23:59:59.999
73,0.08786,0.14404,0.07911,0.08808,1500279085.4,2022-01-09 23:59:59.999
74,0.08809,0.11345,0.07823,0.10331,708126439.3,2022-01-16 23:59:59.999
75,0.10329,0.106,0.06308,0.07181,351274033.6,2022-01-23 23:59:59.999
76,0.07187,0.07486,0.06105,0.06624,172429783.5,2022-01-30 23:59:59.999
77,0.06635,0.08973,0.06271,0.0761,478026412.0,2022-02-06 23:59:59.999
78,0.07616,0.0829,0.072,0.07365,390734844.6,2022-02-13 23:59:59.999
79,0.07379,0.07994,0.0598,0.06116,152220205.5,2022-02-20 23:59:59.999
80,0.0613,0.06577,0.05,0.05779,173073226.0,2022-02-27 23:59:59.999
81,0.05772,0.0682,0.05704,0.05791,162403509.4,2022-03-06 23:59:59.999
82,0.058,0.06215,0.05362,0.05387,104212065.9,2022-03-13 23:59:59.999
83,0.05382,0.0735,0.0534,0.05965,590020165.6,2022-03-20 23:59:59.999
84,0.05974,0.07129,0.0585,0.06878,347371177.1,2022-03-27 23:59:59.999
85,0.06878,0.08285,0.06624,0.07697,337145000.0,2022-04-03 23:59:59.999
86,0.07697,0.08454,0.06143,0.06224,307724571.2,2022-04-10 23:59:59.999
87,0.06212,0.06352,0.05531,0.05635,159903413.2,2022-04-17 23:59:59.999
88,0.05635,0.0607,0.05322,0.0545,155229693.6,2022-04-24 23:59:59.999
89,0.05456,0.05468,0.041,0.04483,100753995.9,2022-05-01 23:59:59.999
90,0.0448,0.05492,0.03685,0.03735,225577445.9,2022-05-08 23:59:59.999
91,0.03738,0.03782,0.01642,0.02276,376609247.7,2022-05-15 23:59:59.999
92,0.02276,0.028,0.02009,0.02459,309809339.0,2022-05-22 23:59:59.999
93,0.02457,0.02739,0.02132,0.02327,186495145.0,2022-05-29 23:59:59.999
94,0.02329,0.02733,0.0231,0.02531,171617070.5,2022-06-05 23:59:59.999
