,Open,High,Low,Close,Volume,Close time
0,0.1451,0.3649,0.1451,0.1695,2247475472.6,2021-11-28 23:59:59.999
1,0.1693,0.1868,0.09,0.1316,865633423.8,2021-12-05 23:59:59.999
2,0.1318,0.1334,0.09,0.0982,806051724.3,2021-12-12 23:59:59.999
3,0.0981,0.0981,0.0676,0.0708,1071884306.8,2021-12-19 23:59:59.999
4,0.0708,0.1215,0.0611,0.0877,4298388246.2,2021-12-26 23:59:59.999
5,0.0877,0.0982,0.0701,0.0843,2213974803.3,2022-01-02 23:59:59.999
6,0.0843,0.093,0.0691,0.0721,1095696577.2,2022-01-09 23:59:59.999
7,0.072,0.075,0.067,0.0706,771479863.6,2022-01-16 23:59:59.999
8,0.0706,0.0849,0.0459,0.0518,1723495661.0,2022-01-23 23:59:59.999
9,0.0518,0.0548,0.0439,0.047,1046778998.6,2022-01-30 23:59:59.999
10,0.047,0.0473,0.0383,0.0408,1606660607.7,2022-02-06 23:59:59.999
11,0.0408,0.0457,0.03,0.0306,3652934444.7,2022-02-13 23:59:59.999
12,0.0307,0.0371,0.0202,0.0212,6205365136.5,2022-02-20 23:59:59.999
13,0.0211,0.0257,0.0148,0.0161,10019968226.0,2022-02-27 23:59:59.999
14,0.0161,0.0185,0.0118,0.0119,9680273189.0,2022-03-06 23:59:59.999
15,0.0119,0.0178,0.0108,0.0127,20242229557.0,2022-03-13 23:59:59.999
16,0.0128,0.0494,0.0122,0.0325,82338813776.0,2022-03-20 23:59:59.999
17,0.0325,0.0474,0.0312,0.0366,35112637831.3,2022-03-27 23:59:59.999
18,0.0367,0.0407,0.0284,0.0299,20383512968.6,2022-04-03 23:59:59.999
19,0.03,0.0347,0.0248,0.025,23370005942.6,2022-04-10 23:59:59.999
20,0.0251,0.0253,0.0171,0.018,23602323529.9,2022-04-17 23:59:59.999
21,0.018,0.0285,0.0171,0.025,71320987943.4,2022-04-24 23:59:59.999
22,0.0249,0.025,0.0173,0.0188,31031259030.8,2022-05-01 23:59:59.999
23,0.0188,0.0216,0.0153,0.0156,19240725605.9,2022-05-08 23:59:59.999
24,0.0155,0.0172,0.0082,0.010999,44092320183.2,2022-05-15 23:59:59.999
25,0.011011,0.015996,0.010369,0.012751,43244762007.4,2022-05-22 23:59:59.999
26,0.01275,0.014217,0.010709,0.01241,17033042113.3,2022-05-29 23:59:59.999
27,0.012412,0.014317,0.011242,0.012116,17183591742.5,2022-06-05 23:59:59.999
