,Open,High,Low,Close,Volume,Close time
0,2.21,2.79,1.949,1.956,35805900.08,2022-01-02 23:59:59.999
1,1.959,1.964,1.281,1.502,25026072.06,2022-01-09 23:59:59.999
2,1.502,1.711,1.32,1.595,15743993.29,2022-01-16 23:59:59.999
3,1.592,1.617,0.69,0.852,26417786.83,2022-01-23 23:59:59.999
4,0.852,1.399,0.657,1.266,63614576.46,2022-01-30 23:59:59.999
5,1.266,1.624,1.155,1.386,46299080.12,2022-02-06 23:59:59.999
6,1.385,1.52,1.153,1.155,25399197.33,2022-02-13 23:59:59.999
7,1.155,1.346,0.967,1.012,11580562.53,2022-02-20 23:59:59.999
8,1.009,1.205,0.844,1.035,31455317.28,2022-02-27 23:59:59.999
9,1.036,1.283,1.02,1.042,30093447.73,2022-03-06 23:59:59.999
10,1.043,1.104,0.827,0.836,18780894.14,2022-03-13 23:59:59.999
11,0.836,1.089,0.797,0.98,38415345.83,2022-03-20 23:59:59.999
12,0.98,1.075,0.95,1.0,15609829.73,2022-03-27 23:59:59.999
13,0.999,1.438,0.995,1.387,45921659.06,2022-04-03 23:59:59.999
14,1.384,1.6,1.176,1.308,27832617.11,2022-04-10 23:59:59.999
15,1.308,1.313,1.11,1.119,11592496.52,2022-04-17 23:59:59.999
16,1.118,1.27,1.02,1.049,11917165.0,2022-04-24 23:59:59.999
17,1.051,1.122,0.789,0.845,15602737.0,2022-05-01 23:59:59.999
18,0.843,1.04,0.75,0.796,15872289.89,2022-05-08 23:59:59.999
19,0.797,0.825,0.29,0.517,55929919.43,2022-05-15 23:59:59.999
20,0.517,0.543,0.375,0.428,20977779.92,2022-05-22 23:59:59.999
21,0.428,0.442,0.284,0.348,28372297.67,2022-05-29 23:59:59.999
22,0.349,0.385,0.274,0.292,25993263.09,2022-06-05 23:59:59.999
0,0.292,0.344,0.212,0.212,30619732.35,2022-06-12 23:59:59.999000
0,0.212,0.229,0.163,0.212,42935556.9,2022-06-19 23:59:59.999000
1,0.212,0.434,0.201,0.284,58015703.97,2022-06-26 23:59:59.999000
2,0.284,0.307,0.215,0.239,15282284.75,2022-07-03 23:59:59.999000
3,0.239,0.33,0.238,0.262,39704849.61,2022-07-10 23:59:59.999000
4,0.262,0.384,0.241,0.306,41258451.47,2022-07-17 23:59:59.999000
