,Open,High,Low,Close,Volume,Close time
0,14.66,43.43,11.999,15.058,6033276.865,2020-12-27 23:59:59.999
1,14.954,17.588,11.072,11.33,650947.112,2021-01-03 23:59:59.999
2,11.363,13.399,8.5,9.709,262570.183,2021-01-10 23:59:59.999
3,9.684,13.911,8.31,9.852,1302646.968,2021-01-17 23:59:59.999
4,9.854,10.05,4.701,9.048,814754.54,2021-01-24 23:59:59.999
5,9.054,10.8,7.509,7.783,322157.027,2021-01-31 23:59:59.999
6,7.831,11.699,7.561,8.321,714177.532,2021-02-07 23:59:59.999
7,8.321,13.7,8.085,11.167,2179034.035,2021-02-14 23:59:59.999
8,11.167,13.1,9.807,11.57,1107537.697,2021-02-21 23:59:59.999
9,11.566,11.579,8.02,9.183,634957.767,2021-02-28 23:59:59.999
10,9.191,11.68,8.715,10.102,859670.025,2021-03-07 23:59:59.999
11,10.101,20.79,9.56,15.493,5394403.556,2021-03-14 23:59:59.999
12,15.442,17.968,13.58,15.014,1801208.321,2021-03-21 23:59:59.999
13,15.103,15.5,12.082,13.84,1219862.874,2021-03-28 23:59:59.999
14,13.847,15.6,13.228,13.916,797329.676,2021-04-04 23:59:59.999
15,13.916,25.416,13.6,15.8,4472139.974,2021-04-11 23:59:59.999
16,15.781,20.271,13.297,14.126,3551110.327,2021-04-18 23:59:59.999
17,14.125,21.982,11.695,16.5,8010108.674,2021-04-25 23:59:59.999
18,16.5,23.85,15.63,22.241,3084468.066,2021-05-02 23:59:59.999
19,22.393,24.15,15.856,15.988,1822395.623,2021-05-09 23:59:59.999
20,15.988,29.5,14.43,18.284,11338201.005,2021-05-16 23:59:59.999
21,18.205,28.91,7.989,9.946,12323996.295,2021-05-23 23:59:59.999
22,9.924,13.552,8.784,10.303,4171082.645,2021-05-30 23:59:59.999
23,10.337,11.421,9.649,10.138,1553700.881,2021-06-06 23:59:59.999
24,10.16,12.0,8.012,9.263,3497001.749,2021-06-13 23:59:59.999
25,9.263,10.273,8.5,8.838,1513639.181,2021-06-20 23:59:59.999
26,8.84,8.883,6.356,7.153,1309084.242,2021-06-27 23:59:59.999
27,7.141,8.446,6.9,7.344,2071078.741,2021-07-04 23:59:59.999
28,7.329,8.8,7.208,8.001,1727047.159,2021-07-11 23:59:59.999
29,8.012,8.922,7.635,8.053,1350504.551,2021-07-18 23:59:59.999
30,8.031,11.25,7.833,10.501,2745685.438,2021-07-25 23:59:59.999
31,10.504,13.7,9.843,12.207,1843389.911,2021-08-01 23:59:59.999
