,Open,High,Low,Close,Volume,Close time
0,0.8974,1.356,0.8635,0.9933,49516778.0,2021-06-27 23:59:59.999
1,0.9911,1.07,0.9394,1.0177,16021623.0,2021-07-04 23:59:59.999
2,1.0199,1.0763,0.9,0.9827,15538497.0,2021-07-11 23:59:59.999
3,0.985,0.99,0.861,0.9042,7696795.0,2021-07-18 23:59:59.999
4,0.9076,1.23,0.824,0.9902,17697539.0,2021-07-25 23:59:59.999
5,0.9924,1.0999,0.9525,1.0229,10278841.0,2021-08-01 23:59:59.999
6,1.0191,1.3006,0.9976,1.1989,16169983.0,2021-08-08 23:59:59.999
7,1.1989,1.9397,1.1505,1.9169,24428643.0,2021-08-15 23:59:59.999
8,1.9197,1.9799,1.5501,1.84,19432166.0,2021-08-22 23:59:59.999
9,1.84,1.9319,1.555,1.629,23611114.1,2021-08-29 23:59:59.999
10,1.629,1.697,1.531,1.637,18109959.0,2021-09-05 23:59:59.999
11,1.637,1.695,1.283,1.38,17766823.8,2021-09-12 23:59:59.999
12,1.378,1.393,1.214,1.217,15317945.3,2021-09-19 23:59:59.999
13,1.217,1.22,0.991,1.057,22124279.7,2021-09-26 23:59:59.999
14,1.056,1.255,1.017,1.226,23737851.9,2021-10-03 23:59:59.999
15,1.229,4.4,1.187,1.676,150111204.5,2021-10-10 23:59:59.999
16,1.678,1.792,1.473,1.628,83429434.4,2021-10-17 23:59:59.999
17,1.625,1.732,1.532,1.573,33016766.6,2021-10-24 23:59:59.999
18,1.572,1.66,1.368,1.59,33733229.1,2021-10-31 23:59:59.999
19,1.59,1.9,1.547,1.618,60832720.5,2021-11-07 23:59:59.999
20,1.618,1.631,1.42,1.497,46774157.9,2021-11-14 23:59:59.999
21,1.496,1.608,1.41,1.528,56997457.7,2021-11-21 23:59:59.999
22,1.528,1.533,1.248,1.375,54507287.8,2021-11-28 23:59:59.999
23,1.375,1.65,1.0,1.259,65687410.0,2021-12-05 23:59:59.999
24,1.261,1.435,1.167,1.341,35059524.0,2021-12-12 23:59:59.999
25,1.341,1.347,1.144,1.245,31856771.3,2021-12-19 23:59:59.999
26,1.245,1.367,1.178,1.355,34602459.1,2021-12-26 23:59:59.999
27,1.356,1.417,1.228,1.391,45998818.7,2022-01-02 23:59:59.999
28,1.39,1.6,1.263,1.351,81364920.4,2022-01-09 23:59:59.999
29,1.35,1.487,1.207,1.416,68452501.9,2022-01-16 23:59:59.999
30,1.415,1.502,1.071,1.234,71737255.6,2022-01-23 23:59:59.999
31,1.233,1.363,1.102,1.193,75819666.2,2022-01-30 23:59:59.999
32,1.194,1.214,1.09,1.176,32550673.8,2022-02-06 23:59:59.999
33,1.177,1.284,1.144,1.178,56017619.1,2022-02-13 23:59:59.999
34,1.178,1.359,1.166,1.248,95699015.5,2022-02-20 23:59:59.999
35,1.249,1.298,1.112,1.167,94033605.5,2022-02-27 23:59:59.999
36,1.168,1.256,1.125,1.133,58734215.0,2022-03-06 23:59:59.999
37,1.133,1.152,1.063,1.07,52407177.1,2022-03-13 23:59:59.999
38,1.071,1.131,1.058,1.103,61629081.6,2022-03-20 23:59:59.999
39,1.103,1.183,1.077,1.181,69252114.2,2022-03-27 23:59:59.999
40,1.18,1.259,1.126,1.171,120013744.2,2022-04-03 23:59:59.999
41,1.171,1.175,1.061,1.062,63504363.1,2022-04-10 23:59:59.999
42,1.062,1.065,0.971,0.977,57130657.9,2022-04-17 23:59:59.999
43,0.976,1.041,0.913,0.924,71407539.0,2022-04-24 23:59:59.999
44,0.924,0.926,0.712,0.743,101430277.3,2022-05-01 23:59:59.999
45,0.743,0.758,0.601,0.605,124802573.3,2022-05-08 23:59:59.999
46,0.606,0.619,0.319,0.417,286254326.0,2022-05-15 23:59:59.999
47,0.417,0.48,0.385,0.477,159248093.2,2022-05-22 23:59:59.999
48,0.477,0.513,0.404,0.429,121979732.7,2022-05-29 23:59:59.999
49,0.43,0.462,0.391,0.401,83665759.2,2022-06-05 23:59:59.999
0,0.4,0.413,0.289,0.294,85729929.7,2022-06-12 23:59:59.999000
