,Open,High,Low,Close,Volume,Close time
0,0.7408,0.8817,0.676,0.7897,4865459.81,2020-08-16 23:59:59.999
1,0.7947,0.9995,0.7411,0.9061,9002799.18,2020-08-23 23:59:59.999
2,0.9061,0.914,0.7181,0.7812,3937970.26,2020-08-30 23:59:59.999
3,0.7793,0.82,0.5566,0.6181,3117625.62,2020-09-06 23:59:59.999
4,0.62,0.6848,0.5641,0.6113,2855759.5,2020-09-13 23:59:59.999
5,0.6113,0.6487,0.5815,0.6431,1376141.4,2020-09-20 23:59:59.999
6,0.6429,0.6474,0.5048,0.5694,1893567.77,2020-09-27 23:59:59.999
7,0.5707,0.5913,0.5287,0.5517,721774.82,2020-10-04 23:59:59.999
8,0.5517,0.614,0.5051,0.568,998118.3,2020-10-11 23:59:59.999
9,0.5679,0.5757,0.5142,0.5264,712256.31,2020-10-18 23:59:59.999
10,0.5266,0.5499,0.4703,0.4965,1647417.04,2020-10-25 23:59:59.999
11,0.5004,0.5233,0.4236,0.4307,1148519.78,2020-11-01 23:59:59.999
12,0.4323,0.48,0.388,0.4583,1811527.45,2020-11-08 23:59:59.999
13,0.4579,0.4999,0.4356,0.4578,1417256.42,2020-11-15 23:59:59.999
14,0.4601,0.52,0.4376,0.4846,2432609.64,2020-11-22 23:59:59.999
15,0.4857,0.7962,0.4775,0.573,8909906.17,2020-11-29 23:59:59.999
16,0.5767,0.646,0.5415,0.5728,2429055.53,2020-12-06 23:59:59.999
17,0.5728,0.6024,0.4945,0.5526,3327505.69,2020-12-13 23:59:59.999
18,0.5496,0.681,0.5248,0.5798,5142528.65,2020-12-20 23:59:59.999
19,0.5805,0.5917,0.477,0.5265,1990076.68,2020-12-27 23:59:59.999
20,0.5261,0.5531,0.458,0.4803,2564058.92,2021-01-03 23:59:59.999
21,0.4774,0.6399,0.4612,0.5932,8442146.72,2021-01-10 23:59:59.999
22,0.5895,0.645,0.4939,0.6256,6975574.82,2021-01-17 23:59:59.999
23,0.6258,0.72,0.5246,0.623,8407040.86,2021-01-24 23:59:59.999
24,0.623,0.99,0.5286,0.7185,20062109.98,2021-01-31 23:59:59.999
25,0.7228,0.94,0.6523,0.7905,11636320.81,2021-02-07 23:59:59.999
26,0.7899,1.48,0.7682,1.2991,33547869.6,2021-02-14 23:59:59.999
27,1.3025,1.84,1.1252,1.6345,24625008.71,2021-02-21 23:59:59.999
28,1.6346,1.8826,1.0,1.2054,26358501.11,2021-02-28 23:59:59.999
29,1.206,1.56,1.1963,1.5178,12806507.46,2021-03-07 23:59:59.999
30,1.5178,1.6345,1.3922,1.4592,9105393.04,2021-03-14 23:59:59.999
31,1.4592,2.02,1.3169,1.7293,19567373.89,2021-03-21 23:59:59.999
32,1.7294,2.39,1.6326,2.135,24793927.36,2021-03-28 23:59:59.999
33,2.1364,2.99,2.0378,2.6242,22355567.3,2021-04-04 23:59:59.999
34,2.6224,4.7426,2.4224,3.7365,65864732.69,2021-04-11 23:59:59.999
35,3.7366,3.8348,2.5706,2.9068,18070899.07,2021-04-18 23:59:59.999
36,2.9068,3.2295,1.6536,2.0975,18304048.33,2021-04-25 23:59:59.999
37,2.0996,3.0881,2.0408,2.7472,16489330.17,2021-05-02 23:59:59.999
