,Open,High,Low,Close,Volume,Close time
0,1.154,1.345,1.121,1.171,4763273.726,2020-06-14 23:59:59.999
1,1.171,1.303,1.051,1.228,8736092.493,2020-06-21 23:59:59.999
2,1.228,1.277,1.001,1.097,6646089.858,2020-06-28 23:59:59.999
3,1.1,1.985,1.077,1.607,44035118.475,2020-07-05 23:59:59.999
4,1.607,1.789,1.56,1.613,31792496.095,2020-07-12 23:59:59.999
5,1.611,1.92,1.442,1.691,38670454.329,2020-07-19 23:59:59.999
6,1.692,1.785,1.438,1.511,22441369.285,2020-07-26 23:59:59.999
7,1.512,1.538,1.184,1.411,31971204.018,2020-08-02 23:59:59.999
8,1.414,1.825,1.374,1.787,35636942.135,2020-08-09 23:59:59.999
9,1.786,2.048,1.5,1.877,51188326.945,2020-08-16 23:59:59.999
10,1.879,1.946,1.486,1.708,30929330.967,2020-08-23 23:59:59.999
11,1.714,1.795,1.494,1.706,18974956.721,2020-08-30 23:59:59.999
12,1.707,1.858,1.047,1.299,30478941.073,2020-09-06 23:59:59.999
13,1.299,1.34,1.132,1.226,16414754.473,2020-09-13 23:59:59.999
14,1.225,1.247,0.991,1.011,16534206.853,2020-09-20 23:59:59.999
15,1.01,1.068,0.852,1.008,15460213.478,2020-09-27 23:59:59.999
16,1.007,1.06,0.862,0.925,14159879.852,2020-10-04 23:59:59.999
17,0.922,1.0,0.825,0.96,16246925.785,2020-10-11 23:59:59.999
18,0.959,1.058,0.885,0.933,12163563.41,2020-10-18 23:59:59.999
19,0.934,0.98,0.859,0.903,7404888.767,2020-10-25 23:59:59.999
20,0.903,0.936,0.768,0.792,6857157.554,2020-11-01 23:59:59.999
21,0.792,0.89,0.686,0.82,13326397.078,2020-11-08 23:59:59.999
22,0.822,0.979,0.787,0.891,18912087.584,2020-11-15 23:59:59.999
23,0.889,1.075,0.867,1.021,19788046.193,2020-11-22 23:59:59.999
24,1.024,1.352,0.885,1.022,25200195.555,2020-11-29 23:59:59.999
25,1.02,1.106,0.918,0.977,16663358.882,2020-12-06 23:59:59.999
26,0.976,0.977,0.836,0.922,9078671.223,2020-12-13 23:59:59.999
27,0.922,1.0,0.902,0.921,15651427.099,2020-12-20 23:59:59.999
28,0.921,0.94,0.683,0.812,15434747.082,2020-12-27 23:59:59.999
29,0.813,0.878,0.765,0.829,13129023.292,2021-01-03 23:59:59.999
30,0.829,1.3,0.76,1.134,61907624.368,2021-01-10 23:59:59.999
31,1.136,1.294,0.857,1.234,42779049.296,2021-01-17 23:59:59.999
32,1.234,1.493,1.135,1.382,55927463.013,2021-01-24 23:59:59.999
33,1.382,1.447,1.142,1.291,30246595.425,2021-01-31 23:59:59.999
34,1.291,2.345,1.256,1.752,70424663.951,2021-02-07 23:59:59.999
35,1.754,2.526,1.709,2.128,72993200.093,2021-02-14 23:59:59.999
36,2.13,2.33,1.71,2.188,42391808.14,2021-02-21 23:59:59.999
37,2.188,2.196,1.342,1.569,36158625.304,2021-02-28 23:59:59.999
38,1.572,2.338,1.562,2.073,46349003.702,2021-03-07 23:59:59.999
39,2.068,2.447,1.97,2.155,48297164.684,2021-03-14 23:59:59.999
40,2.155,3.344,1.933,2.733,91935549.082,2021-03-21 23:59:59.999
41,2.735,3.103,2.147,2.657,45528073.097,2021-03-28 23:59:59.999
42,2.656,3.8,2.572,3.377,44930280.585,2021-04-04 23:59:59.999
43,3.377,4.36,2.871,3.667,51778409.938,2021-04-11 23:59:59.999
44,3.663,3.954,2.561,3.026,31460488.008,2021-04-18 23:59:59.999
45,3.024,3.424,2.226,2.407,44605749.665,2021-04-25 23:59:59.999
46,2.408,3.39,2.39,3.173,31244440.316,2021-05-02 23:59:59.999
47,3.174,4.25,2.914,3.368,44076765.571,2021-05-09 23:59:59.999
48,3.37,3.994,2.556,2.71,39406705.164,2021-05-16 23:59:59.999
49,2.71,2.932,1.188,1.44,53934987.363,2021-05-23 23:59:59.999
50,1.441,2.049,1.394,1.569,38461846.731,2021-05-30 23:59:59.999
51,1.569,2.717,1.48,2.412,97402201.829,2021-06-06 23:59:59.999
52,2.41,2.415,1.582,1.915,39884656.625,2021-06-13 23:59:59.999
53,1.915,2.12,1.601,1.716,41130776.402,2021-06-20 23:59:59.999
54,1.716,1.726,1.082,1.35,41254771.243,2021-06-27 23:59:59.999
55,1.353,1.731,1.314,1.622,35121252.016,2021-07-04 23:59:59.999
56,1.621,1.773,1.439,1.525,29339777.498,2021-07-11 23:59:59.999
57,1.524,1.583,1.259,1.311,15933736.262,2021-07-18 23:59:59.999
58,1.311,1.404,1.126,1.352,20053627.637,2021-07-25 23:59:59.999
59,1.353,1.744,1.308,1.557,35484079.019,2021-08-01 23:59:59.999
