,Open,High,Low,Close,Volume,Close time
0,1049.35,2065.0,930.42,1670.04,161000.77,2021-11-14 23:59:59.999
1,1674.09,1939.16,1064.91,1227.33,127399.22,2021-11-21 23:59:59.999
2,1222.67,1762.07,988.99,1179.54,179678.36,2021-11-28 23:59:59.999
3,1181.86,1195.81,617.66,1090.64,50946.65,2021-12-05 23:59:59.999
4,1090.64,1093.0,687.68,732.86,66487.61,2021-12-12 23:59:59.999
5,732.0,873.28,547.25,762.71,134151.31,2021-12-19 23:59:59.999
6,764.49,986.4,712.16,860.5,49685.7,2021-12-26 23:59:59.999
7,862.42,1385.0,705.09,1181.12,194368.1,2022-01-02 23:59:59.999
8,1180.36,1374.64,980.93,1062.65,129054.71,2022-01-09 23:59:59.999
9,1061.01,1895.71,941.1,1865.06,128630.79,2022-01-16 23:59:59.999
10,1869.88,1935.0,760.0,1247.0,151305.9,2022-01-23 23:59:59.999
11,1247.47,1249.94,874.69,900.2,107069.72,2022-01-30 23:59:59.999
12,902.31,1013.32,810.1,909.0,101972.83,2022-02-06 23:59:59.999
13,909.04,975.0,751.62,754.0,79586.61,2022-02-13 23:59:59.999
14,755.51,874.0,637.0,640.66,58274.31,2022-02-20 23:59:59.999
15,641.79,780.0,486.84,616.0,140709.62,2022-02-27 23:59:59.999
16,616.67,726.87,382.24,386.43,210055.88,2022-03-06 23:59:59.999
17,387.33,434.6,340.0,344.7,380846.28,2022-03-13 23:59:59.999
18,344.71,436.37,342.57,394.98,211149.1,2022-03-20 23:59:59.999
19,394.66,645.0,376.05,558.08,531305.34,2022-03-27 23:59:59.999
20,557.91,589.4,480.01,531.64,256970.73,2022-04-03 23:59:59.999
21,532.12,532.75,424.01,441.04,127659.04,2022-04-10 23:59:59.999
22,441.04,445.61,385.48,388.77,67636.65,2022-04-17 23:59:59.999
23,388.31,418.0,369.33,376.08,61905.93,2022-04-24 23:59:59.999
24,375.74,388.0,291.34,309.12,84614.42,2022-05-01 23:59:59.999
25,309.23,329.53,263.1,266.17,111712.48,2022-05-08 23:59:59.999
26,266.38,279.67,96.0,137.33,205357.59,2022-05-15 23:59:59.999
27,137.44,188.0,111.5,145.63,507975.67,2022-05-22 23:59:59.999
28,145.56,176.0,116.48,131.31,283363.86,2022-05-29 23:59:59.999
29,131.34,154.24,125.51,128.19,197484.22,2022-06-05 23:59:59.999
0,128.22,137.33,100.51,100.93,157859.53,2022-06-12 23:59:59.999000
0,100.69,129.98,84.95,101.36,420307.51,2022-06-19 23:59:59.999000
1,101.26,183.0,95.78,127.04,532194.09,2022-06-26 23:59:59.999000
2,126.95,154.0,108.69,131.07,428606.13,2022-07-03 23:59:59.999000
3,131.23,145.0,125.26,128.25,170830.84,2022-07-10 23:59:59.999000
4,128.3,141.72,113.0,130.31,183681.61,2022-07-17 23:59:59.999000
