,Open,High,Low,Close,Volume,Close time
0,1.0,100.0,1.0,12.2573,51191885.03,2021-10-24 23:59:59.999
1,12.265,19.5526,11.175,11.4881,31017249.99,2021-10-31 23:59:59.999
2,11.5172,13.5,9.6364,10.2623,9052445.24,2021-11-07 23:59:59.999
3,10.2614,10.9,8.2233,8.6724,4595679.28,2021-11-14 23:59:59.999
4,8.6942,8.938,5.7501,6.6664,10478380.59,2021-11-21 23:59:59.999
5,6.6664,7.1916,5.18,5.4826,6592183.07,2021-11-28 23:59:59.999
6,5.4809,8.5501,3.5163,6.3698,37596278.52,2021-12-05 23:59:59.999
7,6.3699,7.8273,5.0167,5.9736,40521882.06,2021-12-12 23:59:59.999
8,5.9654,6.01,4.6795,4.7362,6730862.24,2021-12-19 23:59:59.999
9,4.7363,6.0,4.3397,5.3426,9222359.18,2021-12-26 23:59:59.999
10,5.3374,5.7823,4.557,4.65,6324742.16,2022-01-02 23:59:59.999
11,4.649,5.1874,3.8919,4.018,9907665.85,2022-01-09 23:59:59.999
12,4.0232,4.6338,3.7234,4.3216,10117312.18,2022-01-16 23:59:59.999
13,4.3312,4.5517,2.9256,3.1436,6147343.65,2022-01-23 23:59:59.999
14,3.1484,3.3869,2.8341,3.0959,6146197.18,2022-01-30 23:59:59.999
15,3.097,3.5307,2.9609,3.4089,4219869.85,2022-02-06 23:59:59.999
16,3.4085,4.3,3.3527,3.4786,7744997.52,2022-02-13 23:59:59.999
17,3.4578,3.7822,2.8553,3.02,6327804.74,2022-02-20 23:59:59.999
18,3.02,3.9798,2.3876,2.8883,10391987.94,2022-02-27 23:59:59.999
19,2.882,3.6499,2.72,2.9225,12045821.04,2022-03-06 23:59:59.999
20,2.9223,6.89,2.7783,4.8654,58677845.66,2022-03-13 23:59:59.999
21,4.8637,5.3383,3.7282,4.2046,26491781.85,2022-03-20 23:59:59.999
22,4.2137,4.6,4.1,4.2578,7910592.95,2022-03-27 23:59:59.999
23,4.2589,4.6889,4.1222,4.356,8978491.33,2022-04-03 23:59:59.999
24,4.356,6.35,4.175,4.5548,38623709.45,2022-04-10 23:59:59.999
25,4.5542,4.72,3.8732,4.0029,7830943.51,2022-04-17 23:59:59.999
26,3.999,4.5,3.8154,3.8284,5816475.29,2022-04-24 23:59:59.999
27,3.8283,3.8411,2.994,3.1516,6615040.9,2022-05-01 23:59:59.999
28,3.1492,3.35,2.6725,2.6832,5780304.81,2022-05-08 23:59:59.999
29,2.6909,2.7174,0.91,1.6876,16989598.93,2022-05-15 23:59:59.999
30,1.6874,3.558,1.5833,2.3257,29916455.43,2022-05-22 23:59:59.999
31,2.3196,3.1,2.1931,2.3481,10956149.8,2022-05-29 23:59:59.999
32,2.3502,2.9386,2.2724,2.5379,14513436.46,2022-06-05 23:59:59.999
0,2.538,2.9,2.06,2.083,9366036.82,2022-06-12 23:59:59.999000
0,2.0813,2.4363,1.9055,2.1353,7104038.01,2022-06-19 23:59:59.999000
1,2.1317,2.3015,2.0359,2.2188,4131784.47,2022-06-26 23:59:59.999000
2,2.2198,2.6,1.9691,2.0949,4969240.95,2022-07-03 23:59:59.999000
3,2.0956,2.2457,2.0636,2.1805,2367416.85,2022-07-10 23:59:59.999000
4,2.1804,2.554,2.0,2.2375,6550229.45,2022-07-17 23:59:59.999000
