,Open,High,Low,Close,Volume,Close time
0,2.81,3.89,1.194,1.468,36181574.42,2022-05-15 23:59:59.999
1,1.47,1.639,1.266,1.32,6532238.46,2022-05-22 23:59:59.999
2,1.32,1.446,0.933,1.174,27108594.94,2022-05-29 23:59:59.999
3,1.174,1.261,0.98,1.033,7405345.2,2022-06-05 23:59:59.999
0,1.034,1.107,0.785,0.801,4379648.5,2022-06-12 23:59:59.999000
0,0.801,1.072,0.4,0.517,27834897.68,2022-06-19 23:59:59.999000
1,0.517,0.786,0.45,0.62,44524467.74,2022-06-26 23:59:59.999000
2,0.62,0.637,0.433,0.506,21300274.94,2022-07-03 23:59:59.999000
3,0.505,0.879,0.47,0.64,51400676.04,2022-07-10 23:59:59.999000
4,0.64,1.865,0.583,1.633,117230967.38,2022-07-17 23:59:59.999000
