,Open,High,Low,Close,Volume,Close time
0,0.5355,0.5355,0.459,0.4834,5152746.01,2019-01-20 23:59:59.999
1,0.4839,0.5656,0.4229,0.4303,10296472.88,2019-01-27 23:59:59.999
2,0.431,0.4638,0.3504,0.3963,17103877.02,2019-02-03 23:59:59.999
3,0.3959,0.4844,0.3867,0.4499,10017516.64,2019-02-10 23:59:59.999
4,0.4495,0.4797,0.4176,0.4604,7093184.89,2019-02-17 23:59:59.999
5,0.4615,0.4823,0.3975,0.405,9560505.14,2019-02-24 23:59:59.999
6,0.4047,0.4749,0.4007,0.4205,6592754.22,2019-03-03 23:59:59.999
7,0.4203,0.546,0.3929,0.4981,12365613.39,2019-03-10 23:59:59.999
8,0.4982,0.5181,0.4382,0.4785,11420920.26,2019-03-17 23:59:59.999
9,0.4789,0.4899,0.4342,0.4531,5067199.5,2019-03-24 23:59:59.999
10,0.4539,0.541,0.441,0.5084,9967677.74,2019-03-31 23:59:59.999
11,0.5084,0.6073,0.5007,0.5773,16066248.75,2019-04-07 23:59:59.999
12,0.5776,0.5912,0.453,0.5225,9052672.54,2019-04-14 23:59:59.999
13,0.5259,0.539,0.4752,0.4963,5904637.02,2019-04-21 23:59:59.999
14,0.4963,0.517,0.4264,0.451,5740900.43,2019-04-28 23:59:59.999
15,0.451,0.5238,0.424,0.5058,3930832.62,2019-05-05 23:59:59.999
16,0.5058,0.7484,0.4901,0.6586,16427889.02,2019-05-12 23:59:59.999
17,0.6607,1.05,0.6332,0.9934,30447356.95,2019-05-19 23:59:59.999
18,0.9927,1.474,0.946,1.0828,45877449.79,2019-05-26 23:59:59.999
19,1.0802,1.35,0.9009,1.0155,42896059.05,2019-06-02 23:59:59.999
20,1.0155,1.27,0.8368,1.0595,41570930.07,2019-06-09 23:59:59.999
21,1.0595,1.97,1.0301,1.6621,95475045.37,2019-06-16 23:59:59.999
22,1.6651,2.0776,1.61,1.8169,61196501.24,2019-06-23 23:59:59.999
23,1.8169,4.5826,1.79,3.3885,151650989.58,2019-06-30 23:59:59.999
24,3.3885,3.9914,2.9266,3.275,94072792.6,2019-07-07 23:59:59.999
25,3.275,3.5731,2.6,2.7856,60391225.9,2019-07-14 23:59:59.999
26,2.7792,2.8498,2.0531,2.5319,55501427.66,2019-07-21 23:59:59.999
27,2.5319,2.5857,2.1,2.2156,26639932.76,2019-07-28 23:59:59.999
28,2.2178,2.7342,1.9694,2.5099,38442202.7,2019-08-04 23:59:59.999
29,2.5097,2.6495,2.1306,2.415,29061341.98,2019-08-11 23:59:59.999
30,2.4165,2.6031,2.163,2.5051,24694874.27,2019-08-18 23:59:59.999
31,2.5055,2.6,2.0255,2.078,24279896.09,2019-08-25 23:59:59.999
32,2.0783,2.1788,1.717,1.7686,18553879.08,2019-09-01 23:59:59.999
33,1.7696,1.9424,1.6767,1.8275,21669699.0,2019-09-08 23:59:59.999
34,1.829,1.8731,1.51,1.6104,27062723.79,2019-09-15 23:59:59.999
35,1.611,1.9075,1.545,1.8157,34392612.77,2019-09-22 23:59:59.999
36,1.8149,2.0657,1.4612,1.7002,45049517.26,2019-09-29 23:59:59.999
37,1.7004,2.2659,1.6404,2.1669,35895591.91,2019-10-06 23:59:59.999
38,2.1669,2.95,2.0971,2.486,89160733.14,2019-10-13 23:59:59.999
39,2.485,2.6741,2.182,2.4444,50770025.73,2019-10-20 23:59:59.999
40,2.4443,3.0063,2.3717,2.6646,79723113.2,2019-10-27 23:59:59.999
41,2.6707,2.8859,2.5107,2.6605,26919966.17,2019-11-03 23:59:59.999
42,2.6594,2.8497,2.6022,2.777,21183749.06,2019-11-10 23:59:59.999
43,2.7773,3.16,2.6655,2.91,27759112.11,2019-11-17 23:59:59.999
44,2.91,2.961,2.1,2.2216,36315905.89,2019-11-24 23:59:59.999
45,2.2218,2.3976,2.02,2.1638,38938003.5,2019-12-01 23:59:59.999
46,2.1634,2.1891,1.9583,2.0528,27682897.3,2019-12-08 23:59:59.999
47,2.052,2.3042,1.9606,2.0708,29484542.63,2019-12-15 23:59:59.999
48,2.0722,2.0873,1.5996,1.9181,32089757.54,2019-12-22 23:59:59.999
49,1.9167,1.9604,1.76,1.8976,14465349.63,2019-12-29 23:59:59.999
50,1.898,1.898,1.7013,1.7957,9874082.08,2020-01-05 23:59:59.999
51,1.7954,2.3495,1.7925,2.2383,38507527.04,2020-01-12 23:59:59.999
52,2.2382,2.86,2.1561,2.6212,43774433.88,2020-01-19 23:59:59.999
53,2.6207,2.7443,2.3638,2.5764,21811771.75,2020-01-26 23:59:59.999
54,2.5764,2.9482,2.5656,2.8267,27680956.13,2020-02-02 23:59:59.999
55,2.8225,3.4984,2.6751,3.4945,47303014.28,2020-02-09 23:59:59.999
56,3.4927,4.8671,3.2806,4.4566,88593905.72,2020-02-16 23:59:59.999
57,4.4563,4.8355,3.8449,4.2365,72961722.41,2020-02-23 23:59:59.999
58,4.2366,4.3535,3.3113,3.859,108025192.02,2020-03-01 23:59:59.999
59,3.8622,4.9762,3.8173,4.0537,94538006.88,2020-03-08 23:59:59.999
