,Open,High,Low,Close,Volume,Close time
0,10.0,12.25,8.8,10.6,346274.58,2020-07-19 23:59:59.999
1,10.63,14.83,10.04,11.72,710782.15,2020-07-26 23:59:59.999
2,11.85,16.88,6.47,6.99,1907550.55,2020-08-02 23:59:59.999
3,6.96,7.24,1.37,1.54,20916004.48,2020-08-09 23:59:59.999
4,1.54,1.92,0.264,0.343,152054314.72,2020-08-16 23:59:59.999
5,0.343,0.729,0.297,0.419,293140698.94,2020-08-23 23:59:59.999
6,0.42,0.57,0.245,0.302,300471835.07,2020-08-30 23:59:59.999
7,0.301,1.08,0.278,0.427,340630575.1,2020-09-06 23:59:59.999
8,0.427,0.545,0.377,0.46,164667331.2,2020-09-13 23:59:59.999
9,0.459,0.73,0.432,0.704,83749574.15,2020-09-20 23:59:59.999
10,0.706,1.199,0.39,0.435,158574859.89,2020-09-27 23:59:59.999
11,0.435,0.654,0.406,0.573,141157184.58,2020-10-04 23:59:59.999
12,0.575,0.718,0.366,0.382,127396506.74,2020-10-11 23:59:59.999
13,0.383,0.413,0.307,0.36,163366437.63,2020-10-18 23:59:59.999
14,0.358,0.437,0.213,0.249,214249813.95,2020-10-25 23:59:59.999
15,0.249,0.342,0.233,0.286,235120107.42,2020-11-01 23:59:59.999
16,0.285,0.412,0.153,0.169,325136632.76,2020-11-08 23:59:59.999
17,0.169,0.192,0.143,0.186,286780553.45,2020-11-15 23:59:59.999
18,0.186,0.188,0.086,0.102,364827670.36,2020-11-22 23:59:59.999
19,0.102,0.16,0.078,0.106,508083703.25,2020-11-29 23:59:59.999
20,0.105,0.1087,0.0792,0.0955,322870757.53,2020-12-06 23:59:59.999
21,0.0956,0.1282,0.085,0.0914,255450121.14,2020-12-13 23:59:59.999
22,0.0916,0.1045,0.0628,0.0789,345926251.55,2020-12-20 23:59:59.999
23,0.0789,0.1651,0.0443,0.0522,597070486.78,2020-12-27 23:59:59.999
24,0.0521,0.061,0.032,0.0336,565522325.57,2021-01-03 23:59:59.999
25,0.0336,0.0341,0.0117,0.0155,1114304026.68,2021-01-10 23:59:59.999
26,0.0155,0.0242,0.003402,0.003565,4514826240.01,2021-01-17 23:59:59.999
27,0.003617,0.007057,0.002702,0.002849,8339924081.48,2021-01-24 23:59:59.999
28,0.002846,0.00432,0.00249,0.002929,6735750945.3,2021-01-31 23:59:59.999
29,0.002946,0.003144,0.001936,0.002434,3681962339.15,2021-02-07 23:59:59.999
30,0.002435,0.002613,0.000913,0.001062,17336342211.82,2021-02-14 23:59:59.999
31,0.001061,0.00145,0.000714,0.000876,10401081541.72,2021-02-21 23:59:59.999
32,0.00088,0.002098,0.000826,0.001275,20842905836.55,2021-02-28 23:59:59.999
33,0.001272,0.00129,0.000676,0.000757,34669154472.11,2021-03-07 23:59:59.999
34,0.00076,0.000886,0.000524,0.000752,69320539880.59,2021-03-14 23:59:59.999
35,0.000754,0.000948,0.000561,0.000662,36495912474.79,2021-03-21 23:59:59.999
36,0.000665,0.000985,0.000656,0.000801,14994089972.42,2021-03-28 23:59:59.999
37,0.0008,0.000861,0.00047,0.000559,20631536675.43,2021-04-04 23:59:59.999
38,0.00056,8.99,0.000415,4.66555,6158298682.41,2021-04-11 23:59:59.999
39,4.667647,5.496416,2.235428,2.356905,5194358.67,2021-04-18 23:59:59.999
40,2.357003,3.306956,1.575,2.4999,8624325.88,2021-04-25 23:59:59.999
41,2.4744,2.5386,1.1577,1.3421,6139053.26,2021-05-02 23:59:59.999
