,Open,High,Low,Close,Volume,Close time
0,8.75,10.8,7.32,8.47,303357.38,2020-07-19 23:59:59.999
1,8.5,8.67,5.35,6.17,1339705.94,2020-07-26 23:59:59.999
2,6.13,7.9,4.03,6.69,3652542.56,2020-08-02 23:59:59.999
3,6.73,23.88,6.45,21.19,2313964.35,2020-08-09 23:59:59.999
4,21.19,38.5,16.05,33.5,1193785.02,2020-08-16 23:59:59.999
5,33.795,36.98,16.592,21.17,1520483.84,2020-08-23 23:59:59.999
6,21.233,27.2,17.501,23.767,1257023.88,2020-08-30 23:59:59.999
7,23.865,24.986,7.0,15.333,3775449.0,2020-09-06 23:59:59.999
8,15.333,16.34,11.01,13.01,2368933.59,2020-09-13 23:59:59.999
9,12.986,13.806,7.533,7.948,2482858.98,2020-09-20 23:59:59.999
10,7.958,10.341,4.58,9.54,7511481.49,2020-09-27 23:59:59.999
11,9.56,10.06,6.15,6.893,4369922.53,2020-10-04 23:59:59.999
12,6.871,9.134,5.55,8.82,3752298.72,2020-10-11 23:59:59.999
13,8.816,10.442,8.05,9.034,2476046.5,2020-10-18 23:59:59.999
14,9.04,12.192,7.187,10.88,2834459.56,2020-10-25 23:59:59.999
15,10.836,11.499,8.636,9.966,2655221.47,2020-11-01 23:59:59.999
16,9.978,13.324,7.213,11.529,4489293.0,2020-11-08 23:59:59.999
17,11.493,13.2,9.9,10.358,2216433.84,2020-11-15 23:59:59.999
18,10.33,16.714,10.151,14.334,2402048.88,2020-11-22 23:59:59.999
19,14.363,17.806,7.607,11.3,2705965.75,2020-11-29 23:59:59.999
20,11.362,14.078,9.525,11.28,1823056.13,2020-12-06 23:59:59.999
21,11.28,11.348,7.631,10.122,2001174.68,2020-12-13 23:59:59.999
22,10.113,12.727,9.035,10.096,2182414.63,2020-12-20 23:59:59.999
23,10.067,10.4,2.5,6.763,5364103.88,2020-12-27 23:59:59.999
24,6.77,8.547,5.455,8.2,3447194.46,2021-01-03 23:59:59.999
25,8.2,11.9,5.704,9.246,5810559.94,2021-01-10 23:59:59.999
26,9.246,19.341,5.037,18.31,9444246.61,2021-01-17 23:59:59.999
27,18.461,20.947,7.112,19.5,9171953.95,2021-01-24 23:59:59.999
28,19.5,21.5,12.831,15.784,3711570.57,2021-01-31 23:59:59.999
29,15.784,21.5,14.39,17.725,3888537.76,2021-02-07 23:59:59.999
30,17.661,33.398,16.444,28.033,3205269.18,2021-02-14 23:59:59.999
31,28.157,32.463,16.511,27.45,2188643.12,2021-02-21 23:59:59.999
32,27.48,27.57,6.982,10.473,4301766.05,2021-02-28 23:59:59.999
33,10.517,17.2,10.361,14.025,3555200.59,2021-03-07 23:59:59.999
34,14.062,19.865,11.2,12.995,3637304.03,2021-03-14 23:59:59.999
