,Open,High,Low,Close,Volume,Close time
0,0.16,3.84,0.16,1.7428,165749744.9,2022-01-23 23:59:59.999
1,1.7428,2.22,1.3855,1.7005,65191093.8,2022-01-30 23:59:59.999
2,1.7006,3.0377,1.6102,2.5056,65920270.4,2022-02-06 23:59:59.999
3,2.5056,2.77,1.799,1.9826,46158369.9,2022-02-13 23:59:59.999
4,1.9825,2.35,1.6606,1.6945,27538232.0,2022-02-20 23:59:59.999
5,1.6947,1.9767,1.4796,1.7691,35192372.7,2022-02-27 23:59:59.999
6,1.7678,2.1234,1.695,1.7001,26002004.5,2022-03-06 23:59:59.999
7,1.7024,2.59,1.51,1.8314,88218607.7,2022-03-13 23:59:59.999
8,1.8316,2.9139,1.6568,2.7566,78524085.4,2022-03-20 23:59:59.999
9,2.76,3.2445,2.2406,2.3519,62474223.6,2022-03-27 23:59:59.999
10,2.352,5.5,2.319,4.0131,247782780.3,2022-04-03 23:59:59.999
11,4.0131,4.06,2.9589,3.2867,63874123.9,2022-04-10 23:59:59.999
12,3.2868,3.3235,2.5981,2.7501,39155167.8,2022-04-17 23:59:59.999
13,2.751,3.5068,2.5727,2.6781,55925328.8,2022-04-24 23:59:59.999
14,2.6778,3.18,2.1857,2.708,67556195.1,2022-05-01 23:59:59.999
15,2.7089,3.2,2.444,2.6008,48446677.7,2022-05-08 23:59:59.999
16,2.6006,2.8549,0.7629,1.2371,107413430.6,2022-05-15 23:59:59.999
17,1.2376,1.4499,0.95,1.2421,86879764.5,2022-05-22 23:59:59.999
18,1.2408,1.5199,1.0972,1.2995,79547426.4,2022-05-29 23:59:59.999
19,1.2986,1.4269,0.9966,1.0164,34129584.3,2022-06-05 23:59:59.999
0,1.0156,1.0793,0.61,0.6112,64805480.5,2022-06-12 23:59:59.999000
