,Open,High,Low,Close,Volume,Close time
0,31.14,33.95,21.77,23.41,781698.97,2021-05-30 23:59:59.999
1,23.4,32.86,22.38,25.58,1127795.87,2021-06-06 23:59:59.999
2,25.59,28.33,23.83,27.19,1037369.07,2021-06-13 23:59:59.999
3,27.2,28.0,24.06,25.22,548505.74,2021-06-20 23:59:59.999
4,25.21,31.62,17.8,20.15,5158302.52,2021-06-27 23:59:59.999
5,20.21,22.97,16.93,18.15,726654.48,2021-07-04 23:59:59.999
6,18.16,18.22,15.38,15.61,519353.46,2021-07-11 23:59:59.999
7,15.61,17.17,12.13,12.91,1452668.08,2021-07-18 23:59:59.999
8,12.92,13.04,10.68,12.29,891804.37,2021-07-25 23:59:59.999
9,12.3,22.5,12.15,16.86,5137438.26,2021-08-01 23:59:59.999
10,16.84,21.88,15.48,18.23,2163005.26,2021-08-08 23:59:59.999
11,18.24,20.87,17.56,20.02,1689326.55,2021-08-15 23:59:59.999
12,20.02,24.43,17.49,21.77,1717271.28,2021-08-22 23:59:59.999
13,21.78,22.56,17.97,20.65,850672.8,2021-08-29 23:59:59.999
14,20.65,22.0,19.06,21.95,1023685.98,2021-09-05 23:59:59.999
15,21.94,24.8,16.72,18.63,3846161.76,2021-09-12 23:59:59.999
16,18.65,19.78,17.0,18.13,613895.82,2021-09-19 23:59:59.999
17,18.14,24.91,15.4,16.97,2321114.37,2021-09-26 23:59:59.999
18,16.97,18.92,15.9,17.57,1529908.08,2021-10-03 23:59:59.999
19,17.53,19.4,16.98,17.79,829409.75,2021-10-10 23:59:59.999
20,17.78,33.54,16.28,20.25,4533400.69,2021-10-17 23:59:59.999
21,20.25,36.5,19.75,23.3,7690584.61,2021-10-24 23:59:59.999
22,23.29,35.01,22.31,28.29,2446687.78,2021-10-31 23:59:59.999
23,28.26,39.56,25.88,36.13,2105513.02,2021-11-07 23:59:59.999
24,36.12,101.8,34.85,64.71,14087413.64,2021-11-14 23:59:59.999
25,64.63,73.2,45.83,50.0,3428522.47,2021-11-21 23:59:59.999
26,50.07,70.2,45.07,58.03,4056162.58,2021-11-28 23:59:59.999
27,58.06,59.96,31.65,41.49,2183200.86,2021-12-05 23:59:59.999
28,41.51,44.26,34.98,38.72,946301.96,2021-12-12 23:59:59.999
29,38.67,39.9,31.1,35.12,1097813.92,2021-12-19 23:59:59.999
30,35.12,48.0,32.32,43.51,1195144.62,2021-12-26 23:59:59.999
31,43.5,57.27,38.01,40.7,1738627.29,2022-01-02 23:59:59.999
32,40.68,52.16,33.78,37.06,2324713.42,2022-01-09 23:59:59.999
33,37.1,39.4,32.19,36.32,754264.53,2022-01-16 23:59:59.999
34,36.32,36.53,20.7,24.42,1015665.32,2022-01-23 23:59:59.999
35,24.37,27.54,20.36,26.27,776582.75,2022-01-30 23:59:59.999
36,26.26,31.36,24.91,31.28,896101.8,2022-02-06 23:59:59.999
37,31.31,36.4,25.57,25.85,1588660.81,2022-02-13 23:59:59.999
38,25.92,29.39,23.3,23.7,817937.6,2022-02-20 23:59:59.999
39,23.7,26.0,18.8,23.98,1150230.65,2022-02-27 23:59:59.999
40,23.98,28.5,21.98,22.08,865759.41,2022-03-06 23:59:59.999
41,22.06,25.4,21.39,22.25,674824.47,2022-03-13 23:59:59.999
42,22.2,28.3,22.03,26.26,804573.95,2022-03-20 23:59:59.999
43,26.3,29.49,25.54,29.15,789787.67,2022-03-27 23:59:59.999
44,29.13,32.18,26.33,29.58,1283454.71,2022-04-03 23:59:59.999
45,29.6,29.6,23.45,24.14,983279.63,2022-04-10 23:59:59.999
46,24.17,24.91,22.05,22.19,605223.76,2022-04-17 23:59:59.999
47,22.2,29.2,21.45,26.14,2011600.65,2022-04-24 23:59:59.999
48,26.12,26.95,21.75,23.06,1105722.34,2022-05-01 23:59:59.999
49,23.03,25.19,19.9,20.27,1439688.93,2022-05-08 23:59:59.999
50,20.27,20.57,11.61,15.79,2042786.84,2022-05-15 23:59:59.999
51,15.81,16.14,13.22,15.38,1221992.29,2022-05-22 23:59:59.999
52,15.3,15.84,11.6,12.71,740894.68,2022-05-29 23:59:59.999
53,12.71,13.77,11.52,12.38,556073.35,2022-06-05 23:59:59.999
0,12.37,13.11,9.32,9.36,903462.07,2022-06-12 23:59:59.999000
0,9.35,9.6,6.45,7.58,1398160.59,2022-06-19 23:59:59.999000
1,7.57,11.01,7.17,9.1,1599138.64,2022-06-26 23:59:59.999000
2,9.1,10.79,8.01,8.2,1990853.45,2022-07-03 23:59:59.999000
3,8.22,9.63,7.94,9.17,822129.38,2022-07-10 23:59:59.999000
4,9.16,9.24,7.5,9.08,758798.23,2022-07-17 23:59:59.999000
