,Open,High,Low,Close,Volume,Close time
0,1.39,2.222,1.3004,2.0314,2059942.35,2020-02-09 23:59:59.999
1,2.0291,2.88,1.6976,1.8751,6968868.36,2020-02-16 23:59:59.999
2,1.8728,1.888,1.3821,1.6197,1725565.04,2020-02-23 23:59:59.999
3,1.6157,1.6443,1.1465,1.3578,3324122.1,2020-03-01 23:59:59.999
4,1.3575,1.525,1.1371,1.1407,1898202.69,2020-03-08 23:59:59.999
5,1.152,1.293,0.5104,0.8522,2537924.84,2020-03-15 23:59:59.999
6,0.8522,1.2302,0.7,0.9545,3025538.27,2020-03-22 23:59:59.999
7,0.9499,1.0751,0.8939,0.9016,799839.06,2020-03-29 23:59:59.999
8,0.9028,1.0395,0.9001,0.9787,610969.24,2020-04-05 23:59:59.999
9,0.9787,1.1128,0.9439,0.9811,736592.99,2020-04-12 23:59:59.999
10,0.9811,1.22,0.9368,1.0389,1200386.37,2020-04-19 23:59:59.999
11,1.0389,1.0725,0.9277,1.0688,988390.98,2020-04-26 23:59:59.999
12,1.0688,1.381,1.047,1.2345,2509461.9,2020-05-03 23:59:59.999
13,1.2258,1.26,1.03,1.0821,710259.55,2020-05-10 23:59:59.999
14,1.0756,1.1793,1.0,1.1319,585157.94,2020-05-17 23:59:59.999
15,1.1334,1.3218,1.0673,1.1585,1085290.61,2020-05-24 23:59:59.999
16,1.1558,1.255,1.1467,1.2,992610.6,2020-05-31 23:59:59.999
17,1.1996,1.4388,1.1716,1.3105,2189512.15,2020-06-07 23:59:59.999
18,1.3109,1.3484,1.1459,1.2005,1420462.36,2020-06-14 23:59:59.999
19,1.1992,1.2762,1.1,1.2188,672433.82,2020-06-21 23:59:59.999
20,1.2209,1.2801,1.0807,1.1251,623421.32,2020-06-28 23:59:59.999
21,1.1256,1.1646,1.0767,1.1071,376164.78,2020-07-05 23:59:59.999
22,1.1062,1.275,0.6166,1.2504,1299274.72,2020-07-12 23:59:59.999
23,1.2524,1.3188,1.1398,1.2242,1401033.71,2020-07-19 23:59:59.999
24,1.2239,1.3127,1.21,1.2673,1468912.83,2020-07-26 23:59:59.999
25,1.2673,1.3593,1.045,1.2447,1677933.54,2020-08-02 23:59:59.999
26,1.2411,1.6045,1.2351,1.5298,4322267.29,2020-08-09 23:59:59.999
27,1.5353,1.8423,1.3789,1.8063,7806441.52,2020-08-16 23:59:59.999
28,1.8078,2.15,1.4857,1.8683,8739307.76,2020-08-23 23:59:59.999
29,1.8683,1.9577,1.5,1.7939,3791785.52,2020-08-30 23:59:59.999
30,1.7939,1.9723,1.2414,1.37,4288814.37,2020-09-06 23:59:59.999
31,1.37,1.4967,1.2508,1.4088,1958270.7,2020-09-13 23:59:59.999
32,1.4034,1.5026,1.3151,1.3407,1564374.44,2020-09-20 23:59:59.999
33,1.3322,1.45,1.05,1.2111,1744767.82,2020-09-27 23:59:59.999
34,1.2119,1.236,1.0674,1.1295,878661.05,2020-10-04 23:59:59.999
35,1.1292,1.2115,1.019,1.1787,1007109.04,2020-10-11 23:59:59.999
36,1.178,1.1818,1.0487,1.1041,747860.09,2020-10-18 23:59:59.999
37,1.1082,1.1437,1.0556,1.1317,881218.13,2020-10-25 23:59:59.999
38,1.126,1.1388,1.0084,1.0301,657691.14,2020-11-01 23:59:59.999
39,1.0301,1.2,0.9261,1.1129,1410946.51,2020-11-08 23:59:59.999
40,1.11,1.2,1.0498,1.0742,735101.32,2020-11-15 23:59:59.999
41,1.0725,1.3441,1.0506,1.2347,2446299.57,2020-11-22 23:59:59.999
42,1.2363,1.665,1.15,1.2799,4243311.43,2020-11-29 23:59:59.999
43,1.2799,1.5098,1.2212,1.3398,2651562.37,2020-12-06 23:59:59.999
44,1.3399,1.4232,1.1572,1.2667,1667195.79,2020-12-13 23:59:59.999
45,1.2571,1.5003,1.24,1.3535,2461218.56,2020-12-20 23:59:59.999
46,1.3535,1.4025,1.0748,1.1906,1957479.23,2020-12-27 23:59:59.999
47,1.1936,1.2552,1.05,1.244,1954509.73,2021-01-03 23:59:59.999
48,1.248,1.6299,1.11,1.4305,9141371.88,2021-01-10 23:59:59.999
49,1.4303,1.4395,1.1528,1.3947,5483320.3,2021-01-17 23:59:59.999
50,1.3993,1.53,1.1826,1.3576,7575940.21,2021-01-24 23:59:59.999
51,1.3576,1.4135,1.1818,1.3222,5088762.16,2021-01-31 23:59:59.999
52,1.3223,1.81,1.2671,1.5638,13370555.59,2021-02-07 23:59:59.999
53,1.5636,4.7,1.5,3.825,51274012.98,2021-02-14 23:59:59.999
54,3.825,4.3899,2.7777,3.8489,21327108.55,2021-02-21 23:59:59.999
55,3.8489,4.3195,2.1562,2.9052,24619482.12,2021-02-28 23:59:59.999
56,2.9045,3.6881,2.8,3.2528,9242436.64,2021-03-07 23:59:59.999
57,3.2556,3.7,2.984,3.42,10608850.98,2021-03-14 23:59:59.999
58,3.4303,4.6208,3.0474,3.9009,15350900.92,2021-03-21 23:59:59.999
59,3.8997,5.7,3.7515,4.8702,26702219.9,2021-03-28 23:59:59.999
60,4.8703,6.7049,4.6863,6.319,15520458.63,2021-04-04 23:59:59.999
61,6.3189,7.5259,5.3801,6.8186,13154694.74,2021-04-11 23:59:59.999
62,6.8182,7.3643,4.9417,5.6983,12408398.78,2021-04-18 23:59:59.999
63,5.6983,5.87,3.1418,3.835,16363931.84,2021-04-25 23:59:59.999
64,3.835,6.0299,3.7775,5.652,16596051.62,2021-05-02 23:59:59.999
65,5.6574,11.5,5.2289,8.2552,66370790.24,2021-05-09 23:59:59.999
66,8.2741,11.0,5.8918,6.319,37995447.24,2021-05-16 23:59:59.999
