,Open,High,Low,Close,Volume,Close time
0,0.05644,0.15199,0.05644,0.08015,303395167.5,2020-02-09 23:59:59.999
1,0.08015,0.08993,0.06003,0.06421,173268775.4,2020-02-16 23:59:59.999
2,0.06411,0.07235,0.05737,0.06366,45020687.4,2020-02-23 23:59:59.999
3,0.06366,0.06383,0.03632,0.04248,41681772.9,2020-03-01 23:59:59.999
4,0.04227,0.08474,0.04178,0.06265,171271440.2,2020-03-08 23:59:59.999
5,0.06265,0.07799,0.02001,0.0303,148781258.9,2020-03-15 23:59:59.999
6,0.02975,0.03556,0.02105,0.02591,68395644.6,2020-03-22 23:59:59.999
7,0.0255,0.0383,0.02487,0.02808,52018292.5,2020-03-29 23:59:59.999
8,0.02825,0.04125,0.02804,0.0356,54536036.9,2020-04-05 23:59:59.999
9,0.03557,0.04346,0.03432,0.03703,58145969.6,2020-04-12 23:59:59.999
10,0.03703,0.04798,0.03468,0.04332,51586255.7,2020-04-19 23:59:59.999
11,0.04332,0.04457,0.03786,0.0421,55670883.0,2020-04-26 23:59:59.999
12,0.04241,0.04644,0.03947,0.04318,48907165.7,2020-05-03 23:59:59.999
13,0.04319,0.04398,0.03432,0.03755,29256887.1,2020-05-10 23:59:59.999
14,0.03755,0.0409,0.03339,0.03652,38095847.1,2020-05-17 23:59:59.999
15,0.03682,0.04175,0.03516,0.03828,29698176.6,2020-05-24 23:59:59.999
16,0.03828,0.04736,0.03765,0.03964,59031578.6,2020-05-31 23:59:59.999
17,0.03964,0.0569,0.0395,0.05012,120114144.8,2020-06-07 23:59:59.999
18,0.05041,0.05947,0.04505,0.04889,63898531.0,2020-06-14 23:59:59.999
19,0.04843,0.05561,0.04452,0.05302,50009541.1,2020-06-21 23:59:59.999
20,0.05333,0.06643,0.04633,0.05047,75052744.0,2020-06-28 23:59:59.999
21,0.05047,0.05786,0.04732,0.05419,52580866.1,2020-07-05 23:59:59.999
22,0.0542,0.07652,0.0523,0.07066,95616506.4,2020-07-12 23:59:59.999
23,0.07032,0.0723,0.06,0.06763,59953482.3,2020-07-19 23:59:59.999
24,0.06763,0.08598,0.06609,0.07112,89362493.4,2020-07-26 23:59:59.999
25,0.07113,0.07427,0.05647,0.06352,64150960.0,2020-08-02 23:59:59.999
26,0.06334,0.0875,0.0631,0.08525,97111717.3,2020-08-09 23:59:59.999
27,0.08534,0.08566,0.07269,0.08478,79660895.3,2020-08-16 23:59:59.999
28,0.08478,0.107,0.0776,0.08441,96940150.4,2020-08-23 23:59:59.999
29,0.08395,0.118,0.078,0.10352,76710369.6,2020-08-30 23:59:59.999
30,0.10366,0.12996,0.0885,0.09871,86862742.5,2020-09-06 23:59:59.999
31,0.09875,0.1067,0.07895,0.08256,60346152.3,2020-09-13 23:59:59.999
32,0.08261,0.08461,0.068,0.07044,43295734.9,2020-09-20 23:59:59.999
33,0.07034,0.0746,0.05265,0.07355,45345835.5,2020-09-27 23:59:59.999
34,0.07351,0.07645,0.06453,0.0696,39955428.6,2020-10-04 23:59:59.999
35,0.0696,0.07079,0.05567,0.06811,36710976.7,2020-10-11 23:59:59.999
36,0.06796,0.07014,0.0616,0.06541,20505038.6,2020-10-18 23:59:59.999
37,0.06542,0.0678,0.06006,0.06409,23132890.0,2020-10-25 23:59:59.999
38,0.06409,0.06559,0.05217,0.06054,15884031.3,2020-11-01 23:59:59.999
39,0.06068,0.0764,0.052,0.07294,23603483.1,2020-11-08 23:59:59.999
40,0.07292,0.08137,0.06885,0.07449,27078182.6,2020-11-15 23:59:59.999
41,0.07447,0.1099,0.07359,0.10926,50033895.1,2020-11-22 23:59:59.999
42,0.10897,0.16887,0.10394,0.15408,95297599.1,2020-11-29 23:59:59.999
43,0.15401,0.17709,0.10304,0.11107,142853577.8,2020-12-06 23:59:59.999
44,0.11097,0.12769,0.09519,0.10583,67346763.7,2020-12-13 23:59:59.999
45,0.10569,0.12564,0.0985,0.10334,81509136.3,2020-12-20 23:59:59.999
46,0.10331,0.1239,0.09045,0.10265,75533363.3,2020-12-27 23:59:59.999
47,0.10265,0.142,0.10157,0.1361,70590897.5,2021-01-03 23:59:59.999
48,0.13682,0.25,0.13609,0.21919,126895650.0,2021-01-10 23:59:59.999
49,0.21903,0.221,0.157,0.2121,64666591.1,2021-01-17 23:59:59.999
50,0.21253,0.27662,0.185,0.23287,242181033.9,2021-01-24 23:59:59.999
51,0.23416,0.24475,0.186,0.1963,45893913.6,2021-01-31 23:59:59.999
52,0.1962,0.27691,0.1895,0.23743,53375699.0,2021-02-07 23:59:59.999
53,0.23792,0.44659,0.23368,0.37105,77254772.5,2021-02-14 23:59:59.999
54,0.37086,0.42,0.3132,0.37281,65802125.9,2021-02-21 23:59:59.999
55,0.37227,0.3743,0.23398,0.3057,55947975.3,2021-02-28 23:59:59.999
56,0.3059,0.635,0.303,0.55978,118904509.5,2021-03-07 23:59:59.999
57,0.55977,0.6448,0.48577,0.50006,173722455.7,2021-03-14 23:59:59.999
58,0.50001,0.6466,0.45101,0.59311,96150864.4,2021-03-21 23:59:59.999
