,Open,High,Low,Close,Volume,Close time
0,0.5397,0.5397,0.401,0.4821,17837442.75,2020-08-23 23:59:59.999
1,0.4821,0.57,0.4478,0.5326,18265752.41,2020-08-30 23:59:59.999
2,0.5333,0.535,0.3104,0.3325,23884572.71,2020-09-06 23:59:59.999
3,0.3325,0.3868,0.3001,0.3088,23789374.54,2020-09-13 23:59:59.999
4,0.3087,0.3612,0.3028,0.3094,26956940.74,2020-09-20 23:59:59.999
5,0.3093,0.3411,0.2879,0.3133,12696938.33,2020-09-27 23:59:59.999
6,0.3134,0.3579,0.2894,0.3013,16225712.92,2020-10-04 23:59:59.999
7,0.301,0.338,0.287,0.322,10734551.08,2020-10-11 23:59:59.999
8,0.322,0.3395,0.3074,0.3133,8112179.74,2020-10-18 23:59:59.999
9,0.3133,0.3305,0.3059,0.3081,7539399.96,2020-10-25 23:59:59.999
10,0.3076,0.321,0.298,0.3003,8716004.12,2020-11-01 23:59:59.999
11,0.3005,0.3133,0.2733,0.3036,8877326.55,2020-11-08 23:59:59.999
12,0.3035,0.336,0.2935,0.3078,20431032.43,2020-11-15 23:59:59.999
13,0.3077,0.38,0.2923,0.3492,29855576.67,2020-11-22 23:59:59.999
14,0.3492,0.4329,0.3382,0.3807,43670774.42,2020-11-29 23:59:59.999
15,0.3802,0.513,0.3802,0.5018,69480475.39,2020-12-06 23:59:59.999
16,0.5019,0.5313,0.4553,0.4803,33681777.73,2020-12-13 23:59:59.999
17,0.4807,0.5446,0.4666,0.4888,38965518.89,2020-12-20 23:59:59.999
18,0.4889,0.5739,0.4467,0.5518,56363699.32,2020-12-27 23:59:59.999
19,0.5518,0.709,0.547,0.6583,65614388.31,2021-01-03 23:59:59.999
20,0.6586,0.9565,0.6294,0.8435,89176013.4,2021-01-10 23:59:59.999
21,0.8436,0.9038,0.6974,0.8074,74849603.85,2021-01-17 23:59:59.999
22,0.8075,1.0031,0.7702,0.9076,65265524.1,2021-01-24 23:59:59.999
23,0.9076,1.71,0.8651,1.458,272757835.53,2021-01-31 23:59:59.999
24,1.4578,3.15,1.416,3.082,218055672.24,2021-02-07 23:59:59.999
25,3.082,8.4448,3.061,5.6367,212810872.18,2021-02-14 23:59:59.999
26,5.6375,7.5358,4.96,6.1207,112695434.85,2021-02-21 23:59:59.999
