,Open,High,Low,Close,Volume,Close time
0,1.969,5.87,1.969,4.35,146973880.6,2021-08-22 23:59:59.999
1,4.362,10.9,3.95,8.957,189189173.7,2021-08-29 23:59:59.999
2,8.965,10.33,6.673,6.807,56013942.4,2021-09-05 23:59:59.999
3,6.804,7.145,4.2,5.294,44698108.7,2021-09-12 23:59:59.999
4,5.294,7.453,4.5,5.413,57993136.1,2021-09-19 23:59:59.999
5,5.41,5.573,3.471,3.92,31587472.6,2021-09-26 23:59:59.999
6,3.919,5.671,3.836,5.246,43916364.4,2021-10-03 23:59:59.999
7,5.245,5.696,4.061,4.078,30837268.1,2021-10-10 23:59:59.999
8,4.078,5.235,4.022,4.189,49686691.4,2021-10-17 23:59:59.999
9,4.189,4.689,4.029,4.094,25304281.9,2021-10-24 23:59:59.999
10,4.095,5.056,3.411,4.289,55105902.8,2021-10-31 23:59:59.999
11,4.284,4.7,3.969,4.19,29009444.9,2021-11-07 23:59:59.999
12,4.186,5.839,3.8,4.942,51912138.6,2021-11-14 23:59:59.999
13,4.938,8.75,4.042,6.656,180999412.1,2021-11-21 23:59:59.999
14,6.669,8.2,5.609,6.38,72993263.6,2021-11-28 23:59:59.999
15,6.381,15.734,6.114,9.241,277594468.7,2021-12-05 23:59:59.999
16,9.238,9.35,5.4,6.141,99316992.0,2021-12-12 23:59:59.999
17,6.138,6.212,4.801,5.108,43572185.4,2021-12-19 23:59:59.999
18,5.104,6.635,4.729,6.121,59201690.2,2021-12-26 23:59:59.999
19,6.122,6.549,5.135,5.275,32614132.0,2022-01-02 23:59:59.999
20,5.269,5.295,3.703,3.957,26339225.3,2022-01-09 23:59:59.999
21,3.952,4.28,3.488,3.876,21682788.9,2022-01-16 23:59:59.999
22,3.872,3.884,2.32,2.698,25337211.6,2022-01-23 23:59:59.999
23,2.696,2.863,2.306,2.7,21751029.1,2022-01-30 23:59:59.999
24,2.698,3.45,2.519,3.22,40077523.4,2022-02-06 23:59:59.999
25,3.22,3.88,2.805,2.842,48691429.6,2022-02-13 23:59:59.999
26,2.845,3.375,2.758,2.881,35179670.3,2022-02-20 23:59:59.999
27,2.882,3.075,2.189,2.352,35555218.3,2022-02-27 23:59:59.999
28,2.352,2.742,1.993,2.032,39865470.5,2022-03-06 23:59:59.999
29,2.034,2.668,1.791,2.089,114735742.7,2022-03-13 23:59:59.999
30,2.088,2.299,1.906,2.094,49322058.8,2022-03-20 23:59:59.999
31,2.094,2.599,2.05,2.571,38428834.0,2022-03-27 23:59:59.999
32,2.571,4.32,2.519,4.116,180451518.8,2022-04-03 23:59:59.999
33,4.116,4.306,2.862,2.873,86814305.1,2022-04-10 23:59:59.999
34,2.873,2.986,2.498,2.588,53293754.5,2022-04-17 23:59:59.999
35,2.589,2.88,2.31,2.339,33875242.6,2022-04-24 23:59:59.999
36,2.34,2.54,1.951,2.101,60263805.5,2022-05-01 23:59:59.999
37,2.101,2.2,1.647,1.684,30117145.3,2022-05-08 23:59:59.999
38,1.685,1.71,0.79,1.075,65305519.2,2022-05-15 23:59:59.999
39,1.075,1.28,0.949,1.081,69174801.5,2022-05-22 23:59:59.999
40,1.08,1.176,0.832,0.916,40650692.6,2022-05-29 23:59:59.999
41,0.916,1.096,0.874,0.907,39962582.9,2022-06-05 23:59:59.999
0,0.907,0.952,0.631,0.655,40505464.7,2022-06-12 23:59:59.999000
0,0.656,0.665,0.472,0.554,45598061.8,2022-06-19 23:59:59.999000
1,0.554,0.707,0.522,0.616,54987322.5,2022-06-26 23:59:59.999000
2,0.617,0.65,0.522,0.564,29098178.0,2022-07-03 23:59:59.999000
3,0.564,0.634,0.552,0.58,27483494.3,2022-07-10 23:59:59.999000
4,0.58,0.619,0.526,0.585,24129486.4,2022-07-17 23:59:59.999000
