,Open,High,Low,Close,Volume,Close time
0,10.36,12.7,5.9,6.23,14713556.17,2021-12-05 23:59:59.999
1,6.23,6.24,4.32,5.12,16212686.09,2021-12-12 23:59:59.999
2,5.12,6.4,4.06,5.86,16662060.17,2021-12-19 23:59:59.999
3,5.85,7.52,5.08,6.31,14889718.98,2021-12-26 23:59:59.999
4,6.3,6.32,4.68,5.25,7307184.46,2022-01-02 23:59:59.999
5,5.25,5.58,3.6,3.83,10165980.13,2022-01-09 23:59:59.999
6,3.83,4.43,3.41,3.9,7357900.32,2022-01-16 23:59:59.999
7,3.89,3.91,2.0,2.26,7776123.98,2022-01-23 23:59:59.999
8,2.25,2.58,1.85,2.41,9307905.57,2022-01-30 23:59:59.999
9,2.41,2.95,2.06,2.86,10069451.18,2022-02-06 23:59:59.999
10,2.87,3.33,2.54,2.64,10647203.19,2022-02-13 23:59:59.999
11,2.63,3.2,2.29,2.34,5571289.68,2022-02-20 23:59:59.999
12,2.34,2.51,1.89,2.13,6142633.17,2022-02-27 23:59:59.999
13,2.13,2.5,2.07,2.08,3059041.71,2022-03-06 23:59:59.999
14,2.09,2.17,1.87,1.88,4697898.51,2022-03-13 23:59:59.999
15,1.88,2.44,1.85,2.24,8497650.72,2022-03-20 23:59:59.999
16,2.23,2.8,2.18,2.65,7535607.66,2022-03-27 23:59:59.999
17,2.65,3.06,2.59,2.94,6535693.01,2022-04-03 23:59:59.999
18,2.94,2.94,2.16,2.25,4523705.37,2022-04-10 23:59:59.999
19,2.25,2.81,1.99,2.09,11648820.91,2022-04-17 23:59:59.999
20,2.1,2.22,1.97,1.97,3274946.83,2022-04-24 23:59:59.999
21,1.98,2.01,1.62,1.7,3170483.51,2022-05-01 23:59:59.999
22,1.69,1.77,1.49,1.49,2371347.92,2022-05-08 23:59:59.999
23,1.5,1.51,0.97,1.1,6264521.01,2022-05-15 23:59:59.999
24,1.1,1.22,1.01,1.14,4090829.15,2022-05-22 23:59:59.999
25,1.14,1.18,0.96,1.03,3103846.46,2022-05-29 23:59:59.999
26,1.03,1.13,0.96,1.03,2586677.45,2022-06-05 23:59:59.999
