,Open,High,Low,Close,Volume,Close time
0,1.6071,2.58,1.6071,2.1349,62637508.36,2021-05-30 23:59:59.999
1,2.1314,2.78,2.0204,2.1432,65416710.66,2021-06-06 23:59:59.999
2,2.141,2.2579,1.811,1.93,22922313.27,2021-06-13 23:59:59.999
3,1.93,2.19,1.9,2.044,37845583.72,2021-06-20 23:59:59.999
4,2.044,2.0821,1.4184,1.5951,52248203.93,2021-06-27 23:59:59.999
5,1.5954,1.7818,1.5488,1.669,64751630.2,2021-07-04 23:59:59.999
6,1.6691,1.7158,1.5932,1.6114,55323406.31,2021-07-11 23:59:59.999
7,1.6116,1.6349,1.4189,1.4341,51219044.27,2021-07-18 23:59:59.999
8,1.4333,1.617,1.0506,1.1996,69375090.41,2021-07-25 23:59:59.999
9,1.1996,1.2786,1.0541,1.0971,65347780.15,2021-08-01 23:59:59.999
10,1.0972,1.4039,1.089,1.29,71009184.68,2021-08-08 23:59:59.999
11,1.29,1.4551,1.2354,1.3818,59391986.91,2021-08-15 23:59:59.999
12,1.3818,1.4978,1.2662,1.3595,65487876.62,2021-08-22 23:59:59.999
13,1.3584,1.72,1.3489,1.451,96210593.88,2021-08-29 23:59:59.999
14,1.453,1.837,1.347,1.766,72534079.98,2021-09-05 23:59:59.999
15,1.766,2.163,1.3,1.829,87455623.35,2021-09-12 23:59:59.999
16,1.827,1.835,1.515,1.525,20592835.1,2021-09-19 23:59:59.999
17,1.526,1.566,0.852,1.086,53843916.66,2021-09-26 23:59:59.999
18,1.085,1.345,1.051,1.256,66823863.4,2021-10-03 23:59:59.999
19,1.257,1.632,1.12,1.542,101478450.7,2021-10-10 23:59:59.999
20,1.542,1.66,1.16,1.176,82972211.9,2021-10-17 23:59:59.999
21,1.177,1.247,1.129,1.131,44127118.0,2021-10-24 23:59:59.999
22,1.131,1.185,0.998,1.01,39380859.1,2021-10-31 23:59:59.999
23,1.009,1.132,0.992,0.998,36576347.4,2021-11-07 23:59:59.999
24,0.998,1.007,0.844,0.887,61517573.65,2021-11-14 23:59:59.999
25,0.886,0.977,0.7,0.773,62706194.18,2021-11-21 23:59:59.999
26,0.773,0.881,0.61,0.655,77151584.2,2021-11-28 23:59:59.999
27,0.654,0.732,0.51,0.516,78952258.5,2021-12-05 23:59:59.999
28,0.517,0.578,0.412,0.499,112292011.2,2021-12-12 23:59:59.999
29,0.499,0.499,0.351,0.369,147155920.0,2021-12-19 23:59:59.999
30,0.368,0.487,0.35,0.416,109072087.9,2021-12-26 23:59:59.999
31,0.416,0.437,0.36,0.394,72546743.2,2022-01-02 23:59:59.999
32,0.395,0.403,0.306,0.321,53753545.0,2022-01-09 23:59:59.999
33,0.32,0.352,0.3,0.313,57094310.1,2022-01-16 23:59:59.999
34,0.313,0.327,0.221,0.266,99596141.0,2022-01-23 23:59:59.999
35,0.265,0.266,0.221,0.225,40946895.4,2022-01-30 23:59:59.999
36,0.224,0.27,0.22,0.249,51571797.5,2022-02-06 23:59:59.999
37,0.25,0.337,0.242,0.245,117513547.2,2022-02-13 23:59:59.999
38,0.245,0.297,0.227,0.258,110845343.2,2022-02-20 23:59:59.999
39,0.258,0.275,0.2,0.21,83968203.2,2022-02-27 23:59:59.999
40,0.21,0.24,0.205,0.216,56893063.1,2022-03-06 23:59:59.999
41,0.216,0.248,0.205,0.22,41196163.8,2022-03-13 23:59:59.999
42,0.219,0.259,0.212,0.237,109335089.2,2022-03-20 23:59:59.999
43,0.237,0.269,0.231,0.267,65563972.1,2022-03-27 23:59:59.999
44,0.267,0.345,0.252,0.3,188206787.3,2022-04-03 23:59:59.999
45,0.3,0.301,0.234,0.235,69144300.5,2022-04-10 23:59:59.999
46,0.235,0.236,0.209,0.223,51138915.8,2022-04-17 23:59:59.999
47,0.223,0.262,0.208,0.215,84035474.7,2022-04-24 23:59:59.999
48,0.215,0.215,0.169,0.175,58187225.7,2022-05-01 23:59:59.999
49,0.1748,0.189,0.15,0.1543,68184257.5,2022-05-08 23:59:59.999
50,0.1543,0.1559,0.0818,0.1051,127451212.4,2022-05-15 23:59:59.999
51,0.105,0.1199,0.0919,0.0963,58841418.8,2022-05-22 23:59:59.999
52,0.0963,0.1449,0.0937,0.0988,169501359.0,2022-05-29 23:59:59.999
53,0.0988,0.1062,0.0951,0.0986,31897811.2,2022-06-05 23:59:59.999
0,0.0986,0.1038,0.083,0.0848,63773331.7,2022-06-12 23:59:59.999000
