,Open,High,Low,Close,Volume,Close time
0,83.01,166.68,78.14,90.53,960625.13,2021-07-11 23:59:59.999
1,90.74,92.0,74.48,76.2,134197.26,2021-07-18 23:59:59.999
2,76.23,79.39,63.0,74.87,106308.69,2021-07-25 23:59:59.999
3,74.55,98.54,68.33,83.56,133855.45,2021-08-01 23:59:59.999
4,82.93,130.61,78.27,90.15,1218150.83,2021-08-08 23:59:59.999
5,90.26,102.23,87.7,95.9,186673.45,2021-08-15 23:59:59.999
6,95.9,101.84,85.91,94.17,72682.69,2021-08-22 23:59:59.999
7,94.29,177.0,90.1,117.6,1306914.068,2021-08-29 23:59:59.999
8,117.5,122.9,107.1,114.3,175184.068,2021-09-05 23:59:59.999
9,114.2,129.4,90.0,108.9,181065.82,2021-09-12 23:59:59.999
10,108.9,154.0,99.7,123.5,383384.416,2021-09-19 23:59:59.999
11,123.5,234.8,98.8,161.8,1761122.57,2021-09-26 23:59:59.999
12,161.3,170.0,130.7,139.7,272061.724,2021-10-03 23:59:59.999
13,139.7,147.1,127.3,130.4,152612.918,2021-10-10 23:59:59.999
14,130.3,178.7,125.2,132.8,245616.682,2021-10-17 23:59:59.999
15,132.9,168.4,131.3,135.7,302687.881,2021-10-24 23:59:59.999
16,135.7,144.0,127.0,131.2,81545.106,2021-10-31 23:59:59.999
17,131.3,142.7,130.2,133.1,71424.414,2021-11-07 23:59:59.999
18,133.4,148.0,125.3,129.0,64813.882,2021-11-14 23:59:59.999
19,129.0,132.0,103.2,114.8,85238.311,2021-11-21 23:59:59.999
20,114.6,114.7,96.8,103.2,55498.274,2021-11-28 23:59:59.999
21,103.4,120.0,83.8,97.3,180408.808,2021-12-05 23:59:59.999
22,97.4,103.9,80.4,86.7,289759.808,2021-12-12 23:59:59.999
23,86.5,114.4,80.4,82.9,277464.564,2021-12-19 23:59:59.999
24,82.9,87.0,76.8,87.0,48233.967,2021-12-26 23:59:59.999
25,86.9,131.9,84.7,96.2,914258.618,2022-01-02 23:59:59.999
26,96.1,98.2,73.0,75.7,113184.41,2022-01-09 23:59:59.999
27,75.7,86.0,70.1,76.8,95041.525,2022-01-16 23:59:59.999
28,76.8,83.0,51.9,56.3,111090.729,2022-01-23 23:59:59.999
29,56.1,62.2,49.9,55.9,121809.478,2022-01-30 23:59:59.999
30,55.7,66.2,53.5,62.5,67345.788,2022-02-06 23:59:59.999
31,62.6,71.7,56.4,56.5,125768.044,2022-02-13 23:59:59.999
32,56.5,67.3,51.0,54.0,136650.641,2022-02-20 23:59:59.999
33,54.0,56.4,44.2,51.0,73182.727,2022-02-27 23:59:59.999
34,51.4,74.4,50.4,52.7,361245.925,2022-03-06 23:59:59.999
35,52.8,57.0,50.1,51.0,141677.425,2022-03-13 23:59:59.999
36,51.1,85.0,50.6,55.9,317580.908,2022-03-20 23:59:59.999
37,56.1,60.3,55.0,59.8,74665.73,2022-03-27 23:59:59.999
38,59.8,75.0,58.5,63.7,184244.742,2022-04-03 23:59:59.999
39,63.7,65.6,55.8,56.6,69396.67,2022-04-10 23:59:59.999
40,56.6,61.0,51.8,54.6,77819.126,2022-04-17 23:59:59.999
41,54.7,66.2,53.5,53.8,135173.115,2022-04-24 23:59:59.999
42,53.8,55.5,49.0,50.1,71934.985,2022-05-01 23:59:59.999
43,50.2,51.3,39.1,43.5,48790.519,2022-05-08 23:59:59.999
44,43.5,87.0,22.2,36.0,673893.864,2022-05-15 23:59:59.999
45,36.0,43.0,28.3,31.0,569232.594,2022-05-22 23:59:59.999
46,30.9,33.3,25.6,27.3,152547.342,2022-05-29 23:59:59.999
47,27.3,32.8,26.0,26.9,269515.9,2022-06-05 23:59:59.999
0,26.9,41.3,23.0,23.6,361634.088,2022-06-12 23:59:59.999000
