,Open,High,Low,Close,Volume,Close time
0,3.55,9.0,3.55,4.063,51939691.36,2022-05-01 23:59:59.999
1,4.063,4.228,2.617,2.79,23442972.71,2022-05-08 23:59:59.999
2,2.789,3.08,1.487,1.982,12890572.08,2022-05-15 23:59:59.999
3,1.985,2.29,1.787,2.069,7192498.79,2022-05-22 23:59:59.999
4,2.065,2.114,1.839,1.984,3562038.6,2022-05-29 23:59:59.999
5,1.987,2.454,1.951,1.976,7087498.38,2022-06-05 23:59:59.999
0,1.979,2.095,1.559,1.589,2380938.97,2022-06-12 23:59:59.999000
0,1.582,1.588,0.975,1.098,3696569.18,2022-06-19 23:59:59.999000
1,1.097,1.199,1.048,1.101,2865718.67,2022-06-26 23:59:59.999000
2,1.1,1.313,1.04,1.077,4028535.87,2022-07-03 23:59:59.999000
3,1.076,1.179,1.061,1.075,1761938.77,2022-07-10 23:59:59.999000
4,1.074,1.546,0.991,1.142,10082517.8,2022-07-17 23:59:59.999000
