,Open,High,Low,Close,Volume,Close time
0,386.2,540.0,234.7,371.8,349999.453,2021-11-14 23:59:59.999
1,371.5,439.0,303.0,382.5,276457.686,2021-11-21 23:59:59.999
2,383.9,413.1,284.7,313.8,190859.265,2021-11-28 23:59:59.999
3,313.2,329.9,204.0,220.6,251675.025,2021-12-05 23:59:59.999
4,221.1,228.3,177.7,197.7,264306.299,2021-12-12 23:59:59.999
5,197.4,219.3,171.9,183.5,143411.155,2021-12-19 23:59:59.999
6,183.5,199.3,171.6,187.3,149376.961,2021-12-26 23:59:59.999
7,187.3,240.0,180.2,207.0,300304.161,2022-01-02 23:59:59.999
8,207.0,213.1,149.5,160.1,272452.459,2022-01-09 23:59:59.999
9,160.1,180.0,144.7,149.9,271465.149,2022-01-16 23:59:59.999
10,149.9,150.1,79.2,84.2,341221.179,2022-01-23 23:59:59.999
11,84.2,87.2,67.1,75.3,271337.473,2022-01-30 23:59:59.999
12,75.2,94.6,70.0,91.1,388471.246,2022-02-06 23:59:59.999
13,91.0,116.0,82.3,82.6,455336.93,2022-02-13 23:59:59.999
14,82.8,108.0,72.9,74.3,551597.105,2022-02-20 23:59:59.999
15,74.3,79.5,54.5,61.6,478512.28,2022-02-27 23:59:59.999
16,61.6,78.8,55.4,55.6,542740.372,2022-03-06 23:59:59.999
17,55.5,57.4,44.7,45.2,378207.006,2022-03-13 23:59:59.999
18,45.1,73.0,44.2,59.6,1138051.693,2022-03-20 23:59:59.999
19,59.5,68.0,56.3,67.1,579637.051,2022-03-27 23:59:59.999
20,67.2,95.9,63.5,84.8,1276953.193,2022-04-03 23:59:59.999
21,84.6,89.0,64.0,64.5,666414.817,2022-04-10 23:59:59.999
22,64.5,65.0,55.6,57.3,537699.008,2022-04-17 23:59:59.999
23,57.2,63.0,51.1,51.3,438605.512,2022-04-24 23:59:59.999
24,51.3,60.0,39.1,41.2,611959.546,2022-05-01 23:59:59.999
25,41.2,44.6,32.1,32.6,579015.652,2022-05-08 23:59:59.999
26,32.6,33.2,19.2,25.7,1393102.168,2022-05-15 23:59:59.999
27,25.6,29.0,21.2,24.6,688895.634,2022-05-22 23:59:59.999
28,24.6,26.6,20.6,21.9,643590.149,2022-05-29 23:59:59.999
29,22.0,23.9,19.9,20.9,444559.967,2022-06-05 23:59:59.999
0,21.0,22.0,15.5,15.6,497117.707,2022-06-12 23:59:59.999000
0,15.7,15.7,9.8,11.4,1782200.15,2022-06-19 23:59:59.999000
1,11.3,16.8,10.7,11.8,1127460.829,2022-06-26 23:59:59.999000
2,11.8,17.9,10.3,11.8,1782768.106,2022-07-03 23:59:59.999000
3,11.9,14.2,11.4,12.1,937094.797,2022-07-10 23:59:59.999000
4,12.1,14.4,11.0,13.2,1466355.06,2022-07-17 23:59:59.999000
