,Open,High,Low,Close,Volume,Close time
0,0.45,0.45,0.3459,0.3566,5199105.35,2019-08-25 23:59:59.999
1,0.3595,0.49,0.35,0.3802,7687730.91,2019-09-01 23:59:59.999
2,0.3801,0.4336,0.3681,0.3866,13501239.58,2019-09-08 23:59:59.999
3,0.3879,0.393,0.3212,0.3288,3606033.42,2019-09-15 23:59:59.999
4,0.3288,0.3406,0.2968,0.3029,3827359.25,2019-09-22 23:59:59.999
5,0.3015,0.3401,0.2047,0.3222,4742734.61,2019-09-29 23:59:59.999
6,0.3254,0.5241,0.3025,0.3612,9357451.04,2019-10-06 23:59:59.999
7,0.3619,0.4099,0.3306,0.3428,6125374.69,2019-10-13 23:59:59.999
8,0.3418,0.3574,0.2882,0.3052,3063298.9,2019-10-20 23:59:59.999
9,0.305,0.3297,0.2631,0.3161,4408758.54,2019-10-27 23:59:59.999
10,0.3164,0.4448,0.3131,0.4047,5319664.59,2019-11-03 23:59:59.999
11,0.4054,0.4055,0.33,0.3573,4385703.57,2019-11-10 23:59:59.999
12,0.3545,0.3688,0.333,0.351,2212655.71,2019-11-17 23:59:59.999
13,0.351,0.3641,0.2607,0.2689,2543785.93,2019-11-24 23:59:59.999
14,0.2689,0.3358,0.2502,0.293,2392183.26,2019-12-01 23:59:59.999
15,0.2958,0.3199,0.2843,0.3104,2194682.62,2019-12-08 23:59:59.999
16,0.3104,0.3201,0.2578,0.2702,2809372.2,2019-12-15 23:59:59.999
17,0.2699,0.31,0.235,0.254,5594421.13,2019-12-22 23:59:59.999
18,0.2547,0.2574,0.2379,0.2449,2901962.68,2019-12-29 23:59:59.999
19,0.2437,0.2463,0.2058,0.2288,6983100.75,2020-01-05 23:59:59.999
20,0.2297,0.2379,0.2108,0.221,6053838.05,2020-01-12 23:59:59.999
21,0.2207,0.319,0.2102,0.2506,14329319.89,2020-01-19 23:59:59.999
22,0.25,0.2591,0.224,0.2449,5166799.16,2020-01-26 23:59:59.999
23,0.2443,0.2889,0.2293,0.2555,8004102.86,2020-02-02 23:59:59.999
24,0.255,0.419,0.2511,0.3358,18253270.08,2020-02-09 23:59:59.999
25,0.3358,0.5286,0.3242,0.3897,13753329.42,2020-02-16 23:59:59.999
26,0.3887,0.3906,0.3335,0.3557,5562034.85,2020-02-23 23:59:59.999
27,0.3568,0.3568,0.2552,0.2986,5350112.31,2020-03-01 23:59:59.999
28,0.2997,0.3516,0.2498,0.2547,5618330.62,2020-03-08 23:59:59.999
29,0.2546,0.2752,0.1047,0.1779,5043639.18,2020-03-15 23:59:59.999
30,0.1761,0.2323,0.1359,0.1863,6953066.66,2020-03-22 23:59:59.999
31,0.1837,0.4958,0.1795,0.3896,41835067.0,2020-03-29 23:59:59.999
32,0.3898,0.5449,0.265,0.2738,44465584.52,2020-04-05 23:59:59.999
33,0.2738,0.2887,0.2407,0.254,11441994.66,2020-04-12 23:59:59.999
34,0.2531,0.294,0.2369,0.2852,11807347.56,2020-04-19 23:59:59.999
35,0.285,0.3579,0.2826,0.3,37525747.24,2020-04-26 23:59:59.999
36,0.3,0.3495,0.2918,0.2971,16700845.9,2020-05-03 23:59:59.999
37,0.2974,0.3164,0.263,0.2804,6289284.19,2020-05-10 23:59:59.999
38,0.2808,0.3098,0.2582,0.2871,3454439.47,2020-05-17 23:59:59.999
39,0.2871,0.3199,0.2826,0.2914,7333075.77,2020-05-24 23:59:59.999
40,0.291,0.3355,0.2885,0.3147,5200257.35,2020-05-31 23:59:59.999
41,0.3134,0.3357,0.2912,0.328,4343431.58,2020-06-07 23:59:59.999
42,0.3299,0.3738,0.3012,0.3088,7821347.16,2020-06-14 23:59:59.999
43,0.308,0.341,0.2853,0.3224,3137095.15,2020-06-21 23:59:59.999
44,0.3237,0.3295,0.2853,0.3024,2650940.76,2020-06-28 23:59:59.999
45,0.3048,0.3231,0.2932,0.3057,2220210.68,2020-07-05 23:59:59.999
46,0.3046,0.3475,0.3026,0.3333,5263887.46,2020-07-12 23:59:59.999
47,0.3341,0.3639,0.3107,0.34,5471899.68,2020-07-19 23:59:59.999
48,0.34,0.4,0.3295,0.3422,10815008.67,2020-07-26 23:59:59.999
49,0.3422,0.3534,0.3021,0.3284,5317811.52,2020-08-02 23:59:59.999
50,0.327,0.361,0.321,0.3571,4215830.52,2020-08-09 23:59:59.999
51,0.3565,0.3943,0.3389,0.3867,12205913.93,2020-08-16 23:59:59.999
52,0.3865,0.4703,0.3425,0.4023,13635484.29,2020-08-23 23:59:59.999
53,0.4023,0.4169,0.3431,0.3797,6401208.72,2020-08-30 23:59:59.999
54,0.3802,0.3841,0.2662,0.3006,9998152.68,2020-09-06 23:59:59.999
55,0.3009,0.3716,0.2793,0.3319,6503051.67,2020-09-13 23:59:59.999
56,0.3318,0.3343,0.2971,0.3003,2998574.47,2020-09-20 23:59:59.999
57,0.3021,0.3111,0.2791,0.3029,1600809.52,2020-09-27 23:59:59.999
58,0.3039,0.3253,0.295,0.3018,1329224.17,2020-10-04 23:59:59.999
59,0.3018,0.3515,0.2926,0.3291,1964786.95,2020-10-11 23:59:59.999
60,0.3287,0.35,0.307,0.3159,2426244.41,2020-10-18 23:59:59.999
61,0.3159,0.332,0.299,0.312,1388574.86,2020-10-25 23:59:59.999
62,0.3123,0.3199,0.2764,0.2825,1165319.05,2020-11-01 23:59:59.999
63,0.2826,0.3241,0.268,0.295,14747314.2,2020-11-08 23:59:59.999
64,0.2937,0.338,0.2831,0.3089,1999062.79,2020-11-15 23:59:59.999
65,0.3089,0.3332,0.2938,0.3173,3288875.88,2020-11-22 23:59:59.999
66,0.3199,0.4299,0.3038,0.3415,5989025.39,2020-11-29 23:59:59.999
67,0.3421,0.4251,0.3224,0.3591,5909204.74,2020-12-06 23:59:59.999
68,0.3591,0.6399,0.331,0.3698,29446537.94,2020-12-13 23:59:59.999
69,0.37,0.55,0.3515,0.3785,18036454.75,2020-12-20 23:59:59.999
70,0.3768,0.3849,0.3115,0.373,6142658.13,2020-12-27 23:59:59.999
71,0.373,0.4085,0.3362,0.3907,4190075.68,2021-01-03 23:59:59.999
72,0.3907,0.48,0.3426,0.4167,17016082.03,2021-01-10 23:59:59.999
73,0.4164,0.474,0.3313,0.4469,22687799.32,2021-01-17 23:59:59.999
74,0.4481,0.4873,0.3581,0.4105,12511554.55,2021-01-24 23:59:59.999
75,0.4105,0.4599,0.3756,0.4189,28089688.98,2021-01-31 23:59:59.999
76,0.4199,1.0219,0.4059,0.6547,70524589.53,2021-02-07 23:59:59.999
77,0.6545,0.95,0.625,0.826,36327914.65,2021-02-14 23:59:59.999
78,0.8218,1.28,0.68,1.1005,42547312.69,2021-02-21 23:59:59.999
79,1.1041,1.76,0.6361,1.2929,132968729.97,2021-02-28 23:59:59.999
80,1.2929,1.5358,1.1517,1.3325,33669673.47,2021-03-07 23:59:59.999
81,1.3347,1.9025,1.2153,1.4362,32175301.68,2021-03-14 23:59:59.999
82,1.4367,1.7053,1.2727,1.5519,24678454.15,2021-03-21 23:59:59.999
83,1.5519,2.2127,1.4666,1.889,38652084.84,2021-03-28 23:59:59.999
84,1.8826,10.3637,1.8821,6.8789,322054311.8,2021-04-04 23:59:59.999
85,6.8789,6.8883,4.003,4.6878,32601520.13,2021-04-11 23:59:59.999
