,Open,High,Low,Close,Volume,Close time
0,2.2,5.05,2.104,2.267,75563027.01,2022-05-01 23:59:59.999
1,2.265,2.353,1.8,1.872,17430321.44,2022-05-08 23:59:59.999
2,1.872,1.918,0.923,1.401,17867299.28,2022-05-15 23:59:59.999
3,1.402,1.415,1.282,1.356,5257736.4,2022-05-22 23:59:59.999
4,1.35,1.371,1.143,1.247,6025391.86,2022-05-29 23:59:59.999
5,1.251,1.388,1.141,1.207,5586985.86,2022-06-05 23:59:59.999
0,1.208,1.291,0.943,0.953,6245293.49,2022-06-12 23:59:59.999000
0,0.953,0.972,0.553,0.686,18835246.65,2022-06-19 23:59:59.999000
1,0.686,0.759,0.631,0.654,10338632.23,2022-06-26 23:59:59.999000
2,0.656,0.706,0.544,0.583,10415388.4,2022-07-03 23:59:59.999000
3,0.583,0.746,0.553,0.622,8433285.91,2022-07-10 23:59:59.999000
4,0.62,0.666,0.546,0.602,9262063.8,2022-07-17 23:59:59.999000
