,Open,High,Low,Close,Volume,Close time
0,50.42,53.88,37.77,43.591,159555.892,2020-08-23 23:59:59.999
1,43.283,67.5,38.622,51.355,346655.546,2020-08-30 23:59:59.999
2,51.329,59.59,35.0,38.255,182169.941,2020-09-06 23:59:59.999
3,38.255,40.0,33.894,35.547,72127.884,2020-09-13 23:59:59.999
4,35.573,40.0,28.733,33.266,337547.187,2020-09-20 23:59:59.999
5,33.265,34.136,28.81,31.675,167039.92,2020-09-27 23:59:59.999
6,31.74,32.022,27.908,28.953,61668.132,2020-10-04 23:59:59.999
7,29.015,29.681,26.837,28.752,43184.26,2020-10-11 23:59:59.999
8,28.893,35.99,27.766,29.128,65329.316,2020-10-18 23:59:59.999
9,29.137,29.954,25.855,25.97,65573.136,2020-10-25 23:59:59.999
10,25.957,27.146,22.788,23.239,61676.427,2020-11-01 23:59:59.999
11,23.324,28.478,22.05,23.312,160794.573,2020-11-08 23:59:59.999
12,23.21,26.531,22.21,24.052,98147.632,2020-11-15 23:59:59.999
13,24.018,45.465,22.88,32.473,306086.97,2020-11-22 23:59:59.999
14,32.461,41.346,25.945,35.447,434503.403,2020-11-29 23:59:59.999
15,35.588,36.661,27.78,31.181,207386.581,2020-12-06 23:59:59.999
16,31.118,33.998,25.197,29.179,259480.776,2020-12-13 23:59:59.999
17,29.19,31.024,25.975,27.019,315142.545,2020-12-20 23:59:59.999
18,26.952,27.799,21.299,23.578,188833.149,2020-12-27 23:59:59.999
19,23.485,25.609,22.021,24.098,118934.94,2021-01-03 23:59:59.999
20,24.037,31.817,21.453,27.566,272528.81,2021-01-10 23:59:59.999
21,27.599,37.598,24.714,27.75,355835.694,2021-01-17 23:59:59.999
22,27.822,31.125,25.319,27.428,156183.573,2021-01-24 23:59:59.999
23,27.543,28.19,25.0,26.933,148723.696,2021-01-31 23:59:59.999
24,26.996,40.183,26.306,34.442,667602.49,2021-02-07 23:59:59.999
25,34.52,54.1,33.954,44.079,1015916.517,2021-02-14 23:59:59.999
26,44.051,52.99,35.439,40.648,631035.918,2021-02-21 23:59:59.999
27,40.65,51.89,31.8,39.473,882563.21,2021-02-28 23:59:59.999
28,39.4,45.0,37.343,39.42,321938.088,2021-03-07 23:59:59.999
29,39.591,46.603,38.522,41.653,582837.842,2021-03-14 23:59:59.999
30,41.555,67.479,39.8,50.068,1052076.813,2021-03-21 23:59:59.999
31,49.976,52.213,38.745,45.811,296230.809,2021-03-28 23:59:59.999
32,45.873,75.987,44.942,66.022,595261.274,2021-04-04 23:59:59.999
33,66.169,82.1,62.5,72.56,705994.304,2021-04-11 23:59:59.999
34,72.719,92.75,65.99,73.383,534388.508,2021-04-18 23:59:59.999
35,73.465,86.859,52.845,55.363,461475.979,2021-04-25 23:59:59.999
