,Open,High,Low,Close,Volume,Close time
0,2.8,2.9999,2.3801,2.6263,4428229.33,2018-07-29 23:59:59.999
1,2.6263,2.6325,1.8,1.8627,3369186.84,2018-08-05 23:59:59.999
2,1.8698,1.9239,1.2083,1.6561,3271939.03,2018-08-12 23:59:59.999
3,1.6561,1.72,1.2077,1.5059,4392537.71,2018-08-19 23:59:59.999
4,1.5062,1.6998,1.315,1.534,4376381.83,2018-08-26 23:59:59.999
5,1.534,2.0,1.4991,1.77,7680638.41,2018-09-02 23:59:59.999
6,1.77,1.8366,1.201,1.2515,5771746.47,2018-09-09 23:59:59.999
7,1.2628,1.2976,1.06,1.1841,4174855.37,2018-09-16 23:59:59.999
8,1.1869,1.262,1.0388,1.2167,5659488.84,2018-09-23 23:59:59.999
9,1.2167,1.362,1.0901,1.2029,6472252.29,2018-09-30 23:59:59.999
10,1.2028,1.2179,1.1255,1.1862,4211063.53,2018-10-07 23:59:59.999
11,1.1907,1.297,1.0456,1.128,4800452.89,2018-10-14 23:59:59.999
12,1.1258,1.2821,1.1,1.1498,4122348.93,2018-10-21 23:59:59.999
13,1.1478,1.2225,1.1027,1.1231,1844076.13,2018-10-28 23:59:59.999
14,1.1231,1.3154,1.0266,1.1229,1906257.72,2018-11-04 23:59:59.999
15,1.1177,1.17,1.06,1.0755,1279584.72,2018-11-11 23:59:59.999
16,1.075,1.0754,0.739,0.7786,2080677.99,2018-11-18 23:59:59.999
17,0.7793,0.7796,0.446,0.5003,6304096.12,2018-11-25 23:59:59.999
18,0.5045,0.58,0.4377,0.5206,2570274.79,2018-12-02 23:59:59.999
19,0.5206,0.538,0.361,0.4111,2917653.62,2018-12-09 23:59:59.999
20,0.4117,0.455,0.3761,0.4049,2232698.81,2018-12-16 23:59:59.999
21,0.4056,0.4836,0.4,0.4731,6104512.54,2018-12-23 23:59:59.999
22,0.4742,0.5436,0.375,0.4127,4256845.32,2018-12-30 23:59:59.999
23,0.413,0.4384,0.38,0.435,2156169.05,2019-01-06 23:59:59.999
24,0.435,0.455,0.3528,0.3646,3368012.94,2019-01-13 23:59:59.999
