,Open,High,Low,Close,Volume,Close time
0,0.5101,0.72,0.425,0.5945,14672742.66,2020-08-23 23:59:59.999
1,0.5945,0.6701,0.4777,0.6333,24302719.81,2020-08-30 23:59:59.999
2,0.6332,0.6356,0.2769,0.3933,30592644.31,2020-09-06 23:59:59.999
3,0.3933,0.4541,0.3218,0.3446,27038905.57,2020-09-13 23:59:59.999
4,0.3448,0.428,0.3,0.3683,32934167.9,2020-09-20 23:59:59.999
5,0.3674,0.4244,0.2933,0.3865,28964613.79,2020-09-27 23:59:59.999
6,0.3882,0.405,0.3302,0.3425,25553016.2,2020-10-04 23:59:59.999
7,0.3417,0.35,0.2396,0.306,26675278.69,2020-10-11 23:59:59.999
8,0.3072,0.3881,0.3037,0.3851,18536795.8,2020-10-18 23:59:59.999
9,0.3852,0.4936,0.3252,0.4372,28848675.16,2020-10-25 23:59:59.999
10,0.438,0.5822,0.4,0.4786,83017915.34,2020-11-01 23:59:59.999
11,0.4786,0.5451,0.4158,0.5134,72460487.06,2020-11-08 23:59:59.999
12,0.5131,0.624,0.4975,0.5291,75199492.95,2020-11-15 23:59:59.999
13,0.5273,0.6,0.4698,0.5047,76635541.25,2020-11-22 23:59:59.999
14,0.5062,0.553,0.3923,0.4632,84483137.72,2020-11-29 23:59:59.999
15,0.4634,0.5105,0.4327,0.4474,69329400.72,2020-12-06 23:59:59.999
16,0.4481,0.4502,0.344,0.3964,75711065.49,2020-12-13 23:59:59.999
17,0.3963,0.49,0.377,0.3979,100927581.45,2020-12-20 23:59:59.999
18,0.397,0.4,0.2679,0.3281,112486084.5,2020-12-27 23:59:59.999
19,0.3296,0.419,0.3059,0.3954,114889138.35,2021-01-03 23:59:59.999
20,0.3957,0.5,0.36,0.4373,195229046.86,2021-01-10 23:59:59.999
21,0.4372,0.6141,0.3111,0.5768,159294390.52,2021-01-17 23:59:59.999
22,0.5767,0.6485,0.4382,0.5667,153791730.6,2021-01-24 23:59:59.999
23,0.5664,0.6879,0.4806,0.5451,160119080.8,2021-01-31 23:59:59.999
24,0.5442,0.7933,0.5193,0.701,165815017.48,2021-02-07 23:59:59.999
25,0.7009,1.388,0.6927,1.0723,252229618.49,2021-02-14 23:59:59.999
26,1.0723,1.3396,0.88,1.2517,202136570.33,2021-02-21 23:59:59.999
27,1.2523,1.2883,0.7787,0.84,161330653.74,2021-02-28 23:59:59.999
28,0.8404,1.6838,0.8351,1.4985,244229091.12,2021-03-07 23:59:59.999
29,1.4977,1.6148,1.275,1.4804,232128741.73,2021-03-14 23:59:59.999
30,1.4797,1.64,1.34,1.6054,122839376.23,2021-03-21 23:59:59.999
31,1.6056,1.7,1.1584,1.4384,117138982.96,2021-03-28 23:59:59.999
32,1.4384,1.5692,1.3564,1.5033,77738669.02,2021-04-04 23:59:59.999
33,1.5015,1.9414,1.4216,1.7136,129425186.15,2021-04-11 23:59:59.999
34,1.7137,1.835,1.2139,1.4304,91297431.95,2021-04-18 23:59:59.999
35,1.4299,1.5341,0.928,1.0456,114163091.32,2021-04-25 23:59:59.999
36,1.0482,1.4242,1.0351,1.3159,92432373.02,2021-05-02 23:59:59.999
37,1.3159,1.5537,1.2658,1.518,126669520.27,2021-05-09 23:59:59.999
38,1.5188,1.675,1.038,1.1059,158187359.1,2021-05-16 23:59:59.999
39,1.1071,1.1408,0.4028,0.4972,241271238.5,2021-05-23 23:59:59.999
40,0.4971,0.7376,0.4817,0.552,213589760.67,2021-05-30 23:59:59.999
41,0.5514,0.764,0.526,0.6493,153969126.45,2021-06-06 23:59:59.999
42,0.6497,0.7,0.4609,0.5242,136369081.23,2021-06-13 23:59:59.999
43,0.5243,0.5917,0.456,0.4917,105431513.33,2021-06-20 23:59:59.999
44,0.4921,0.4931,0.3224,0.4128,94567377.28,2021-06-27 23:59:59.999
45,0.4136,0.4676,0.4053,0.4551,56310794.97,2021-07-04 23:59:59.999
46,0.4542,0.5042,0.4,0.4462,73954866.87,2021-07-11 23:59:59.999
47,0.4467,0.4582,0.3717,0.3809,50546024.07,2021-07-18 23:59:59.999
48,0.3805,0.4295,0.3258,0.4118,56397136.6,2021-07-25 23:59:59.999
49,0.4117,0.5526,0.4081,0.5222,107513825.46,2021-08-01 23:59:59.999
50,0.5226,0.6393,0.493,0.5493,138025151.51,2021-08-08 23:59:59.999
51,0.5492,0.7489,0.5259,0.7427,128560594.76,2021-08-15 23:59:59.999
52,0.7426,1.14,0.6857,0.965,177711830.76,2021-08-22 23:59:59.999
53,0.965,1.0248,0.7879,0.8538,123176986.42,2021-08-29 23:59:59.999
54,0.853,0.99,0.8006,0.9854,108398207.69,2021-09-05 23:59:59.999
55,0.9861,1.015,0.6656,0.8426,137832810.59,2021-09-12 23:59:59.999
56,0.8439,0.8971,0.7196,0.7586,93131743.0,2021-09-19 23:59:59.999
57,0.7593,0.7634,0.5865,0.6731,98971643.04,2021-09-26 23:59:59.999
58,0.672,0.7517,0.5936,0.7271,61535693.0,2021-10-03 23:59:59.999
59,0.7263,0.9094,0.673,0.8177,112404057.0,2021-10-10 23:59:59.999
60,0.8157,0.89,0.7164,0.8179,95993732.0,2021-10-17 23:59:59.999
61,0.8185,0.962,0.7956,0.8781,98832860.0,2021-10-24 23:59:59.999
62,0.8781,0.9749,0.7882,0.8803,86314934.0,2021-10-31 23:59:59.999
63,0.8802,1.2575,0.8268,0.9635,318739187.64,2021-11-07 23:59:59.999
64,0.9636,1.0528,0.8353,0.9317,114944751.0,2021-11-14 23:59:59.999
65,0.9328,1.0297,0.753,1.0006,130319040.0,2021-11-21 23:59:59.999
66,1.0009,1.3898,0.9044,1.085,268171958.2,2021-11-28 23:59:59.999
67,1.084,1.44,0.8038,0.9469,316512589.93,2021-12-05 23:59:59.999
68,0.9468,1.0119,0.8033,0.8671,142325819.0,2021-12-12 23:59:59.999
69,0.8673,0.8769,0.7442,0.773,67759264.0,2021-12-19 23:59:59.999
70,0.7722,1.28,0.7191,0.9512,190299420.0,2021-12-26 23:59:59.999
