,Open,High,Low,Close,Volume,Close time
0,13.88,31.415,4.683,4.7,2981129.651,2021-01-03 23:59:59.999
1,4.7,5.22,3.113,3.416,931497.535,2021-01-10 23:59:59.999
2,3.4,7.14,2.368,4.209,5278907.164,2021-01-17 23:59:59.999
3,4.211,4.99,3.636,3.78,1175292.639,2021-01-24 23:59:59.999
4,3.78,4.15,3.2,3.479,1268138.396,2021-01-31 23:59:59.999
5,3.479,5.0,3.345,4.108,1806638.579,2021-02-07 23:59:59.999
6,4.108,8.49,4.103,6.762,3691256.847,2021-02-14 23:59:59.999
7,6.749,8.88,5.121,6.963,2348258.887,2021-02-21 23:59:59.999
8,6.999,7.027,4.0,4.616,2080429.254,2021-02-28 23:59:59.999
9,4.621,8.333,4.27,6.378,7145728.634,2021-03-07 23:59:59.999
10,6.274,12.752,5.88,10.662,9743625.48,2021-03-14 23:59:59.999
11,10.672,11.28,8.013,8.295,2187596.773,2021-03-21 23:59:59.999
12,8.284,12.25,7.4,9.909,7714299.304,2021-03-28 23:59:59.999
13,9.919,13.5,9.718,10.4,2144896.093,2021-04-04 23:59:59.999
14,10.4,17.0,9.7,12.336,5425472.183,2021-04-11 23:59:59.999
15,12.337,14.808,9.586,10.055,3567282.222,2021-04-18 23:59:59.999
16,10.08,11.427,7.3,7.874,1800450.42,2021-04-25 23:59:59.999
17,7.872,10.999,7.808,9.85,1813832.397,2021-05-02 23:59:59.999
18,9.821,10.589,8.367,8.595,1783311.067,2021-05-09 23:59:59.999
19,8.615,16.5,7.436,12.116,10922214.31,2021-05-16 23:59:59.999
20,12.117,14.45,4.5,5.429,8670467.251,2021-05-23 23:59:59.999
21,5.429,7.293,4.996,5.881,5308629.775,2021-05-30 23:59:59.999
22,5.881,6.445,5.52,5.649,1468965.26,2021-06-06 23:59:59.999
23,5.652,7.768,4.48,5.532,3509461.489,2021-06-13 23:59:59.999
24,5.532,6.276,4.9,5.143,1890269.428,2021-06-20 23:59:59.999
25,5.161,5.172,3.1,3.925,2024960.558,2021-06-27 23:59:59.999
26,3.925,4.4,3.699,4.007,2386583.778,2021-07-04 23:59:59.999
27,4.008,4.374,3.617,3.949,2483585.034,2021-07-11 23:59:59.999
28,3.949,4.986,3.731,3.915,2937242.481,2021-07-18 23:59:59.999
29,3.914,4.64,3.4,4.45,2579067.075,2021-07-25 23:59:59.999
30,4.453,4.694,4.0,4.238,1800998.68,2021-08-01 23:59:59.999
31,4.244,5.447,4.175,4.977,3805766.947,2021-08-08 23:59:59.999
32,4.989,7.95,4.896,6.541,7149884.661,2021-08-15 23:59:59.999
33,6.552,6.589,5.582,5.909,1466362.961,2021-08-22 23:59:59.999
34,5.909,6.952,5.649,5.987,2005429.376,2021-08-29 23:59:59.999
35,5.987,11.39,5.518,8.286,4551467.023,2021-09-05 23:59:59.999
36,8.293,8.495,5.708,6.924,5364689.5,2021-09-12 23:59:59.999
37,6.902,11.65,6.65,9.376,7295261.108,2021-09-19 23:59:59.999
38,9.379,9.403,7.2,8.152,2791427.5,2021-09-26 23:59:59.999
39,8.116,9.841,6.9,8.88,3816532.3,2021-10-03 23:59:59.999
40,8.89,11.2,7.6,7.69,4395159.1,2021-10-10 23:59:59.999
41,7.69,8.387,7.202,7.436,1397164.0,2021-10-17 23:59:59.999
42,7.461,7.704,6.939,7.037,3202315.7,2021-10-24 23:59:59.999
43,7.03,7.265,5.971,6.301,1216079.4,2021-10-31 23:59:59.999
44,6.301,7.814,6.037,7.397,1916143.1,2021-11-07 23:59:59.999
45,7.41,8.279,6.529,6.689,2307204.7,2021-11-14 23:59:59.999
46,6.706,6.776,5.5,5.853,2136406.0,2021-11-21 23:59:59.999
47,5.853,5.961,4.9,5.212,1028708.555,2021-11-28 23:59:59.999
48,5.215,6.95,4.206,4.877,4860025.786,2021-12-05 23:59:59.999
49,4.888,4.98,4.136,4.403,1916874.0,2021-12-12 23:59:59.999
50,4.403,4.443,3.822,3.889,765945.5,2021-12-19 23:59:59.999
51,3.87,5.0,3.651,4.37,1923639.134,2021-12-26 23:59:59.999
52,4.369,7.65,4.293,5.012,16388172.4,2022-01-02 23:59:59.999
53,5.011,5.099,3.911,4.282,2478931.2,2022-01-09 23:59:59.999
