,Open,High,Low,Close,Volume,Close time
0,0.2818,0.7608,0.2818,0.736,354873675.18,2021-03-14 23:59:59.999
1,0.7387,0.8876,0.5,0.525,303631949.97,2021-03-21 23:59:59.999
2,0.5251,0.58,0.3703,0.4559,105094181.31,2021-03-28 23:59:59.999
3,0.4573,0.5617,0.4398,0.4757,94831387.72,2021-04-04 23:59:59.999
4,0.4758,0.5555,0.39,0.4941,104417047.61,2021-04-11 23:59:59.999
5,0.4941,0.5018,0.328,0.3683,62266314.86,2021-04-18 23:59:59.999
6,0.3681,0.3935,0.2309,0.2447,75657763.71,2021-04-25 23:59:59.999
7,0.2448,0.44,0.2425,0.413,165013427.96,2021-05-02 23:59:59.999
8,0.413,0.4299,0.3297,0.3372,62009906.05,2021-05-09 23:59:59.999
9,0.3372,0.4451,0.25,0.2937,295436585.23,2021-05-16 23:59:59.999
10,0.2937,0.2971,0.1428,0.1615,315801363.54,2021-05-23 23:59:59.999
11,0.1615,0.21,0.1486,0.1744,202469617.44,2021-05-30 23:59:59.999
12,0.1744,0.21,0.1544,0.1719,117362258.17,2021-06-06 23:59:59.999
13,0.1711,0.1868,0.1374,0.1541,104236014.15,2021-06-13 23:59:59.999
14,0.1542,0.1688,0.1253,0.1347,146637309.45,2021-06-20 23:59:59.999
15,0.1349,0.1356,0.084,0.108,164330723.42,2021-06-27 23:59:59.999
16,0.1081,0.1173,0.098,0.1055,104287708.62,2021-07-04 23:59:59.999
17,0.1054,0.1215,0.1,0.1062,90490527.35,2021-07-11 23:59:59.999
18,0.1062,0.16,0.0986,0.1115,347363861.01,2021-07-18 23:59:59.999
19,0.1114,0.1346,0.0954,0.1293,296149212.1,2021-07-25 23:59:59.999
20,0.1293,0.156,0.1196,0.1285,216459714.71,2021-08-01 23:59:59.999
21,0.1285,0.2468,0.1243,0.168,782727599.72,2021-08-08 23:59:59.999
22,0.1685,0.2677,0.1648,0.2127,665576881.24,2021-08-15 23:59:59.999
23,0.2127,0.2362,0.1824,0.2126,163010162.23,2021-08-22 23:59:59.999
24,0.2126,0.2874,0.1886,0.2251,315612627.01,2021-08-29 23:59:59.999
25,0.2252,0.339,0.2008,0.2636,393032517.48,2021-09-05 23:59:59.999
26,0.2636,0.2878,0.1884,0.2491,246038732.51,2021-09-12 23:59:59.999
27,0.2492,0.4484,0.2156,0.2976,773381134.69,2021-09-19 23:59:59.999
28,0.2976,0.2983,0.1951,0.2225,250967958.0,2021-09-26 23:59:59.999
29,0.2224,0.2649,0.2041,0.2419,136415560.0,2021-10-03 23:59:59.999
30,0.2419,0.259,0.2226,0.2279,137545883.0,2021-10-10 23:59:59.999
31,0.2278,0.296,0.2082,0.2459,338081914.0,2021-10-17 23:59:59.999
32,0.2463,0.268,0.2297,0.2418,125918734.0,2021-10-24 23:59:59.999
33,0.2421,0.2483,0.2115,0.2274,66854073.0,2021-10-31 23:59:59.999
34,0.2275,0.258,0.224,0.2408,94335310.0,2021-11-07 23:59:59.999
35,0.2408,0.25,0.2182,0.234,96877187.0,2021-11-14 23:59:59.999
36,0.2342,0.255,0.2029,0.2396,176326945.0,2021-11-21 23:59:59.999
37,0.2397,0.277,0.2097,0.2269,186602949.0,2021-11-28 23:59:59.999
38,0.227,0.3194,0.175,0.1815,381442316.92,2021-12-05 23:59:59.999
39,0.182,0.1927,0.1527,0.1608,112910594.19,2021-12-12 23:59:59.999
40,0.1608,0.1772,0.1357,0.1531,138308454.56,2021-12-19 23:59:59.999
41,0.153,0.2088,0.1399,0.1619,175927085.0,2021-12-26 23:59:59.999
42,0.1619,0.182,0.1452,0.1528,87167508.0,2022-01-02 23:59:59.999
43,0.1528,0.1546,0.1224,0.1245,50954631.3,2022-01-09 23:59:59.999
44,0.1246,0.1333,0.1126,0.1249,38162942.67,2022-01-16 23:59:59.999
45,0.1249,0.1258,0.0783,0.0887,57775879.47,2022-01-23 23:59:59.999
46,0.0888,0.1108,0.0768,0.0941,58279930.0,2022-01-30 23:59:59.999
47,0.0942,0.1094,0.0902,0.1071,34299566.0,2022-02-06 23:59:59.999
48,0.1073,0.128,0.0948,0.0948,137739865.0,2022-02-13 23:59:59.999
49,0.0948,0.1115,0.0826,0.0854,110603494.0,2022-02-20 23:59:59.999
50,0.0853,0.1014,0.0679,0.0769,105323014.85,2022-02-27 23:59:59.999
51,0.0769,0.106,0.0736,0.0738,228359898.0,2022-03-06 23:59:59.999
52,0.074,0.0781,0.0677,0.0693,64195656.0,2022-03-13 23:59:59.999
53,0.0694,0.0958,0.0675,0.0751,183116903.0,2022-03-20 23:59:59.999
54,0.0749,0.089,0.0732,0.0861,151294511.0,2022-03-27 23:59:59.999
55,0.086,0.1113,0.0842,0.0997,296223626.0,2022-04-03 23:59:59.999
56,0.0997,0.1408,0.0859,0.0942,630938828.0,2022-04-10 23:59:59.999
57,0.0941,0.0959,0.0847,0.0876,90769669.0,2022-04-17 23:59:59.999
58,0.0876,0.1212,0.0822,0.1136,605817374.0,2022-04-24 23:59:59.999
59,0.1136,0.1274,0.0913,0.1007,537514249.0,2022-05-01 23:59:59.999
60,0.1007,0.1028,0.0807,0.0826,111591754.0,2022-05-08 23:59:59.999
61,0.0826,0.0831,0.0358,0.0506,137635547.0,2022-05-15 23:59:59.999
62,0.0507,0.082,0.0448,0.0546,434612573.0,2022-05-22 23:59:59.999
63,0.0546,0.0584,0.0462,0.0527,134266783.0,2022-05-29 23:59:59.999
64,0.0526,0.0556,0.0483,0.0521,111832297.0,2022-06-05 23:59:59.999
