,Open,High,Low,Close,Volume,Close time
0,0.02156,1.8,0.01,0.04784,20892992357.0,2021-12-26 23:59:59.999
1,0.04789,0.04798,0.03326,0.03408,5792918554.0,2022-01-02 23:59:59.999
2,0.03406,0.03406,0.02303,0.02384,3510546484.0,2022-01-09 23:59:59.999
3,0.02384,0.02447,0.01963,0.01965,2295248454.0,2022-01-16 23:59:59.999
4,0.01967,0.02007,0.00932,0.01097,2386279892.0,2022-01-23 23:59:59.999
5,0.01097,0.01494,0.00932,0.01306,5078699065.0,2022-01-30 23:59:59.999
6,0.01306,0.0264,0.01222,0.0183,14747675736.0,2022-02-06 23:59:59.999
7,0.01828,0.02338,0.01681,0.01684,7089007862.0,2022-02-13 23:59:59.999
8,0.01684,0.01848,0.01453,0.01515,4482882528.0,2022-02-20 23:59:59.999
9,0.01518,0.01669,0.01127,0.01411,4657989155.0,2022-02-27 23:59:59.999
10,0.01409,0.0159,0.01239,0.01287,3458471500.0,2022-03-06 23:59:59.999
11,0.01286,0.01397,0.01196,0.01213,1747881667.0,2022-03-13 23:59:59.999
12,0.01213,0.0136,0.01187,0.01326,2912280548.0,2022-03-20 23:59:59.999
13,0.01326,0.0149,0.01226,0.01385,3339272815.0,2022-03-27 23:59:59.999
14,0.01383,0.0253,0.0135,0.01827,16293157196.0,2022-04-03 23:59:59.999
15,0.01824,0.0185,0.01362,0.01456,6593313834.0,2022-04-10 23:59:59.999
16,0.01456,0.01614,0.01275,0.01316,2063620038.0,2022-04-17 23:59:59.999
17,0.01315,0.01479,0.01239,0.01265,1867506876.0,2022-04-24 23:59:59.999
18,0.01263,0.014,0.01083,0.01111,2871812639.0,2022-05-01 23:59:59.999
19,0.01109,0.0114,0.00865,0.0088,1550297744.0,2022-05-08 23:59:59.999
20,0.0088,0.009,0.00248,0.00685,12471454783.0,2022-05-15 23:59:59.999
21,0.00686,0.0075,0.00504,0.00623,5691169046.0,2022-05-22 23:59:59.999
22,0.00621,0.0065,0.00491,0.00532,1956604367.0,2022-05-29 23:59:59.999
23,0.00532,0.00694,0.00497,0.00532,3141241305.0,2022-06-05 23:59:59.999
0,0.00531,0.00587,0.00404,0.00436,2738196115.0,2022-06-12 23:59:59.999000
