,Open,High,Low,Close,Volume,Close time
0,0.138,0.2,0.138,0.1482,1400119980.7,2021-12-26 23:59:59.999
1,0.1484,0.1574,0.105,0.1208,1513758120.4,2022-01-02 23:59:59.999
2,0.1208,0.1408,0.0853,0.0897,1894325093.7,2022-01-09 23:59:59.999
3,0.0898,0.0917,0.0713,0.0799,1990375105.4,2022-01-16 23:59:59.999
4,0.08,0.0807,0.0322,0.0375,3366020346.2,2022-01-23 23:59:59.999
5,0.0375,0.0989,0.0305,0.0774,6636514717.5,2022-01-30 23:59:59.999
6,0.0774,0.1146,0.07,0.0929,7968065823.3,2022-02-06 23:59:59.999
7,0.093,0.1,0.0613,0.0626,7862699515.5,2022-02-13 23:59:59.999
8,0.0626,0.075,0.0511,0.0531,4519109649.2,2022-02-20 23:59:59.999
9,0.0532,0.0746,0.0405,0.0605,8287442391.6,2022-02-27 23:59:59.999
10,0.0604,0.0764,0.0514,0.0524,5827122668.6,2022-03-06 23:59:59.999
11,0.0523,0.068,0.05,0.0539,6158444869.0,2022-03-13 23:59:59.999
12,0.0538,0.0698,0.052,0.0662,4753435299.6,2022-03-20 23:59:59.999
13,0.0662,0.0861,0.0623,0.0803,6161064120.6,2022-03-27 23:59:59.999
14,0.0804,0.0895,0.0636,0.0703,4827927023.6,2022-04-03 23:59:59.999
15,0.0703,0.0745,0.0541,0.0565,3705907110.8,2022-04-10 23:59:59.999
16,0.0566,0.0576,0.0486,0.0492,2490125047.5,2022-04-17 23:59:59.999
17,0.0492,0.0575,0.0423,0.048,4281055874.4,2022-04-24 23:59:59.999
18,0.048,0.0491,0.0322,0.0382,3867631238.8,2022-05-01 23:59:59.999
19,0.0382,0.0455,0.0333,0.0349,4930555060.4,2022-05-08 23:59:59.999
20,0.0349,0.0358,0.0103,0.0173,14756653668.0,2022-05-15 23:59:59.999
21,0.0173,0.0434,0.0138,0.0294,21634544600.3,2022-05-22 23:59:59.999
22,0.0294,0.032,0.0181,0.0225,8580624270.6,2022-05-29 23:59:59.999
23,0.0224,0.0261,0.01873,0.01983,13718903707.9,2022-06-05 23:59:59.999
