,Open,High,Low,Close,Volume,Close time
0,9.38,17.6,7.653,8.004,12855977.43,2021-03-21 23:59:59.999
1,8.007,8.64,5.68,7.278,8545481.905,2021-03-28 23:59:59.999
2,7.279,10.96,7.15,9.09,7713279.747,2021-04-04 23:59:59.999
3,9.084,9.137,7.197,7.985,11350337.506,2021-04-11 23:59:59.999
4,7.994,8.813,6.086,6.327,4249668.991,2021-04-18 23:59:59.999
5,6.327,6.835,5.196,6.156,4079378.704,2021-04-25 23:59:59.999
6,6.156,8.399,6.147,7.895,5996608.82,2021-05-02 23:59:59.999
7,7.893,9.173,7.801,8.067,3999630.836,2021-05-09 23:59:59.999
8,8.066,12.678,7.147,9.265,7096748.728,2021-05-16 23:59:59.999
9,9.25,14.76,6.8,7.83,12838653.351,2021-05-23 23:59:59.999
10,7.83,11.432,6.882,7.679,4790312.824,2021-05-30 23:59:59.999
11,7.675,11.49,7.358,9.841,4321956.624,2021-06-06 23:59:59.999
12,9.842,10.161,7.2,8.548,3729491.731,2021-06-13 23:59:59.999
13,8.55,9.89,5.6,6.028,5848790.723,2021-06-20 23:59:59.999
14,6.028,6.078,3.618,4.385,14090648.76,2021-06-27 23:59:59.999
15,4.39,9.05,4.241,8.59,21967516.802,2021-07-04 23:59:59.999
16,8.591,11.9,8.071,8.864,11338594.885,2021-07-11 23:59:59.999
17,8.876,9.5,7.12,7.68,5114130.32,2021-07-18 23:59:59.999
18,7.693,9.758,6.1,9.162,5191622.759,2021-07-25 23:59:59.999
19,9.155,16.2,8.9,13.937,10886174.663,2021-08-01 23:59:59.999
20,13.926,17.9,13.7,14.482,6537664.315,2021-08-08 23:59:59.999
21,14.482,17.1,13.462,14.683,5388694.801,2021-08-15 23:59:59.999
22,14.692,20.0,13.759,17.158,10774994.751,2021-08-22 23:59:59.999
23,17.166,19.0,15.04,18.67,6790095.222,2021-08-29 23:59:59.999
24,18.67,26.21,18.25,19.87,8836706.397,2021-09-05 23:59:59.999
25,19.87,23.08,14.59,14.98,9491666.056,2021-09-12 23:59:59.999
26,14.98,18.51,13.47,14.29,4985297.643,2021-09-19 23:59:59.999
27,14.29,16.0,10.66,14.1,12439120.192,2021-09-26 23:59:59.999
28,14.09,19.11,13.45,14.99,16320838.13,2021-10-03 23:59:59.999
29,14.99,15.86,12.51,13.41,5932827.15,2021-10-10 23:59:59.999
30,13.41,19.77,13.25,17.8,9146316.76,2021-10-17 23:59:59.999
31,17.82,19.98,15.26,16.15,5288381.02,2021-10-24 23:59:59.999
32,16.15,18.3,15.3,16.42,3801270.38,2021-10-31 23:59:59.999
33,16.4,18.66,15.68,17.42,2811209.22,2021-11-07 23:59:59.999
34,17.42,23.13,15.69,17.29,3692281.29,2021-11-14 23:59:59.999
35,17.29,17.63,13.61,15.27,2727770.72,2021-11-21 23:59:59.999
36,15.26,15.61,11.32,12.73,3533319.45,2021-11-28 23:59:59.999
37,12.73,13.45,10.43,11.06,3943027.849,2021-12-05 23:59:59.999
38,11.07,11.68,8.88,9.36,2058901.8,2021-12-12 23:59:59.999
39,9.35,9.9,8.15,9.78,1853341.6,2021-12-19 23:59:59.999
40,9.78,10.29,8.91,9.48,2425696.52,2021-12-26 23:59:59.999
41,9.48,9.99,8.5,9.08,1992441.53,2022-01-02 23:59:59.999
42,9.07,9.64,7.94,9.18,2986940.34,2022-01-09 23:59:59.999
43,9.18,9.78,8.44,8.67,1642198.09,2022-01-16 23:59:59.999
44,8.68,9.9,7.3,7.93,3802264.646,2022-01-23 23:59:59.999
45,7.93,7.93,5.32,6.49,5527138.543,2022-01-30 23:59:59.999
46,6.48,6.69,5.82,6.48,1106125.41,2022-02-06 23:59:59.999
47,6.48,6.8,5.75,6.23,1943496.77,2022-02-13 23:59:59.999
48,6.23,6.53,5.46,5.91,1937084.45,2022-02-20 23:59:59.999
49,5.91,5.97,4.47,4.47,3591169.178,2022-02-27 23:59:59.999
50,4.47,4.79,3.86,3.87,4482915.33,2022-03-06 23:59:59.999
51,3.87,4.17,3.6,3.93,3299528.6,2022-03-13 23:59:59.999
52,3.93,4.35,3.63,4.02,4639921.12,2022-03-20 23:59:59.999
53,4.02,5.01,3.93,4.99,5120537.83,2022-03-27 23:59:59.999
54,5.0,5.62,4.76,5.25,5795337.09,2022-04-03 23:59:59.999
55,5.26,5.29,4.43,4.54,4302409.8,2022-04-10 23:59:59.999
56,4.54,4.55,3.87,3.91,1929601.73,2022-04-17 23:59:59.999
57,3.91,5.05,3.76,4.2,6425295.45,2022-04-24 23:59:59.999
58,4.21,4.42,3.02,3.25,5217652.003,2022-05-01 23:59:59.999
59,3.25,3.34,2.16,2.23,6586712.4,2022-05-08 23:59:59.999
60,2.23,2.26,1.09,1.37,9384378.86,2022-05-15 23:59:59.999
61,1.38,1.38,1.02,1.19,10459733.71,2022-05-22 23:59:59.999
62,1.18,1.72,1.05,1.24,21274180.47,2022-05-29 23:59:59.999
63,1.25,1.59,1.17,1.19,12774860.48,2022-06-05 23:59:59.999
0,1.19,1.24,0.73,0.73,9851240.81,2022-06-12 23:59:59.999000
0,0.73,0.75,0.502,0.591,24095927.26,2022-06-19 23:59:59.999000
1,0.591,0.938,0.568,0.748,68883726.81,2022-06-26 23:59:59.999000
2,0.75,0.804,0.586,0.688,30281456.33,2022-07-03 23:59:59.999000
3,0.687,0.794,0.643,0.746,34510319.24,2022-07-10 23:59:59.999000
4,0.746,1.026,0.712,0.815,80288079.27,2022-07-17 23:59:59.999000
